FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2009","Anafi","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co","Eletson Holdings, Greece","Greece","February, 2009","173.70m","16.7knots","9411733","22,971gt","3","","MAN B&W","6S50MC-C7","1","LPG Carrier"
"SS 2009","Araon","Hanjin Heavy Industries & Construction Co., Ltd","Hanjin Heavy Industries & Construction Co., Ltd","KOPRI (Korea Polar Research Institute)","Korea","30 September 2009","111.0m","","9490935","7487gt","","9071tonnes","ABB OY","AMC 900","2","Icebreaker"
"SS 2009","Auriga Leader","Mitsubishi Heavy","Mitsubishi Heavy Industries Ltd, Japan","Nippon Yusen Kabushiki Kaisha (NYK Line), Japan","Singapore","19 December 2008","199.99m","20.35knots","9402718","60,213gt","1","","Mitsubishi Heavy Industries Ltd","7UEC60LS II (P/U)","1","Bunkering Tanker"
"SS 2009","Baosteel Education","Namura Shipbuilding Co. Ltd","Namura Shipbuilding Co. Ltd","Mitsui O.S.K. Lines","Liberia","31 March 2009","319.58m","15.1knots","9362970","113,932gt","7","","Mitsubishi Heavy Industries Ltd","Mitsubishi 6UEC85LS II","1","Bunkering Tanker"
"SS 2009","Beluga Houston","Volharding Shipyards, The Netherlands in cooperation with Hudong Zhonghua Shipyard, Shanghai, China","Volharding Shipyards","Beluga Shipping GmbH / Beluga Fleet Management GmbH","Germany","3 December 2009","168,68m","17.5knots @ 90% MCR","9424546","","Nil","30,100tonnes @ 9.50m draft","MAN B&W","7L 58/64","1","Bunkering Tanker"
"SS 2009","C. Galaxy","Hyundai Heavy Industries Co., Ltd","Hyundai Heavy Industries Co., Ltd","SK Shipping","Korea","13 February 2009","336m","16knots at 90% MCR with 15% sea margin","IMO 9404924","160,600gt","Nil","364,500tonnes","MAN – B&W","6S90MC-C","1","Bunkering Tanker"
"SS 2009","Cape Garland","Mitsui Engineering & Shipbuilding Co., Ltd","Mitsui Engineering & Shipbuilding Co., Ltd","Ri Shen Shipping Pte. Ltd","Singapore","30 January 2009","292.00m","15.3knots","9397846","92,278gt","1","","Mitsui MAN B&W","6S70MC-C (Mark 7)","1","Bunkering Tanker"
"SS 2009","Carnival Dream","Fincantieri Cantieri","Fincantieri Cantieri","Carnival Corporation","Italy","18 September 2009","305.60m","20.0knots","9378474","128,251gt","Nil","","Wartsila","12 V 46 C","6","Bunkering Tanker"
"SS 2009","CMA CGM Andromeda","Hyundai Heavy","Hyundai Heavy Industries Co., Ltd","CMA-CGM","France","18 March 2009","363m","24.7 knots at 90% MCR and 15m draft","IMO 9410727","131,330gt","1","171,370tonnes","HHI-EMD","12K98ME-C7","1","Bunkering Tanker"
"SS 2009","Coral Methane","Pilsudski Gdansk Repair Yard","Remontowa, Poland/ Tractebel Gas Engineering, Germany","Anthony Veder Rederijzaken BV / Gasno AS","The Netherlands","29 April 2009","117.80m","15.5knots","9404584","7904gt","Nil","9966tonnes","","","","LNG Carrier"
"SS 2009","Corella Arrow","Oshima Shipbuilding Co., Ltd","Oshima Shipbuilding Co., Ltd","Glory Ocean Shipping","Bahamas","May 11, 2009","225.00m","15.5knots at 85% MCR","9385477","44,684gt","1","","Kawasaki Heavy Industries. Co., Ltd","Kawasaki MAN B&W 6S60ME-C","1","Bunkering Tanker"
"SS 2009","Costa Luminosa","Fincantieri Cantieri","Fincantieri Cantieri","Costa Crociere","-. ..................................... Genoa - Italy","30 April 2009","294.00m","21.6knots at 74.7%MCR","9398905","92,600gt","Nil","","","","","Tanker"
"SS 2009","Cristobal Colon","La Naval Shipyard","IHC / La Naval Shipyard","Jan De Nul","Belgium","June 2009","213.5m","18knots @ 100% MCR","9429572","46,300gt (approx.)","Nil","","MAN Diesel","16 v 48/60 B","1","Naval Vessel"
"SS 2009","Desh Vishal","Daewoo Shipbuilding & Marine Engineering Co., Ltd","Daewoo Shipbuilding &","The Shipping","India","November 2009","333.0m","15.5knots at 90% MCR","9371749","162,400gt","1","363,700tonnes","B&W","7S80MC-C","1","Bunkering Tanker"
"SS 2009","Discoverer Clear Leader","Daewoo Shipbuilding &","Daewoo Shipbuilding &","Transocean Offshore","USA","26 March 2009","254.4m","about 13.2knots at 100 % at load (33,000kW)","9386122","65,500gt","1","101,500tonnes","MAN","14V32/40","6","Bunkering Tanker"
"SS 2009","E.R. Bergamo","Hyundai Mipo Dockyard","Hyundai Mipo Dockyard Co., Ltd","E.R. Schiffahrt","Germany","31 July 2009","187.88m","14.5knots","9483188","32,613gt","1","","Hyundai – B & W","6S50MC-C7","1","Bunkering Tanker"
"SS 2009","Emmy Schulte","Jiangxi Jiangzhou United","Shanghai Odely Marine","Hanseatic Tanker (commercial operator) / Bernhard Schulte","Isle of Man","10 March 2009","144.0m","13.5knots at 90%MCR","9394519","11,233gt","Nil","21,901tonnes","MAN B&W","6S35MC MK 7","1","Tanker"
"SS 2009","Express","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","EXMAR","Belgium","11 May 2009","291.0m","19.2knots (90% MCR with 21% sea margin)","","100,300gt","1","117,300tonnes","Cross compound, marine steam turbine","UA 360","1","Bunkering Tanker"
"SS 2009","Forest Venus","Imabari Shipbuilding Co., Ltd (Marugame Shipyard), Japan","Imabari Shipbuilding Co., Ltd (Marugame Shipyard)","NYK Line","Japan","17 April 2009","209.94m","14.5knots at 85% MCR","9477933","49,549gt","1","","2 stroke cycle, single acting, direct reversible, crosshead diesel engine with turbocharger","6S50MC-C (Mark 7)","1","Bunkering Tanker"
"SS 2009","Frecciamare","Deniz Industry","Tomay Design Consultant, Turkey","Ciane Arapo SpA, Italy","Italy","January 2009","84.975m","10.5knots@85% of MCR output","9479618","2093gt","1","","Mitsubishi","S12R-MTK","2","Naval Vessel"
"SS 2009","GDF Suez Neptune","Samsung Heavy Industries, Co","","Leif Höegh","Norway","30 November 2009","283.061m","19.5knots at 11.4m draft with 21% margin","9385673","96,153gt","Nil","","","","","Tanker"
"SS 2009","Jose María Entrecanales","NAVANTIA Astillero","NAVANTIA Astillero","Compañía","Spain","January 2010","209.43m","26.5knots at 82% MCR","9398527","30,998gt","Nil","22,140tonnes","MAN B&W Diesel","9L48/60B","4 x MAN B&W","Bunkering Tanker"
"SS 2009","Leale","Cantiere Navale De Poli, Venice","Cosnav Engineering SRL","Elbana di Navigazione","Italy","January 2009","112.00m","14.0knots at 85% MCR","9404637","","","","MAN B&W","8L 32/40","1","Bunkering Tanker"
"SS 2009","LNG Barka","Kawasaki Shipbuilding","Kawasaki","NYK LNG (Atlantic) Limited","UK","29 December, 2008","289.50m","abt. 19.5knot (90%MCR output with 21% S.M.)","9341299","121,514gt","2","","Kawasaki Heavy Industries Ltd","UA-400 steam turbine","1","LNG Carrier"
"SS 2009","Maas Viking","Odense Steel Shipyard Ltd","Flensburger","EPIC Shipping Ltd /NorfolkLine","UK","28 May 2009","193.30m","21.50knots @ 90%MCR","9457165","29,004gt","Nil","20,685tonnes","MAK","MAK 9M43C","2","Bunkering Tanker"
"SS 2009","Maersk Weymouth","CSBC Corporation, Taiwan","CSBC Corporation","White Fig Shipping S.A","Taiwan","October 2009","175.10m","20.00knots at design draft at 90% MCR","9410260","18,123gt","9","","MAN B&W","7S60MC-C","1","Bunkering Tanker"
"SS 2009","Mikela P","Hyundai Samho Heavy","Hyundai Samho Heavy","Daniel Marine Corp","Greece","6 November 2009","274.34m","15.8knots with 15% sea margin","9440382","81,347gt","3","183,839tonnes","HHI-EMD","1 x 6S70MC-C7","3","Bunkering Tanker"
"SS 2009","MSC Beatrice","Samsung Heavy Industries","MAN Diesel","Mediterranean","Switzerland","4 March 2009","366.1m","24.3knots (90% MCR output)","9399014","151,560gt","4","","Samsung, MMG","12K98MC-C7","1","Container Ship"
"SS 2009","Naftocement XVIII","Selah Makine VE Gemicilik","Cosnav Engineering SRL","Naftotrade Shipping and Commercial SA","Greece","December 2009","156.52m","14.0knots at 90%MCR","","","","","MAN Diesel","9L32/44 CR","1","Bunkering Tanker"
"SS 2009","Nexus 1","Samsung Heavy","Samsung Heavy","EBX Group","Brazil","15 January 2010","271.8m","10.5 knots @ 90%MCR","9399832","94,626gt","1","184,800tonnes at 18.2m draft","MAN Diesel Vertical, 4 stroke, V-engine","12V32/40","2","Bunkering Tanker"
"SS 2009","Nordic Agnetha","Hyundai Mipo Dockyard","Hyundai Mipo Dockyard Co., Ltd","Seaarland","Netherlands","May, 2009","184.21m","15.0knots","9422639","23,224gt","1","","MAN B&W","6S46MC-C7","1","Bunkering Tanker"
"SS 2009","Norgas Innovation","Skaugen Marine Construction (Taizhou Wuzhou Shipbuilding/ Shenghui Gas & Chemical Systems)","Carl Bro / I.M.Skaugen","Singco Gas Pte Ltd/ Norgas Carriers","Singapore/Norway","January 2010","137.10m","16.5knots @ 85%MCR","9378278","10,060gt","Nil","","MaK","7M43C","1","Reefer"
"SS 2009","North Ocean 103","Metalships & Docks, Spain","Sawicon","Technip Norway","France / Norway","8 September 2009","137.50m","15.5knots at 100% MCR","9397951","11,400gt","2","","Wärtsilä Diesel-Electric","9R32 Genset (including Alconza NIR 7186A-10LW generator)","4","Bunkering Tanker"
"SS 2009","Northern Expedition","Flensburger-Schiffbau-","Flensburger-Schiffbau-","British Columbia","Canada","09 March 2009","151.78m","20.5knots at 85% MCR","9408413","17,729gt","","8099tonnes","MaK medium-speed diesel","9M 32C","2 x MaK","Supply Vessel"
"SS 2009","Oasis of the Seas","STX Europe / Turku, Finland","STX Europe","Royal Caribbean International","USA","28 October 2009","361m","22knots @ 78 %MCR","9383936","225,282gt","Nil","","Wärtsilä diesel","46D","3 x V12 + 3 x V16","Bunkering Tanker"
"SS 2009","OSA Goliath","Drydocks World Pertama, Indonesia","GB Marine Pte Ltd / Coastline","Handel Maritime S.A. / Coastline Maritime Pte Ltd","Panama / Singapore","22 April 2009","","14knots @ 100%MCR / 12knots @ 90%MCR","9396933","25,423gt","Nil","35,380tonnes","","","","Bunkering Tanker"
"SS 2009","Prisco Irina","STX Offshore & Shipbuilding Co., Ltd","STX Offshore & Shipbuilding Co., Ltd","Primorsk","Singapore","17 March 2009","183.00m","14.6knots (85% MCR)","","29,967gt","2","","MAN B&W","6S50MC-C MKII","1","Bunkering Tanker"
"SS 2009","Seabourn Odyssey","T.Mariotti S.p.A","Y & S","Seabourn Cruise Line","United States","18 June 2009","198.15m","19knots","9417086","31,650gt","Nil","","","","","Passenger Ship"
"SS 2009","Seri Balhaf","Mitsubishi Heavy","Mitsubishi Heavy Industries, Ltd","MISC Berhad","Malaysia","1 January 2009","294.6m","19.5knots at 100% MCR","9331660","107,633gt","Nil","","Wärtsilä","12V50DF and 6L50DF","3 x 12V50DF + 1 x 6L50DF","Bunkering Tanker"
"SS 2009","Star Kirkenes","Hyundai Mipo","Hyundai Mipo Dockyard Co., Ltd","Grieg Shipping","Norway","25 June, 2009","208.73m","16knots","9396127","37,158gt","2","","MAN B&W","5S60MC-C8","1","Bunkering Tanker"
"SS 2009","Stolt Island","STX Norway Florø AS","STX Norway Design Florø AS","Stolt Tankers B.V","Holland","2 March 2009","182.72m","15knots at 73 % MCR","9414058","25,841gt","2","54,736tonnes","MAN","7S50 MC-C","1","Tanker"
"SS 2009","STX Freesia","STX Offshore &","STX Offshore & Shipbuilding","STX Pan Ocean Co., Ltd","Korea","23 September 2009","292.0m","15.0knots at 18.2m draft (90% MCR)","","95,047gt","Nil","207,383tonnes","MAN B&W Diesel AG","STX MAN B&W 6S70MC-C(MK VII)","1","Research Vessel"
"SS 2009","STX Rose1","STX Offshore &","STX Offshore &","STX Pan Ocean Co., Ltd","Korea","30 December 2008","174.2m","11.7knots at 85% MCR","","17,824gt","Nil","26,756tonnes","MAN B&W Diesel","STX MAN B&W 8L32/40","2","Mooring Launch"
"SS 2009","Tirranna","Daewoo Shipbuilding &","Daewoo Shipbuilding & Marine Engineering Co., Ltd","Wilhelmsen Lines","Norway","19 May 2009","231.6m","20.92knots at 80% MCR","9377523","71,700gt","3","42,300tonnes at design draft","MAN","B&W8S60ME-C","1","Bunkering Tanker"
"SS 2009","Viking Poseidon","Ulstein Verft AS","Ulstein Design AS","Eidesvik OCV KS/ Eidesvik AS","Norway","13 January 2009","130m","14 knots at 80% MCR (15 knots at 100%)","9413535","11,719gt","2","18,256tonnes","Rolls Rolls Azipull 120","AMI 560L6L BAFMH","2","Bunkering Tanker"
"SS 2009","Zenovia Lady","Sungdong Shipbuilding &","Sungdong Shipbuilding &","Byzantine","Greece","18 August 2009","247.9m","14.7knots at 90% MCR output","9389277","62,200gt","2","","MAN B&W","7S60ME-C","1","Bunkering Tanker"
