FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2018","AlmiAtlas","HyundaiSamhoHeavyIndustriesCo. Ltd","HyundaiSamhoHeavyIndustriesCo. Ltd","AlmiTankers","Greece","13March2018","336.08m","15.2knotsatdesigndraughtCargocapacity","","162,306gt","","138,911t","Hyundai-B&W","7G80ME-C9.5-EGRTC","1","Naval Vessel"
"SS 2018","Amphion","SamsungHeavyIndustriesCo., Ltd","SamsungHeavyIndustriesCo., Ltd","CVLCOneCarrierCorp","Greece","13January2019","33m","14.5knotsCargocapacity","","191,683gtDeadweight","","","Consilium","MANB&W7G80ME-C9.5","1","Bunkering Tanker"
"SS 2018","BritishPartner","DaewooShipbuilding & MarineEngineeringCo., Ltd","DaewooShipbuilding & MarineEngineeringCo., Ltd","BPShipping","UK","29May2018","294.9m","20.0knotsat72% MCRw/oS.M","","115,366gt","","","MANDiesel & Turbo","MANB&W5G70ME-C9.5-GI (Derated)","2","LNG Carrier"
"SS 2018","BWTulip","DaewooShipbuilding & MarineEngineeringCo., Ltd","DaewooShipbuilding & MarineEngineeringCo., Ltd","BWDiscoveryPte. Ltd","Singapore","3January2018","294.9m","19.5knotsCargocapacity","","114,364gtDeadweight","","","MANB&W","5G70ME-C9.5-GI","2","LNG Carrier"
"SS 2018","CMACGMAntoineDeSaintExupery","HHIC-PhilInc","HHIC-PhilKorea / HHIC- TechInc","CMACGM","France","26January2018CMACGMANTOINEDE","400m","21.5knotsBunkers","","217,600gtDeadweight","","","Hyundai-WinGD","W11X92","1","Container Ship"
"SS 2018","CMACGMPregolia","JinHaiIntelligentManufacturingCo. Ltd. (JHIM)","ShanghaiMerchantShipDesign & ResearchInstitute (SDARI)","CMACGM","France","March2018","195.00m","19.8knotsBunkers","","29,316gtDeadweight","","","MAN","6G60ME-C9.5TierII","1","Research Vessel"
"SS 2018","DanielK. Inouye","PhillyShipyard, Inc","KoreaMaritimeConsultants, Co. LTD (KOMAC)","MatsonNavigation, Co","USA","31October2018","260.3m","","","48,409gt","","66,787t","38,00kW","MANB&W7S90ME-C10.5-GI","1","Container Ship"
"SS 2018","DHTBronco","HyundaiHeavyIndustries","HyundaiHeavyIndustries","DHT","Norway","27July2018","33m","14.8knotsCargocapacity","","","","","Hyundai","7G80ME-C9.5-HPSCR","1","Tanker"
"SS 2018","EagleBarcelona","SamsungHeavyIndustriesCo., Ltd","SamsungHeavyIndustriesCo., Ltd","AETInc. Limited","Singapore","January2018","250m","14.5knotsCargocapacity","","61,00gtDeadweight","","","Consilium","MAN6G60ME-C9.5","1","Tanker"
"SS 2018","ElCoqui","VTHalterMarine","VTHalterMarine / WärtsiläShipDesign","CrowleyConRoLLC","UnitedStates","18July2018","219.5m","21.0knots @ 10mdraught @ 76% MCR + 15% seamargin","","37,462gt","","42,449t @ 10m","MAN","8S70ME-C8.2-GI","1","Container Ship"
"SS 2018","Flavin","JiangsuNewHantongShipHeavyIndustryCo., Ltd","ShanghaiMerchantShipDesignandResearchInstitute (SDARI)","CardiffMarine","Greece","March2018","249.9m","14.5knotsCargocapacity","","64,321gt","","134,845t","YanmarCo.,Ltd. / 6EY22ALW","6G50ME-C9.5-TII","1","Research Vessel"
"SS 2018","FureVinga","AVICDingheng","FKABSweden","FuretankChartering","Sweden","4April2018","149.9m","13knotsCargocapacity","","12,770gt","","24,484t","Wärtsilä","9L34DF","1","Container Ship"
"SS 2018","GagarinProspect","HyundaiSamhoHeavyIndustriesCo. Ltd","HyundaiSamhoHeavyIndustriesCo. Ltd","Sovcomﬂot","Russia","30July2018","249.99m","14.68knotsCargocapacity","","64,909gt","","126,658t","Hyundai-Wärtsilä","W7X62DF","1","Research Vessel"
"SS 2018","GolarNanook","SamsungHeavyIndustries","SamsungHeavyIndustries","GolarLNGLtd","UnitedKingdom","September2018","305.8m","","","107,049gtDeadweight","","","Flutek","8L50DF","4","LNG Carrier"
"SS 2018","HMMPromise","HHIC-PhilInc","HHIC-PhilKorea / HHIC-TechInc","HyundaiMerchantMarineCo.,Ltd","RepublicofKorea","23June2018","330m","","","114,00gtDeadweight","","","MANDieselTurbo","8G95MEC9.5","1","Container Ship"
"SS 2018","HoeghGannet","HyundaiHeavyIndustries","HyundaiHeavyIndustries","Hoegh","Norway","06December2018","294m","18knotsCargocapacity","","110,532gtDeadweight","","","Fourstroke, singleacting, trunkpiston, turbocharged, intercooled, constantspeed, non-reversible, drysump, dualfuelburning","Wärtsilä8L50DF / 6L50DF","8L50DFx3 / 6L50DFx1","LNG Carrier"
"SS 2018","IberianSea","HHIC-PhilINC","HHIC-PhilKorea / HHIC-TechInc","EasternPaciﬁcShippingPte. Ltd","Singapore","17November2018","249.8m","14.5knotsCargocapacity","","63,416gtDeadweight","","","MANDieselTurbo","6G60ME-C9.5","1","Tanker"
