FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2021","AlteraWave","SamsungHeavyIndustriesCo.Ltd","4- strokeengine","AlteraInfrastructure","UK","04January2021","Approx.245m","14.5knotslncl.15 % powermargin(90 % ofMPP)","","","","128,000t","Brunvoll","8L34DF","4","LNG Carrier"
"SS 2021","Aquasmeralda","JiangsuNewYangzi","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","Chandris","Greece","10September2021","182.55m","14.5knots @ 75 % SMCRwith15 % SM","","29,725t","","","ZhenJiangChina","6G50ME- C9.6","1","Tanker"
"SS 2021","Arabella","IcdasCelikEnerjiTersaneve","DeltaMarineEngineeringand","GEFOGesellschaftfür","Germany","17September2021","110.00m","13.0knots(90 % MCR,15 % seamargin,200kWS/Gincluded)","","5,582t","","10,830t","Siemens/Wärtsilä","6L34DF","1","Tanker"
"SS 2021","ArvikI","JapanMarineUnited","JapanMarineUnitedCorporation","FednavLimited","Canada","29March2021","188.80m","13.5knots","","22,615t","","","DaihatsuDieselMfg","7S70ME- C8.5- EGRBP","1","Mooring Launch"
"SS 2021","AutoAdvance","JiangnanShipyard(Group)","ShanghaiMerchantShipDesign","UnitedEuropeanCar","Norway","November2021","169.10m","17.80knots","","35,667t","","","WETech /PMM1050- 92- 1000- 20","6RT-flex50DFTier-IIIinGasModel","1","LNG Carrier"
"SS 2021","Azerbaijan","BakuShipyardLLC","MarineEngineeringBureau","AzerbaijanCaspian","Azerbaijan","01March2021","154.50m","14knots","","8,523t","","10,438t","Wärtsilä","8L26","2","Ro-Ro"
"SS 2021","BellavistaExplorer","HyundaiSamhoHeavy","HyundaiSamhoHeavyIndustries","BocommLeasing","China","30June2021","229.98m","16.8knotsatdesigndraftandatNCRwithoutP.T.O.powerwith15 % seamargin","","52,868t","","78,878t","WEtech /PWMconvertertype","Hyundai- MANB & W6G60ME- C9.5- LGIPwithHP- SCR","One(1)set","Tanker"
"SS 2021","BelleLune","TsuneishiZhoushan","Tsuneishi","NissenKaiunKK","Japan","13May2021","180m179.99m","","","26,700t26,272t(ClassNK)","","","Miura","5- cylinder2- stroke","1","Bunkering Tanker"
"SS 2021","BlueMarjan","ConcordiaDamen","ConcordiaDamen","Jupiter8Limited","Bermuda","January2022","110.00m","16km/h","","","","3,769t","Veth","NaturalGasEngineE3262LE262","2","LNG Carrier"
"SS 2021","Calypso","CSSCChengxiShipyard","EideMarineEngineeringB.V /CSMarine /OldendorﬀCarriersGmbH & Co.KG","OldendorﬀCarriers","Germany","12January2021","145m","10knots","","23,739t","","31,181.4t","CMPMAN8L27/38","CZ980","2",""
"SS 2021","CapeAce","NamuraShipbuildingCo.,Ltd","NamuraShipbuildingCo.,Ltd","KawasakiKisen","Japan","07December2020","249.94m","","","60,133t","","","DaihatsudieselMfg","6S60ME- C8.5(LLO- HPT)","1",""
"SS 2021","CenturyHighwayGreen","TadotsuShipyardCo.,Ltd","ImabariShipbuildingCo.,Ltd","KawasakiKisen","Japan","12March2021","abt.199.98m","","","73,515t","","","OsakaBoilerMfgCo.Ltd","8S50ME- C9.6- GIEGRforNOxreductionwhenrunningonoil","1","LNG Carrier"
"SS 2021","Cherokee","CSSCHuangpuWenchong","CSSCShanghaiMerchantShip","CGRailwayInc","UnitedStates","08June2021","180.0m","14.4knots","","31,400t","","","CSSCMarinePower","MANB & W6S35ME- B9.5EGRBP","2",""
"SS 2021","DoleMaya","CSSCChengxiShipyard","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","VenturaTradingLtd","UnitedStates","20January2021","195.00m","19.7knotsat85 % MCRwith15 % SM","","28,780t","","47,430.1t","CSSCMarinePower","7G60ME- C9.5- EGRBP","1","Reefer"
"SS 2021","EleanorRoosevelt","AstillerosArmon","IncatCrowther","Balearia","Spain","","123.0m","35knots","","","","","Reintjes","16V31DF","4","LNG Carrier"
"SS 2021","Faustine","HyundaiMipoDockyard","HyundaiMipoDockyard","CLdN","Belgium","08October2021","216.47m","17.60knots","","50,450t","","","HHI- EMD /3sets/shipof8H25/33,1setof6H21/32","Hyundai- B & W7S50ME- C9.5- GI(TIERII)","1set /ship","Container Ship"
"SS 2021","FerryKyoto","MitsubishiShipbuilding","MitsubishiShipbuildingCo.,Ltd","JapanRailway","Japan","10December2021","195.00m","23.2knots(85 % MCR)","","33,390t","","","Renk","12PC2- 6B","2","Ferry"
"SS 2021","GasGabriella","HyundaiHeavyIndustry","HyundaiHeavyIndustryCo.,Ltd","KSSLineLtd","RepublicofKorea","18January2021","229.98m","16.9knots","","48,858t","","","HiMSEN,6H21/32","6G60ME- C9.5- HPSCR","1","Mooring Launch"
"SS 2021","HachinoheMaru","OshimaShipbuildingCo.,Ltd","OshimaShipbuildingCo.,Ltd","NipponYusen","Japan","28December2021","209.96m","14.20knots","","49,887t","","","DaihatsuDieselMfg","6UEC50LSH- Eco- C2","1","Mooring Launch"
"SS 2021","Hamayu","MitsubishiShipbuilding","MitsubishiShipbuildingCo.,Ltd","ShinNihonkaiFerry","Japan","26February2021","222.5m","28.3knots","","31,408t","","","Wärtsilä","14V31","4","Mooring Launch"
"SS 2021","HavilaCapella","TersanShipyardInc","HAVShipDesign","HavilaKystruten","Norway","October2021","12.10m","16knots","","4,419t","","8,639.7t","2xNEGR560LA6 + 2xNEGR630LA6","2xC26: 33L6AGand2xC26: 33L9AG","asabove","LNG Carrier"
"SS 2021","HLEco","HyundaiSamhoHeavy","HyundaiSamhoHeavyIndustries","H- Line","RepublicofKorea","16November2020","291.90m","14.5knotsatdesigndraughtandatNCRofM/Ewith15 % Seamargin","","97,545t","","207,202t","HiMSEN5H22CDF","W6X72DF","1set","LNG Carrier"
"SS 2021","HMMNuri","HyundaiHeavyIndustry","HyundaiHeavyIndustryCo.,Ltd","HMMCo.,Ltd","RepublicofKorea","19March2021","365.16m","22.35knots","","152,003t","","","Hyundai- HiMSEN9H32/40x2sets,7H32/40x2sets","9G95ME- C10.5","1","Mooring Launch"
"SS 2021","HuiZhiHai","COSCOShippingHeavy","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","ChinaCOSCOBulk","China","December2020","299.95m","14.5knots","","108,588t","","","YanmarCo.,Ltd /MAN6EY22ALW","6G70ME- C9.5","1","Research Vessel"
"SS 2021","Jaarli","HyundaiHeavyIndustry","HyundaiHeavyIndustryCo.,Ltd","Neste","Finland","30September2021","249.84m","13.9knots","","63,532t","","","HyundaiHiMSEN9H25/33x2sets,6H25/33x2sets","6G60ME- C9.5","1","Mooring Launch"
"SS 2021","JiLongDao","CSSCGuangzhouShipyard","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","COSCOShippingFerry","China","August2021","208.00m","22.3knotsat85 % MCRwith15 % SM","","43,195t","","","Renk","MAN12V48/60CR","2","Fire Fighting Vessel"
"SS 2021","Katori","NanjingJinlingShipyard","CSSCShanghaiMerchantShip","NipponYusenKaisha","Japan","September2021","138.0m","13knots","","12,792t","","","DaihatsuDieselMfg","6UEC35LSE- Eco- B2- SCR","1",""
"SS 2021","LeCommandantCharcot","Vard","StirlingDesign","Ponant","France","19July2021","149.9m","18.04knotsat9.50mat54,25 % MCR","","31,283t","","28,973.5t","AlfaLaval - Aalborg","31DF","6","LNG Carrier"
"SS 2021","Legacy","HyundaiMipoDockyard","HyundaiMipoDockyardCo.,Ltd","NietoTradingB.V","Netherlands","02July2021","179.86m","16.00knots","","25,110t","","","HHI – Engine &","Hyundai - MANB & W6G50ME- C9.6- LGIP- HPSCR","1","Tanker"
"SS 2021","MSCSeashore","Fincantieri","Fincantieri","MSCCruises","Switzerland","26July2021","339m","21.1knots","","170,412t","","83,102t","NIDECASI /GSCR11Y12","14V46FwithSelective","4","Passenger Ship"
