FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2012","AIDAmar","Meyer Werft","","AIDA Cruises","Germany","3 May 2012","253.30m","21,8knots","9490052","71,304dwt","2","37,375tonnes","Caterpillar","9M43C","4","Passenger Ship"
"SS 2012","Al-Idrisi","STX Offshore &","summer draught 6.30m","Jan De Nul","Belgium","27 March 2012","119.10m","13.7knots","9572707","8,082gt","nil","16,811tonnes","4 stroke","8L32/40","2 x windlasses 1 x capstan","Dredger"
"SS 2012","APL Southampton","Daewoo Shipbuilding & marine Engineering Co., Ltd","Daewoo Shipbuilding & marine Engineering Co., Ltd","Neptune Orient Lines","Singapore","30 April 2012","347.0m","23.4knots","9462017","128,929gt","","","1 x MAN B&W","12K98ME-C7.1","","Container Ship"
"SS 2012","Arkadia","Hyundai-Vinashin Shipyard","Hyundai Mipo","ESL Shipping","Finland","02 January 2012","197.08m","14.5knots","9590797","33,958gt","1","68,418tonnes","Hyundai Heavy Industry Co., Ltd","7S50MC-C8","1","Bulk Carrier"
"SS 2012","Astomos Earth","Mitsubishi Heavy Industries Ltd","Mitsubishi Heavy Industries Ltd","Idemitsu Tanker Co., Ltd","Japan","31 August 2012","230.00m","17knots","9607069","47,950gt","nil","","Mitsubishi Heavy Industries Ltd","7UEC60LSII","1","Tanker"
"SS 2012","Baie St. Paul","CSSC Chengxi Shipyard Co., ltd","Cooke Naval Architect","Canada Steamship Lines","Canada","27 September 2012","225.5m","13knots","9601027","24,430gt","nil","","1 x MAN B&W","6S50ME-B9 Tier II","1","Naval Vessel"
"SS 2012","BBC Amethyst","Jinagzhou Shipyard","abh Ingenieur-Technik GmbH","BBC Chartering","Germany","January 2012","153.80m","17.7knots","9563706","12,800gt","7","23,596tonnes","2 x 6L23/30, 1 x 8L23/30","6S46MC-C8","1","Container Ship"
"SS 2012","Brightoil Glory","Hyundai Heavy Industries","HHI","Brightoil","Hong Kong","26 November 2012","333m","16.4knots","9602631","161,269gt","2","","2-stroke","6S90ME-C8.2","1","Mooring Launch"
"SS 2012","Brightway","Hanjin Heavy Industry & Construction Co., Ltd","Hanjin Heavy Industry & Construction Co., Ltd","Tanker Pacific Management","Singapore, India, UK","1 May 2012","274.00m","15.7knots","9588146","83,830gt","","185,000tonnes","MAN Turbo Diesel","6S70MC-C8","2 x 32 persons","Tanker"
"SS 2012","CMA CGM Marco Polo","Daewoo Shipbuilding & Marine Engineering Co., Ltd","Daewoo Shipbuilding & Marine Engineering Co., Ltd","CMA CGM","France","16 October 2012","396.0m","25.1knots","9454436","153,022gt","nil","","Wärtsilä 14RT-flex96C","Radar and integrated navigation system","2 x windlasses, 10 x mooring winches","Container Ship"
"SS 2012","Coral Energy","Neptun Werft","Neptun Werft","Anthony Veder Chartering B.V","The Netherlands","January 2013","154.95m","15.80knots","9617698","","nil","","Wärtsilä","8L50DF","1","LNG Carrier"
"SS 2012","Eagle San Antonio","Samsung Heavy Industries","Samsung Heavy Industries Co., Ltd","AET/ AET","Singapore","26 April 2012","274.29m","15.97knots","9594822","80,783gt","3","181,682tonnes","MAN Diesel & Turbo","6S70MC-C8.1","2 x auxiliary boiler 		1 x composite boiler. 1 x composite boiler","Tanker"
"SS 2012","Elka Leblon","STX Offshore & Shipbuilding Co., Ltd","STX Offshore & Shipbuilding Co., Ltd","European Navigation Inc","Greece","23 December 2012","278.30m","15.5knots","9625712","","nil","182,644tonnes","STX-MAN B&W","6S70ME-C8.1 (NOx Tier III)","2 x Kangrim","Tanker"
"SS 2012","Emerald Ace","Mitsubishi Heavy Industries","Mitsubishi Heavy Industries","Mitsui OSK Lines","Japan","29 June 2012","199.99m","20.65knots","9539236","60,154gt","3","","Mitsubishi Heavy Industries","7UEC60LSII (P/U)","1","Ro-Ro"
"SS 2012","Ephesos","Hyundai Samho Heavy","Hyundai Samho Heavy","N.J Goulandris","Greece","28 February 2012","274.18m","15.30knots","9607423","84,850gt","1","191,050tonnes","Hyundai B&W","6S70ME-C8","1","Tanker"
"SS 2012","Ever Lambent","Samsung Heavy Industries","Samsung Heavy Industries","Evergreen","Taiwan","25 July 2012","335m","24.7knots","9595436","97,500gt","5","","MAN Diesel & Turbo","9K98ME7","1","Container Ship"
"SS 2012","Ferry Naminoue","Mitsubishi Heavy Industries","Mitsubishi Heavy Industries, Ltd","A Line Ferry Co., Ltd","Japan","19 September 2012","145.00m","21knots","9608348","8,072gt","","","S.E.M.T – Pielstick","12PC2-6V","2","Ferry"
"SS 2012","FS Diligence","Namura Shipbuilding Co., Ltd","Namura Shipbuilding Co., Ltd","J&K Shipping","Hong Kong","18 January 2012","249.97m","15.2knots","9532161","63,058gt","1","","Nakashima Propeller Co., Ltd","1 x MAN B&W 6S60MC-C","1","Tanker"
