FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2013","Almetyevsk","PHC, Zelenodolsk, Russia","","AK BARS Leasing","Russia","15 March 2013","139.99m","10.5knots","9621558","4,531gt","1","8,819tonnes","Schottel","6L20","2","Tanker"
"SS 2013","Amber Champion","Chengxi Shipyard Co., Ltd","Shanghai merchant Ship","Ray Champion Shipping","Hong Kong, China","28 March 2013","199.85m","14.48knots","9637210","36,332gt","1","75,196tonnes","MAN B&W","5S60ME-C8.2","1","Bulk Carrier"
"SS 2013","APL Temasek","Hyundai Samho Heavy","Hyundai Samho Heavy","Neptune Orient Line","Singapore","14 March 2013","368.82m","22.60knots","9631955","151.963gt","6","195,751tonnes","HHI-EMD","11S90ME-C9.2","1","Container Ship"
"SS 2013","Bahri Abha","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","Bahri (National Shipping","Saudi Arabi","5 February 2013","224.96m","17knots","9620944","50,714gt","2","","Wärtsilä","7RT-flex58T-D(Tier II)","1","Ro-Ro"
"SS 2013","Bluebird Arrow","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","Gearbulk (UK) Limited","UK","18 January 2013","156.96m","14knots","9635377","15,607gt","nil","","Hyundai Heavy Industry Co., Ltd","Hyundai B&W 6S42MC7.1 (Tier II)","1","Tanker"
"SS 2013","Brasil Voyager","Samsung Heavy Industries","Samsung Heavy Industries","Chevron Shipping Company","Bahamas","28 May 2013","282.14m","15.13knots","9637777","83,942gt","nil","","MAN Diesel & Turbo","6S70ME-C8.2","1","Mooring Launch"
"SS 2013","Cap Arnauti","HHCI-Phil","Total Marine Services Co., Ltd","Zodiac Maritime","UK","29 April 2013","270.90m","21.43knots","9629380","69,809gt","1","103,166tonnes","Hanjin Heavy Industries and","MAN B&W 6S80ME-C 9.2","SB6S80-12585","Container Ship"
"SS 2013","Cape Green","Japan Marine United Corporation","Japan Marine United Corporation","Newport Pioneer One","Panama","1 August 2013","299.99m","14.7knots","9651072","107,100gt","nil","","MAN B&W","7S65ME-C","1","Mooring Launch"
"SS 2013","Cash","SPP Shipbuilding Co., Ltd","SPP Shipbuilding Co., Ltd","Geden Line","Turkey","2 May 2013","229.00m","14.92knots","9628087","44,619gt","nil","94,867tonnes","Hyundai Heavy Industries","6S60MC-C(MK8.1)","1","Bulk Carrier"
"SS 2013","Castorone","Yantai CIMC Raffles","Wärtsilä Deutschland","Saipem Offshore Norway","Norway","January 2013","325.00m","12.50knots","9444194","56,529gt","nil","100,000tonnes","Wärtsilä 12V38B","","2","Naval Vessel"
