FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2003","Alnoman","Shina Shipbuilding Co Ltd, , Korea","Shina Shipbuilding Co Ltd, , Korea","Qatar Shipping Co SAQ, , Qatar","Qatar","15January2003","175.90m","15.00knots","","25,408gt","","46,035tonnes","…………………MANB&W","6S50MC","1","Naval Vessel"
"SS 2003","Amaranta ( (charternameNorasiaEnterprise) )","Stocznia Gdynia SA, , Poland","Stocznia Gdynia SA, , Poland","Peter Döhle Schiffahrts KG, , Germany","Liberia","December2003","286.26m","","","51,363gt","","","Sulzer","8RTA96C","1","Container Ship"
"SS 2003",":. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .Arklow River",": . .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .Barkmeijer Stroobos BV, , The Netherlands",":. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .Barkmeijer Stroobos/ / Conoship International, , The Netherlands",":. .. .. .. .. .Arklow Shipping Ltd, , Ireland",": . .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .Ireland Totalnumberofsistershipsalreadycompleted: :. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .1 Totalnumberofsistershipstillonorder: : . .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .. .5 ARKLOWRiverformspartofanewclassofcirca- 4500dwtvesselscurrentlybeingdeliveredfromtheBarkmeijeryard, andbuiltoadesignwhichsharesmanyfeatureswithtwosistershipscompletedin2002byfellowConoshipmember, ShipyardBijlsma (Arklow","February2003","89.98m","12knots","","299gt","","","MaK","6M25","1","Container Ship"
"SS 2003","Atalaya de Alcudia","Hijos de J Barreras SA ( (Astillero Barreras) ), , Spain","Hijos de J Barreras SA","Transportes Marítimos de Alcudia SL, , Spain","Spain","8May2003","160.00m","23.00knots","","","","","Wärtsilä","12V46C","2","Ro-Ro"
"SS 2003","Berge Everett","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","Daewoo Shipbuilding & & Marine Engineering Co Ltd, , Korea","Bergesen dy, , ASA, , Norway","Norway","17June2003","277.00m","19.50knots","","93,844gt","","107,00tonnes","","","","LNG Carrier"
"SS 2003","B G Ireland","Volharding Shipyards BV, , The Netherlands ( (hull built by Daewoo Mangalia Heavy Industries ( (DMHI) ), , Romania) )","Volharding/ /various owners, , The Netherlands","Unitas Schiffahrtsgesellshaft mbH & & Co, , Germany","Cyprus","7October2003","134.65m","18knots","","7660gt","","","CaterpillarMaK","8M43","1","Container Ship"
"SS 2003","Bianca Amoretti","Chengzi Shipyard, , People' 's Republic of China","INEC GmbH, , Germany","m. .e. . Marittima Emiliana SpA, , Italy","Italy","11August2003","175.94m","15.50knots","","19,900gt","","","CaterpillarMaK","9M43","1","Tanker"
"SS 2003","Bitflower","Scheepswerft Bijlsma BV, , The Netherlands","Conoship International BV, , The Netherlands","Tarbit Shipping AB, , Sweden","Sweden","3June2003","114.60m","15.00knots","","4980gt","","","Wärtsilä","6L38B","1","Icebreaker"
"SS 2003","Boraq","Hyundai Mipo Dockyard Co Ltd, , Korea","Hyundai Mipo Dockyard Co Ltd, , Korea","Bakri Navigation Co Ltd, , Saudi Arabia","Panama","31March2003","183.00m","15.25knots","","29,570gt","","56,230tonnes","MAN-B&W","6S50MC-C","1","Research Vessel"
"SS 2003","Bow Sun","Stocznia Szczecinska Nowa Sp zo o, , Poland","10.80mscantling ................................................................11.50m","Odfjell ASA, , Norway","Norwegian International Ship Register","1August2003","182.88m","99.5rev/minMain-enginedrivenalternators","","29,965gt","","","Sulzer","6RTA58TB","1","Tanker"
"SS 2003","Capricorn Star","Hyundai Heavy Industries Co Ltd, , Korea","21.50mscantling....................................................................22.50m","Vela International Marine Ltd, , Saudi Arabia","Liberia","25July2003","33.00m","14.60knots","","164,00gt","","","MANB&W","7S80MC","1","Tanker"
"SS 2003","Carmel Ecofresh","Estaleiros Navais de Viana do Castelo, , Portugal","Schiffko GmbH, , Germany","Horizont Schiffahrtsgesellshaft GmbH, , Germany/ /Agrexco, , Israel","Liberia","-","185.85m","21.00knots","","17,929gt","","26,571tonnes","Sulzer","7RT-flex60C","1","Reefer"
"SS 2003","Celanova","Hijos de J Barreras SA ( (Astillero Barreras) ), , Spain","Hijos de J Barreras SA","Globalgas SA, , Spain","Spain","3June2003","120.00m","15.30knots","","","","","MANB&W","8S35MC","1","Tanker"
"SS 2003","Cinnamon","Wuhu Shipyard, , People' 's Republic of C","Algoship Designers Ltd, , Bahamas/ /Marine Design & & Research Institute, , People' 's Republic of China","Navarone SA, , Greece/ / Canafore Navigation, , Canada","Bahamas","23January2003","186.41m","14.00knots","","18,311gt","","34,909tonnes","MANB&W","7S42MCMk6","1","Research Vessel"
"SS 2003","Cosmo","Celik Tekne Shipyard, , Turkey","MES ( (Marine Engineering Service) ), , Turkey","Mediterranea di Navigazione, , Italy","Italy","24March2003","99.94m","14knots","","4500gt","","7930tonnesat6.2m","MANB&W","7L32/40","1","Tanker"
"SS 2003","Costa Fortuna","Fincantieri SpA, , Italy ( (Sestri Ponente yard) )","Fincantieri SpA, , Italy","Costa Crociere SpA, , Italy","Italy","","","","","","","","","","","Passenger Ship"
"SS 2003","Courageous Ace","Minami Nippon Shipbuilding Co Ltd, , Japan","Minami Nippon Shipbuilding Co Ltd, , Japan","Courage Shipholding SA, , Panama/ /Mitsui OSK Lines, , Japan","Panama","20March2003","198.00m","20.00knots","","56,439gt","","","Mitsubishi","8UEC60LS","1",""
"SS 2003","Crystal Marine","Kawasaki Shipbuilding Corp, , Japan","Kawasaki Shipbuilding Corp, , Japan","Kumai Navigation ( (Pte) ) Ltd, , Singapore","Singapore","30June2003","227.50m","17.00knots","","45,801gt","","","MANB&W","7S60MC-C","1","Research Vessel"
"SS 2003","Francesco di Giorgio","IZAR ( (Astillero de Gijon) ), , Spain","IZAR ( (Astillero de Gijon) ), , Spain","Jan de Nul Group, , Belgium","Spain","2003","95.30m","","","","","","","","","Dredger"
"SS 2003","Grande Nigeria","Fincantieri SpA, , Italy","Fincantieri SpA, , Italy","Industria Armamento Meridionale SpA, , ( (INARME) )/ /Grimaldi Group, , Italy","","25January2003","214.00m","","","58,500gt","","","Sulzer","8RTA62U-B","1","Ro-Ro"
"SS 2003","Hellas Nautilus","Hyundai Heavy Industries Co Ltd, , Korea","Hyundai Heavy Industries Co Ltd, , Korea","Consolidated Marine Management Inc, , ( (CMM) ), , Greece","Greece","3July2003","225.27m","16.75knots","","46,910gt","","","MANB&W","6S60MC-C","1","Research Vessel"
"SS 2003","Inigo Tapias","IZAR ( (Astillero Sestao, , Bilbao) ), , Spain","IZAR","Naviera F Tapias SA, , Spain","Spain","1August2003","284.40m","","","93,450gt","","","Cross-compoundimpulse","-","1","LNG Carrier"
"SS 2003","IVS Viscount","Xingang Shipyard, , People' 's Republic of China","Algoship Designers Ltd, , Bahamas","Dockendale Shipping Co Ltd, , Bahamas","Bahamas","23July2003","179.28m","14.50knots","","22,072gt","","41,745tonnescantling.......................................................43,734tonnes","Sulzer","6RTA48TB","1","Research Vessel"
"SS 2003","Jumbo Javelin","Damen Shipyards Galatz, , Romania, ,( (Damen Shipyards Cargo Vessels, , The Netherlands) )","Jumbo Navigation/ / Damen Shipyards, , The Netherlands","Jumbo Navigation NV, , The Netherlands Antilles","The Netherlands Antilles","-","143.10m","17knots","","15,009gt","","","MANB&W","9L32/40","…2","Heavy-Lift"
