FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2022","AmoreMio","HyundaiSamhoHeavy","MANEnergySolutions","CapitalShip","Greece","25July2022","329.98","14.8atNCR","","154,004","","342,576","HyundaiHeavy","Hyundai- MANB & W7G80ME- C9.5- HPSCR","1","Tanker"
"SS 2022","AuraSeaways","GuangzhouShipyard","Deltamarin","DFDSA /S","Denmark","18December2021","230.0m","","","56,043t","","32,430t","Wärtsilä6L26,each2,040kW","2xWärtsilä6L46F,maximumcontinuousrating(MCR)each7,200kW2xWärtsilä8L46F,maximumcontinuousrating(MCR)each9,600kW","4",""
"SS 2022","AvenirAspiration","NantongCIMCSinopaciﬁc","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","AvenirLNGLimited","UK","08October2021","115.8m","12.5kts","","8,366","","","MAN8L23/30DF","FAR- 3310","2sets","Mooring Launch"
"SS 2022","BoreWay","WuhuShipyardCo.,Ltd","Conoship /ShanghaiMerchant","BoreWayOYAB","Finland","January2022","121.89m","13.5kn","","9,133","","1,1161t","Wärtsiläpackaged","8L34DF","1","LNG Carrier"
"SS 2022","CemtexExcellence","OshimaShipbuildingCo.,Ltd","OshimaShipbuildingCo.,Ltd","U- MingMarineTransport","Taiwan","14March2022","235.00m","14.30kts","","54,244","","","YanmarCo.,Ltd","MitsuiMANB & W6G60ME- C10.5","1","Mooring Launch"
"SS 2022","ChangZan","DamenYichangShipyard","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","ShanghaiChangjiang","China","March2022","122.20m","12.0","","7,730","","","5DK- 20e/6DK- 20e","5S35ME- B9.7TierII","1","Container Ship"
"SS 2022","CMACGMDignity","HyundaiHeavyIndustries","HyundaiHeavyIndustries","CMACGM","France","10February2022","365.99m","21.65kts(NCRwith15 % S.M.)","","150,783","","","Hyundai/HiMSEN8H35DF","MANB & W11G90ME- C10.5-","1","Container Ship"
"SS 2022","CoralNordic","JiangnanShipyard(Group)","JiangnanShipyard(Group)","AnthonyVeder","Netherlands","12October2022","176.80m","15.80kts","","26,234gt","","","Renk","8L50DF","1","LNG Carrier"
"SS 2022","DongYi601","PenglaiZhongbaiJinglu","ShanghaiMerchantShipDesign & ResearchInstitute,CSSC(SDARI)","FujianDongYiShipping","China","29April2022","225.0m","13","","45,287","","87,524","CSSCXiandai /ZFC6502- 84E(freeend)","6S50ME- C9.7TierII","1","Research Vessel"
"SS 2022","EagleCampos","HyundaiHeavyIndustries","HyundaiHeavyIndustries","AET","Malaysia","22December2021","278.0m","14.50kts","","84,560","","","Hyundai /HiMSEN9H32/40(1set),7H32/40(4sets)","Hyundai- MANB & W6G70ME-","1","Tanker"
"SS 2022","EagleValence","SamsungHeavyIndustries","SamsungHeavyIndustries","AET","Singapore","28February2022","330m","14.8knotsincluding15 % powermargin(75.7 % ofDMCR)","","158,240","","343,400MTatscantlingdraught","HHI- EMD /7H22CDF","7X82DF","1","LNG Carrier"
"SS 2022","FinnecoI","ChinaMerchantsJinling","KnudE.Hansen","FinnlinesPlc","Finland","28April2022","238.0","19.0","","60,515","","","AlfaLavalAalborg","Hyundai- MANB & W9S50ME- C9.6","2","Container Ship"
"SS 2022","FridaKnutsen","DaewooShipbuilding &","DSME","KNOT(KnutsenNYK","Norway","August2022","277.548m","12.9kts","","85,504MT","","154,500MT","Wärtsilä /4- stroke,trunkpiston,in-line,dualfuel9L34DFtype","WinGD6X52DF","2","Tanker"
"SS 2022","Greenway","GuangzhouShipyard","CSSC","EasternPaciﬁcShipping","Singapore","28June2022","274.0m","14.2ktswith15 % seamargin","","","","184,318t","Hyundai /x7H22CDFx900rpm","CMD- MANB & W6G70ME- C10.5- GI","1","LNG Carrier"
"SS 2022","BajamarExpress","Austal","Austal","FredOlsenExpress","Spain","December2021","159.70m","15.50kts","","18,664","","","Wärtsilä/8L20DFand","5RT-flex50DF","1","LNG Carrier"
"SS 2022","HLSBlueSapphire","HyundaiSamhoHeavy","HSHI","HyundaiLNGShipping","Korea","04January2023","229.96m","16.5ktsatdesigndraughtandatNCR(90 % ofMCR)with15 % seamargin","","48,805","","73,872t","HiMSEN /6H21/32","Hyundai- MANB & W6G60ME- C10.5- LGIP- HPSCR","1set","LPG Carrier"
"SS 2022","JuliusCaesar","HyundaiHeavyIndustries","HyundaiHeavyIndustries","TOPShips","Greece","14January2022","329.99m","14.8kts","","154,449","","","HyundaiHiMSEN8H21/32","Hyundai- MANB & W7G80ME- C9.5- HPSCR","1","Tanker"
"SS 2022","K.Lotus","HyundaiMipoDockyard","HyundaiMipoDockyardCo.,Ltd","K- Line","Korea","16March2022","abt.166m","12.0kts","","18,750","","","","","","LNG Carrier"
"SS 2022","Kaupang","HyundaiMipoDockyard","HyundaiMipoDockyardCo.,Ltd","EPS","Singapore","16March2022","abt.180m","15.95kts","","26,614MT","","","HyundaiHeavyIndustriesCo.,Ltd","6G50ME- C9.6- LGIP- HPSCR","1EA","LPG Carrier"
"SS 2022","KurotakisanMaruIII","OshimaShipbuildingCo.,Ltd","OshimaShipbuildingCo.,Ltd","CaribstarShippingS.A","Japan","2December2021","234.96m","","","51,793","","","DaihatsuDieselMfg","6UEC60LSE- Eco- A2- EGR","1","Mooring Launch"
"SS 2022","LadyMarieChristine","WuhuShipyardCo.,Ltd","Conoship /ShanghaiMerchant","WijnneBarends","Netherlands","January2022","115.20m","14.0kts","","4,966","","8,440.5t","Wärtsiläpackaged","6L34DF","1","LNG Carrier"
"SS 2022","LupinusPlanet","KawasakiHeavyIndustries,Ltd.SakaideShipyard","KawasakiHeavyIndustries,Ltd","AkiakariShipholdingS.A","Panama","22September2022","229.90m","abt17.0ktsat85 % MCRoutputwith15 % S.M","","49,943t","","","YanmerPower","Kawasaki- MANB & W7S60ME- C10.5LGIP","1","Tanker"
"SS 2022","MelodyHope","HyundaiHeavyIndustry","HyundaiHeavyIndustryCo.,Ltd","Majesty","HongKong","30June2022","328m","14.8kts","","152,509","","","HyundaiHiMSEN7H21/32","7G80ME- C10.5","1","LNG Carrier"
"SS 2022","NilsHolgersson","ChinaMerchantsJinLing","OSK /JinLingShipyard","TT- Line","Germany","7March2022","abt.229.4","17.6kts(10,875kW /MCR: 29,400kW)","","abt.4,864m","","31,453.6","Renk","6L51/60DF & 8L51/60DF","6L51/60DF * 2 & 8L51/60DF * 2","Mooring Launch"
"SS 2022","NorwegianPrima","Fincantieri","Fincantieri","NorwegianCruiseLine","USA","29July2022","293.4m","20.5kts","","143,535grt","","69,000t","ABB","3x9 + 2x12W46Fwithselectivecatalyticreduction","5","Naval Vessel"
"SS 2022","Nukumi","ChengxiShipyardCo.Ltd","DeltaMarin","CSL & WindsorSalt","Canada","10January2022","225.5m","14kts","","22,715GT","","","ElectricmotortwinscrewCAT “twin- Fin” design; 2x3,000kWpropulsionmotors","3x8M25E; 1x6M20C","4","Barge"
"SS 2022","PointedeCaux","RMKMarine","DeltaMarineEngineering &","SogestranGroup","France","31August2022","110.0m","10.00kts","","3,138","","","MAND2862LE328","MAND2862LE328","3","Tanker"
"SS 2022","SantanderKnutsen","HyundaiSamhoHeavy","HSHI","KnutsenOASShipping","Norway","16June2022","298.97m","18.0ktsatdesigndraftandatNCRwith20 % seamargin","","114,180","","127,645t","WEtech /PWMconvertertype","Hyundai- WinGD5X72DF","2","LNG Carrier"
"SS 2022","ShofuMaru","OshimaShipbuildingCo.,Ltd","OshimaShipbuildingCo.,Ltd","MitsuiO.S.K.Lines,Ltd","Japan","7October2022","235.00m","","","58,209","","","DaihatsuDieselMfg","MitsuiMANB & W6S60ME- C10.5-","1","Container Ship"
"SS 2022","StenaConvoy","HyundaiMipoDockyard","HyundaiMipoDockyardCo.,Ltd","Mitsui & Co.,Ltd","Japan","17March2022","abt.183m","14.5kts","","29,950","","","HiMSEN /6H21/32","Hyundai- MANB & W6G50ME- C9.6- HPSCR","1set /ship","Mooring Launch"
"SS 2022","StenaProPatria","GuangzhouShipyard","702/dpcc","PromanStena","Sweden","17June2022","186.0m","14.5ktswith15 % seamargin","","","","61,408.4t","Zhenjiang /MANEnergy","MAN6G50ME- C9.6- LGIM- W","1","Tanker"
"SS 2022","STLYangtze","HyundaiHeavyIndustries","HyundaiHeavyIndustries","EasternPaciﬁcShipping","Singapore","29April2022","229.97m","17kts","","60,776","","","HyundaiHiMSEN8H21/32(FourStroke,TrunkPistonin-linetype)","6G60ME- C9.5-- GIE- HPSCR","1",""
"SS 2022","BajamarExpress","Austal","Austal","FredOlsenExpress","Spain","15December2022","199.99m","14.1ktswith15 % seamargin","","36,298","","","DaihatsuDieselMFG","MANB & W6S50ME - C9.7","1set","Mooring Launch"
"SS 2022","VladimirArsenyev","SamsungHeavyIndustries","SamsungHeavyIndustries","Sovcomﬂot","Russia","March2022","259m","15.0ktsincl.15 % powermargin(90 % ofDMCR)","","65,500","","127,600MT","HHI(HiMSEN),4- stroke9H25/33","6X62","1","Tanker"
