FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2007","Al Gattara","Hyundai Heavy Industries Co Ltd ( (HHI) ), , Korea","Hyundai Heavy Industries Co Ltd, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","Overseas Shipholding Group ( (OSG) ), , USA","Marshall Islands","6November2007","315.00m","19.50knots","","136,410gt","","","MANB&W","6S70ME-C","2","Naval Vessel"
"SS 2007","Al Ruwais","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","DSME, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","Pronav Schiffahrtskontor GmbH, , Germany","Bahamas","31October2007","315.00m","20.50knots","","137,535gt","","","MANB&W","6S70ME-C","2","LNG Carrier"
"SS 2007","Alakai","Austal Ships Ltd, , Australia ( (constructed by Austal USA at its Mobile, , Alabama shipyard) )","Austal Ships Ltd, , Australia","Hawaii Superferry, , USA","USA","June2007","106.00m","","","8127gt","","","MTU","20V800 M70","4","Ferry"
"SS 2007","Anne Sibum","Schichau Seebeck Shipyard GmbH, , Germany","Vuyk Engineering Groningen BV, , The Netherlands","Reederei Bernd Sibum GmbH & & Co KG, , Germany","Cyprus","24August2007","approx151.72m","18.50knots","","10,371gt","","","MaK","9M43","1","Container Ship"
"SS 2007","Atrotos","Hyundai Mipo Dockyard Co Ltd, , ( (HMD) ) Korea","Hyundai Mipo Dockyard Co Ltd, , Korea","Barclay Shipping Ltd, , Greece","Liberia","8May2007","183.88m","14.50knots","","27,916gt","","57,473tonnes","MANB&W","7S50MC-CMk8","1","FPSO"
"SS 2007","Bernhard Schulte","STX Shipbuilding Co Ltd ( (Busan yard) ), , Korea","STX Shipbuilding Co Ltd, , Korea","Bernhard Schulte ( (Cyprus) ) Ltd, , Cyprus","Singapore","10July2007","120.40m","16knots","","9110gt","","15,320tonnes","MANB&W","8S35MC","1","Research Vessel"
"SS 2007","British Emerald","Hyundai Heavy Industries Co Ltd, , ( (HHI) ), , Korea","Hyundai Heavy Industries Co Ltd, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","BP Shipping Ltd, , UK","Isle of Man","5July2007","280.00m","…20knots","","102,00gt","","","Wärtsilä","2x12V50DF/2x9L50DF","4","LNG Carrier"
"SS 2007","Cala Pancaldo","Stocznia Szczecinska Nowa Sp z. .o. .o. ., , Poland","Stocznia Szczecinska Nowa Sp z. .o. .o. ., , Poland","Costa Container Lines SpA, , Italy","Italy","26July2007","207.30m","","","33,00gt","","","MANB&W","7K80MC-C","1","Container Ship"
"SS 2007","Cap Palmerston","Hyundai Mipo Dockyard Co Ltd ( (HMD) ), , Korea","Hyundai Mipo Dockyard Co Ltd, , Korea","Reederei Claus- -Peter Öffen, , Germany","Liberia","9August2007","186.36m","21.20knots","","22,914gt","","37,942tonnes","………………MANB&W","6L70MC-C","1","Container Ship"
"SS 2007","Cheikh El Mokrani","Universal Shipbuilding Corp ( (USC) ), , Tsu yard, , Japan","Universal Shipbuilding Corp, , Japan","Mediterranean LNG Transport Corp/ /Hyproc Shipping Co, , Algeria","Bahamas","21June2007","220.00m","17.50knots","","52,855gt","","","NakashimaPropellerCoLtd","FAR-2827, FAR2837-S","1","LNG Carrier"
"SS 2007","China Steel Team","China Shipbuilding Corp ( (CSBC) ), , Taiwan","China Shipbuilding Corp, , Taiwan Modeltestestablishmentused:...Hamburg Ship Model Basin ( (HSVA) ), , Germany","China Steel Express, , Taiwan","Panama","December2006","299.50m","","","104,352gt","","","MANB&W","6S70MC-C","1","Bulk Carrier"
"SS 2007","Coastal Renaissance","Flensburger Schiffbau- - Gesellschaft mbH & & Co KG ( (FSG) ) Germany","FSG, , Germany","British Columbia Ferry Services Inc ( (BC Ferries) ), , Canada","Canada","21September2007","160.00m","21.00knots","","21,77gt","","9953tonnes","CaterpillarMaK","MaK8M32C","4","Ferry"
"SS 2007","Cosco Asia","Hyundai Heavy Industries Co Ltd, , Korea","Hyundai Heavy Industries Co Ltd, , Korea","China Ocean Shipping Co Ltd, , People' 's Republic of China","Panama","6August2007","349.00m","25.8knots","","114,300gt","","","MANB&W","12K98ME","1","Container Ship"
"SS 2007","Cosco New York","Hanjin Heavy Industries & & Construction Co Ltd, , Korea","Hanjin Heavy Industries & & Construction Co Ltd, , Korea","","Panama","20September2007","294.05m","24.30knots","","54,778gt","","88,369tonnes","MANB&W","9K90MC-C","…………………………1","Research Vessel"
"SS 2007","Cotentin","Aker Yards Oy ( (Helsinki yard) ), , Finland","AIA Architects, , France","Brittany Ferries, , France","France","Late2007","168.00m","23.00knots","","22,532gt","","","MaK","12VM43C","2","Ferry"
"SS 2007","Deo Volente","Conoship International BV, , The Netherlands ( (Hull from OAG, , Poland) )","Conoship International BV/ / Hartman Marine BV, , The Netherlands","Hartman Seatrade BV/ / Amasus Shipping BV, , The Netherlands","The Netherlands","1February2007","104.80m","18knots","","299gt","","","Wärtsilä","8L32","1",""
"SS 2007","Dubai Star","SPP Shipbuilding Co Ltd, , Korea","SPP Shipbuilding Co Ltd, , Korea Modeltestestablishmentused: ...MOERI, , Korea","Emirates Trading Agency LLC, , United Arab Emirates","Panama","…………………22May2007","183.00m","14.90knots","","30,042gt","","60,640tonnes","Sulzer","7RTA48T-B","1","Tanker"
"SS 2007","Eileen- -C","Construcciones Navales P Freire SA, , Spain","Construcciones Navales P Freire SA, , Spain","Carisbrooke Shipping Plc, , UK","United Kingdom","6March2007","89.80m","","","2990gt","","","MaK","MaK6M25","1","Naval Vessel"
"SS 2007","Faust","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","DSME, , Korea Modeltestestablishmentused: ..SSPA, , Sweden","Wallenius Lines AB/ /Wallenius Marine AB, , Sweden","Sweden","25May2007Weregrethathedescriptionandtechnicalparticularspresentedforthisvesselarenotascompleteasusual","227.80m","19.90knots","","71,580gt","","","MANB&W","7S60MC-C","1","Container Ship"
"SS 2007","Fram","Fincantieri SpA ( (Monfalcone Yard) ), , Italy","Fincantieri SpA, , Italy","Hurtigruten ASA, , Norway","Bahamas","22April2007","113.70m","16.40knots","","approx11,700gt","","approx6800tonnes","","","","Ferry"
"SS 2007","Graceful Leader","Stocznia Gdynia SA, , Poland","Stocznia Gdynia SA, , Poland","Graceful Maritime Ltd, , Isle of Man/ /Stamco Ship Management Ltd, , Greece","Bahamas","11September2007","199.98m","20.20knots","","57,692gt","","","MANB&W","7S60MC-C","1","Ro-Ro"
