FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2020","Al Adailiah","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co., Ltd","Kuwait Oil Tanker","Kuwait","28 February 2020","Approx. 183m","","9856684","29,888gt","3","","Hyundai – MAN B&W","6G50ME-C9.5-HPSCR","1","Tanker"
"SS 2020","Bajamar Express","Austal","Austal","Fred Olsen Express","Spain","July 2020","118m","37.5knots","9874296","7,900gt","Nil","","Reintjes","20V8000 M71L","4","Ferry"
"SS 2020","Beate Oldendorff","Oshima Shipbuilding Co., Ltd","Oshima Shipbuilding Co., Ltd","Oldendorff Carriers GmbH &","Japan","18 March 2020","199.995m","14.5knots","9853022","34,909gt","2","","Kawasaki Heavy Industries","Kawasaki MAN B&W 6S50ME-B9.5","1","Mooring Launch"
"SS 2020","Bo Hai Heng Tong","Yantai CIMC Raffles","Shanghai Merchant Ship Design &","Bohai Ferry Group Co., Ltd","China","29 September 2020","189.9m","90% MCR output 17.0knots","9870680","24,777gt","1","21,000t","MAN B&W","9L32/40 Tier II","2","Ferry"
"SS 2020","Bow Explorer","Hudong-Zhonghua Shipbuilding (Group) Co., Ltd","Shanghai Merchant Ship Design &","Odfjell","Norway","August 2020","182.88m","14.0knots (65%)","9828211","","2","","MAN","6G50 ME-C 9.5","1","Tanker"
"SS 2020","Celsius Copenhagen","Samsung Heavy Industries","Samsung Heavy Industries","Celsius Shipping / Gunvor","Denmark / Switzerland","October 2020","299.155m","19.5knots","9864784","119,338gt","1","","Winterthur Gas & Diesel","W5X72DF","2 sets","LNG Carrier"
"SS 2020","CMA CGM Jacques Saadé","Hudong-Zhonghua Shipbuilding (Group) Co., Ltd","Marine Design and Research","CMA CGM","France","22 September 2020","399.9m","21.97knots at 90% MCR and scantling draught","9839179","236,583gt","1","288,355.3t at scantling draught","WinGD","12X92DF","1","Research Vessel"
"SS 2020","CMA CGM Tenere","Hyundai Samho Heavy","Hyundai Samho Heavy Industries","Eastern Pacific Shipping","Singapore","September 2020","365.99m","21.86knots at 80%MCR (NCR) with 15% sea margin","9859117","150,844gt","Nil","204,285t","MAN-ES ME-GI ENGINE","11G90ME-C10.-GI-EGRTC","1 set","Container Ship"
"SS 2020","CNTIC VPower Global","Cosco Shipping Heavy","Cosco Shipping Heavy Industries, Dalian – China","CNTIC VPower LNG","Hong Kong","9 April 2020","176.80m","18.14/7,732","9696735","23,516gt","1","26,558t","Wärtsilä","9L50DF","PAAE254447","LNG Carrier"
"SS 2020","CSSC Cape Town","CSSC Huangpu Wenchong","Shanghai Merchant Ship Design &","Fortune Central Shipping","China","26 May 2020","254.92m","","9853888","66,786gt","2","140,000t","Two-stroke, single-acting, direct reversible crosshead type marine diesel engine with constant pressure turbocharging","CD-MAN-B&W 6G60ME-C9.5 Tier II","1","Bulk Carrier"
"SS 2020","Del Monte Gold","CSSC, HuangPu WenChong","Shanghai Merchant Ship Design and Research Institute (SDARI)","Del Monte Fresh Produce","USA","June 2020","192.00m","21.5knots","9849643","22,305gt","3","","MAN","8S60ME-C10.5, Tier II","1","Research Vessel"
"SS 2020","Dietrich Oldendorff","Oshima Shipbuilding Co., Ltd","Oshima Shipbuilding Co., Ltd","Oldendorff Carriers GmbH & Co. KG","Japan","March 2020","234.96m","14knots","9860350","53,219gt","1","","Mitsui E&S Machinery","Mitsui MAN 6G60ME-C9.5","1","Mooring Launch"
