FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2016","AIDAprima","Mitsubishi Heavy","","Costa Crociere / AIDA Cruises","(Owner) Italy / (Operator) Germany","14 March 2016","299.95m","14knots","9636955","125,572gt","0","","Caterpillar Motoren","12V43MC & 12V46DF (DF engine)","12V43MC x 3, 12V46DF x 1","Passenger Ship"
"SS 2016","BBC BIRTE H","Jiangsu Hongqiang","Shanghai Merchant Ship Design &","Krey Schiffahrts GmbH & Co. MS "Graf Johann" KG Leer","Germany","14 May 2016","147m","15.1knots","9697325","114,94gt","1","","MAN","5G45ME-C9.5 Tier II","1","General Cargo"
"SS 2016","British Nimbus","Hyundai Mipo Dockyard Co. Ltd","Hyundai Mipo Dockyard Co., Ltd","ICBC LEASING / BP","China / England","29 December 2016","Abt, 183m","15knots","9724544","","1","","Hyundai Heavy Industries – B&W","6G50ME-B9.3 (Tier II)","1","Tanker"
"SS 2016","BRITISH RESPECT","STX Offshore & Shipbuilding Co. Ltd","STX Offshore & Shipbuilding Co. Ltd","BP Shipping Limited","United Kingdom","5 February 2016","Approx 249.85m","14.5knots","9683001","64,309gt","8","","MAN Diesel & Turbo","STX-MAN B&W 6G60ME-C9.2","One","Tanker"
"SS 2016","Cape Akritas","Hanjin Heavy Industry & Construction Co., Ltd","Hanjin Heavy Industry & Construction Co., Ltd","Costamare Inc","Greece","20 September 2016","330m","22.16knots","9706190","112,836tonnes (international)","0","170,123.6tonnes (at scantling draught)","MAN Diesel Turbo","8G95ME C9.5","1 set","Tanker"
"SS 2016","Carnival Vista","Fincantieri","8.25m","Carnival Cruise Line","USA","29 April 2016","321.5m","18knots","9692569","133.500gt","","","ABB","2 x 14V48/60CR + 3 x 8L48/60CR","5","Passenger Ship"
"SS 2016","DLV 2000","Keppel Singmarine Pte Ltd","Marine Technology","McDermott International Inc","United States of America","7 June 2016","184m","4 knots @ 100% MCR","9683142","45,247gt","Nil","46,300gt","Wärtsilä","12V32","6","Heavy-Lift"
"SS 2016","DRIVE GREEN HIGHWAY","Japan Marine United Corporation","Japan Marine United Corporation","JMU5044","Panama / Japan","9 February 2016","max. 199.99m","20knots","9728069","76,387gt","1","","MAN B&W","7S60ME-C8.2","1","Mooring Launch"
"SS 2016","Eeva VG","Royal Bodewes, Papenburg","Meriaura – Bodewes – Groot Ship","Gaiamare Ltd/Meriaura Ltd","Finland","30 September 2016","103m","11.5knots","9769104","3,405gt","1","6,827tonnes","Medium speed trunk piston diesel engine","8DZC","1","Research Vessel"
"SS 2016","Engie Zeebrugge","Hanjin Heavy Industry & Construction Co., Ltd","Hanjin Heavy Industry & Construction Co., Ltd","LNG Link Investment","Belgium","15 December 2016","abt. 107.6m","abt. 13.1knots","9750024","Calculation in progress","0","abt. 7,060tonnes","Wärtsilä","9L 20DF","2 sets","LNG Carrier"
"SS 2016","Ethane Crystal","Samsung Heavy","Samsung Heavy","Reliance Industries Limited","India","October 2016","228m","16.75knots","9752278","57,000gt","Nil","","MAN Diesel & Turbo Licensee","6S60ME-C9.5","One set","LPG Carrier"
"SS 2016","GENER8 HECTOR","Hanjin Heavy Industry & Construction Co. Ltd","Hanjin Heavy Industry & Construction Co. Ltd","Navig8 Tankers","Singapore","15 December 2016","333m","abt. 14.8knots","9730086","156,517tonnes","0","343,838.9tonnes","MAN B&W","7G80ME-C9.2","1 set","Tanker"
