FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2008","Al Ghuwairiya","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","Qatar Gas Transportation","Marshall Islands","October 2008","345.00m","19.50knots","9372743","168,189gt","Nil","205,706tonnes","MAN B&W","7S70ME-C","2",""
"SS 2008","Argolikos","Hanjin Heavy Industries &","Hanjin Heavy Industries &","Argolikos Navigation Inc, Liberia/Dioryx Maritime Corp, Greece","Greece","2 July 2008","258.92m","24.61knots","9385611","40,450gt","Nil","","MAN B&W","8K90MC-C","1",""
"SS 2008","Armorique","Aker Yards (Helsinki yard), Finland","AIA Architects, France","Brittany Ferries, France","France","December 2008","168.00m","23knots","9364980","approx 28,500gt","Nil","","MaK","12VM43C","2","Ferry"
"SS 2008","Azur","Oshima Shipbuilding Co Ltd, Japan","Oshima Shipbuilding Co Ltd, Japan","Azur Shipping Corp, Marshall","Marshall Islands","12 November 2007","224.86m","14.50knots","9314648","42,712gt","-","","MAN B&W","5S60MC-C","1","Bulk Carrier"
"SS 2008","Brasil Maru","Mitsui Engineering &","Mitsui Engineering &","Tamou Line SA, Panama/ Misui OSK Lines, Japan","Panama","7 December 2007","340.00m","15 knots","9321275","160,774gt","Nil","","MAN B&W","7S80MC-C (Mk7)","…………………………1","Bulk Carrier"
"SS 2008","City of Hamburg","Singapore Technologies Marine","Deltamarin, Finland","Seaplane Two SAS (joint venture of Louis Dreyfus Armateurs SAS, France, and Höegh Autoliners, Norway)","International French Register","3rd quarter 2008","126.50m","15knots","9383558","13,548gt","Nil","","………..MAN","8L32/40","2","Container Ship"
"SS 2008","Clipper Mars","Hyundai Heavy Industries Co","Hyundai Heavy Industries","Partrederiet Clipper","Norwegian International","11 November 2008","204.90m","16.20knots","9377078","36,459gt","2","","MAN B&W","5S60MC-C7","1","LPG Carrier"
"SS 2008","Clipper Point","Astilleros de Huelva SA, Spain","Knud E Hansen, Denmark","Seatruck Ferries Ltd, UK /Clipper Group Ltd, Bahamas","Cyprus","2008","142.00m","22knots","-","14,759gt","Nil","","Wärtsilä","8L46","2","Ferry"
"SS 2008","CMA CGM Vela","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","Conti Reederei, Germany/CMA CGM SA, France","Germany","17 October 2008","347.00m","25.1knots","9354923","128,949gt","-","143,000tonnes scantling. ...................................................170,200tonnes","MAN B&W","12K98ME-C7","1",""
"SS 2008","Color SuperSpeed I","Aker Yards (Rauma yard), Finland","6.55m scantling ..........................................................................6.70m","Color Line A/S, Norway","Norway","6 January 2008","212.75m","27knots","9378682","34,231gt","Nil","","Wärtsilä","9L46","4",""
"SS 2008","Combi Dock 1","Lloyd Werft Bremerhaven","H B Hunte Engineering GmbH, Germany/Vuyk Engineering BV, The Netherlands","Combi Lift Shipping A/S, Denmark/Harren & Partner Schiffahrts","Antigua & Barbuda","21 January 2008","162.30m","16.00knots at 6.60m draught........................................................15.50knots","9400473","","Nil","","MAN","9L32/44","2","Heavy-Lift"
