FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(t),MainEngineDesigner,MainEngineModel,NumberOfEngines,ShipType
"SS 2010","Abdelkader","HyundaiHeavyIndustriesCo., Ltd","","MitsuiOSKLines (MOL)","Japan","27February2010","298m","19.6knotsCargocapacity","","114,200gtDeadweight","","","Tri-fueldieselelectric","2x12V50DF2x9L50DF","4","Naval Vessel"
"SS 2010","AbelMatutes","HJBarreras","","EurolineasMaritimas, S.A (Balearia)","Spain","","190.00m","","","","","","","","","Ferry"
"SS 2010","Aramon","SSPlant & ShipbuildingCo., Ltd","SouthKorea","Roxana","Greece","May2010","187.00m","21.40knotsBunkers","","","","","MAK","9M43C","2","Bunkering Tanker"
"SS 2010","BarcelonaKnutsen","DaewooShipbuilding & MarineEngineeringCo., Ltd","DSME","KnutsenOAShipping","Norway","January2010","229.11m","16knotsCargocapacity","","42,225gt","","88,436tonnes (scantling)","DoosanEngine/ 7L23/30H","6S60MC-CMK7","1","Bunkering Tanker"
"SS 2010","BungaBakawali","SLShipbuildingCo., Ltd","SLShipbuildingCo., Ltd","MISCBerhad","Malaysia","10February2010","290.0m","19.5knotsCargocapacity","","110,920gt","","131,72tonnes","KawasakiHeavyIndustriesLtd","12V50DFx3sets9L50DFx1set","4sets","Bunkering Tanker"
"SS 2010","CapInes","DaewooShipbuilding & MarineEngineeringCo., Ltd","DaewooShipbuilding & MarineEngineeringCo., Ltd","PeakedHillLimited","HongKong","16March2010","183m","15knotsCargocapacity","","29,124gt","","56,611tonnesDeadweight","Hyundai-Himsen/ 7H17/ 28","6S50MC-C7","1","Bunkering Tanker"
"SS 2010","CastilloDeSantisteban","STXOffshore & ShipbuildingCo., Ltd","STXOffshore & ShipbuildingCo., Ltd","EmpresaNavieraElcanoSA","Spain","27January2010","264.32m","22.5knotsBunkers","","47,877gt","","76,900tonnes","HHIHiMSEN/ 4stroke, trunkpiston, in-line","MANB&W8K90MC-C6","1","Bunkering Tanker"
"SS 2010","CoscoWuyishan","FujianMaweiShipbuildingLtd","ShanghaiMerchantShipDesign & ResearchInstitute","CoscoFar-ReachingShippingCo., Ltd","China","","199.90m","20.42knotsCargocapacity","","11,665gt","","128,987tonnesDeadweight","Kawasaki","M2H-400/85","1","Bunkering Tanker"
"SS 2010","CSBFortune","CSSCGuangzhouLongzueShipbuildingCo., Ltd","ShanghaiMerchantShipDesign & ResearchInstitute, CSSC","ChinaShippingdevelopmentCo., Ltd","China","19January2010","177.50m","13.7knotsCargocapacity","","19,993gt","","37,966tonnesDeadweight","YanmarCo., Ltd3x500kW","6UEC43LSII","1","Bunkering Tanker"
"SS 2010","DarSalwa","DaewooShipbuilding & MarineEngineeringCo., Ltd","DaewooShipbuilding & MarineEngineeringCo., Ltd","KuwaitOilTankerCompany (S.A.K)","Kuwait","5February2010","324.99m","15knotsBunkers","","116,396gtDeadweight","","","Yanmar","6S80MC-C7","1","Bunkering Tanker"
"SS 2010","E.RBorneo","HyundaiHeavyIndustriesCo., Ltd","HyundaiHeavyIndustriesCo., Ltd","NordCapital","Germany","28October2010","33m","16.2knotsCargocapacity","","162,625gt","","363,843tonnes","Doosan/4-stroke, trunkpiston","MANB&W7S80ME-8","1","Bunkering Tanker"
"SS 2010","EserK","HanjinHeavyIndustry, SubicShipyard","HHIC","Kaptanoglu","Turkey","3March2010","292m","15.4knotsCargocapacity","","93,186gtDeadweight","","","Hyundai4-stroke, trunkpiston","Hyundai-MANB&W6S70MC-C (MK7)","1","Bunkering Tanker"
"SS 2010","DeepwaterChampion","HyundaiHeavyIndustriesCo., Ltd","GustoandHyundaiHeavyIndustriesCo., Ltd","Transocean/ExxonMobile","Switzerland/USA","10March2010","250m","15knotsCargocapacity","","63,300gt","","134,800tonnesDeadweight","Hyundai/4-stroke, directinjection","MANB&W6S60MC-C","1","Bunkering Tanker"
"SS 2010","FrisiaBonn","HyundaiMipoDockyardCo., Ltd","Rolls-Royce","HartmannSchiffahrtsGmbH & Co.Kg","Korea","November2010","229.22m","12knotsBunkers","","","","","","","","Bunkering Tanker"
"SS 2010","GDFSuezPointFortin","KoyoDockyardco., Ltd","HHI-EMD","LosHalillosShippingco., SA","Panama","11March2010","189.5m","21knotsBunkers","","21,842gtDeadweight","","","Kangrim","8S60ME-C7","1","Bunkering Tanker"
"SS 2010","Giewont","NewTimesShipbuildingCo. Ltd","SDARIShanghai","FionaOneShippingLtdBahamas/PolskaZeglugaMorskaP.P – Poland","China","16February2010","289.93m","19.5knots (80.4%MCRoutput)","","101,129gt","","","KawasakiHeavyIndustriesLtd. (Reductiongearisincludedinmainturbineset.)","KawasakiUA – 400typecrosscompoundimpulsesteamturbinewithdoublereductiongear","1set","Bunkering Tanker"
"SS 2010","GlendaMeredith","HyundaiMipoDockyardCo., Ltd","HyundaiMipoDockyardCo., Ltd","GlendaInternationalShippingLtd","Italy","7January2010","229.00m","14.28knotsCargocapacity","","43.506gt","","93.377tonnes","WartsilaAuxpac645W4L20","Hyundai-MANB&W7S50MC-C7","1","Bunkering Tanker"
"SS 2010","GlobalSea","JiangsuGangHuaShipyard","HHI-EMD","NorthSeaTankerManagementBV","Gibralter","29January2010","183.17m","14.8knotsCargocapacity","","29,130gtDeadweight","","","HHI-EMDHimsen5H21/32x3sets","6S50MC-C7","1","Bunkering Tanker"
"SS 2010","GrandeMarocco","HyundaiMipoDockyard., Ltd","HyundaiMipoDockyardCo., Ltd","IndustriaArmamentoSPSInarme","Italy","07June2010","112.7m","13.5knotsCargocapacity","","5424gt","","10,971tonnes","ZF","8L21-31","2","Bunkering Tanker"
"SS 2010","HabipBayrak","ÇeksanGemiInsaÇelikKonstrükiyonSan. VETIC. A.S","AdmarinDenizcilik","CoralTankers","Turkey","29April2010","211.3m","20.9knotsCargocapacity","","47,635tonnesDeadweight","","","HHI-EMD, verticalin-line, singleaction, directinjection, trunkpiston, 4-cycle","8S60MC-C","1","Bunkering Tanker"
"SS 2010","HanjinKorea","SamsungHeavyIndustriesCo., Ltd","SamsungHeavyIndustriesCo., Ltd","J.O.Q. ShippingS.A/ HanjinShippingCo., Ltd","Korea","March2010","123.25m","14knotsCargocapacity","","5684gt","","11,581tonnes","Wartsila","8L32","1","Bunkering Tanker"
"SS 2010","Jeyhun","KrasnoyeSormovoShipyard","Volgo-CaspianDesignBureau","TheStateServiceofMaritimeandRiverTransportationofTurkmenistan","Turkmenistan","2July2010","349.7m","25.1knotsBunkers","","113,400gt","","155,900tonnes","2xHHI7H25/33 xHHI9H25/33","12RT-flex96C","1","Bunkering Tanker"
"SS 2010","JRSMekur","PenglaiBohaiShipyardCo., Ltd","ABH. Ingenieur-TechnikGmbH","C.V. ScheepvaartondernemingMS “Elbdijk”","TheNetherlands","22October2010","141.5m","10knotsCargocapacity","","4792gt","","9677tonnes","Skania/D11262M10-60H/ EM296SS","6L20","2","Bunkering Tanker"
"SS 2010","LeBoreal","Fincantieri","MacGregorOy","CompagnieDuPonant","France","5February2010","107.8m","13knotsBunkers","","668gt","","12,842tonnes","RenkAktiengesellschaft, 48432Rhein","MaK8M32C","1","Bunkering Tanker"
"SS 2010","Maule","CSBCorporation, TaiwanKaohsiungshipyard","CSBCorporation, Taiwan","CompaniaSudAmericanadeVaporesS.A","Liberia","03May2010","142.1m","16knotsBunkers","","10,944gt","","7435tonnes","Ansaldo","8L20","4","Bunkering Tanker"
"SS 2010","MethaneJuliaLouise","SamsungHeavyIndustriesCo., Ltd","SamsungHeavyIndustriesCo., Ltd","BGLNGservices","UnitedKingdom","April2010","305.60m","","","75,752gtDeadweight","","","Daihatsu /8DC-32","10RT-flex96C","1","Container Ship"
"SS 2010","Miedwie","NantongMingdeHeavyIndustriesStockCo. Ltd","ShanghaiMerchantShipDesignandResearchInstitute, CSSC","EratoOneShippingLtd/ PolskaZeglugaMorska","China","19April2010-10-27","291.06m","19.75knotsCargocapacity","","109,004gt","","119,094tonnes (atTsummer)","Converteam","3x12V50DF1x6L50DF","4","Bunkering Tanker"
"SS 2010","MorningAir","NakataniShipbuildingCo., Ltd","NakataniShipbuildingCo., Ltd","TrioHappinessS.A","Panama","22March2010","190.00m","","","20,480gt","","39,174tonnes","Wartsila, Auxpac645W4L20x2875W6L20x1","6RTA48T-B","1","Bunkering Tanker"
"SS 2010","MoskovskyProspect","HyundaiSamhoHeavyIndustriesCo., Ltd","HyundaiSamhoHeavyIndustriesCo., Ltd","Sovcomflot","Liberia","28January2010","99.98m","13.5knotsCargocapacity","","4410gtDeadweight","","","DaihatsuDieselMfgCo., Ltd/ 6DL-16A","KawasakiB&W5L35MC(MK6)","1","Bunkering Tanker"
"SS 2010","MSCBeryl","STXOffshore & Shipbuilding","STXOffshore & ShipbuildingCo.Ltd","NikiShippingCo. Inc","Greece","13September2010","249.99m","15knots","","62,504gt","","135,100tonnes","Hyundai/Himsen5H21/32","6S60MC-C8","1","Bunkering Tanker"
"SS 2010","NieuwAmsterdam","Fincantieri","Fincantieri","HollandAmericanLine","USA","30September2010","365.80m","25.5knotsCargocapacity","","140,096gt","","182,665tonnes","STXEngine/ MANB&WHoleby8L32/40H","12K98MC-C7","1","Container Ship"
"SS 2010","NobleGlobeTrotter","STXOffshore & Shipbuilding","12.5x4.314.5x2.0","NobelDrillingHolding /RoyalDutchShell","Switzerland","31December2010","285.3m","12knotsCargocapacity","","32950gt","","56,00tonnesDeadweight","Rolls-Royce","M43C","2x8M43C4x12M43C","Bunkering Tanker"
"SS 2010","NordDelphinus","ShanghaiShipyardCo., Ltd","ShanghaiMerchantShipandResearchInstitute (SDARI)","NordenShipping (Singapore)/DampskibsselskabetNordenA/S (NORDEN)","Singapore/Denmark","05January2010","249.884m","15knotsCargocapacity","","63,864gt","","134,376tonnes","MANB&W","7S60MC-CMkVII","1","Research Vessel"
"SS 2010","NorwegianEpic","STXFranceSA, Saint-NazaireShipyard","TillbergDesign","NorwegianCruiseLine","USA","17July2010","329.45m","22.5knots","","155,80gtDeadweight","","","Converteam","TypeM43C","6","Passenger Ship"
"SS 2010","OceanGarnet","Cosco (Dalian) shipyardCo., Ltd","SDARI","NobelGroup/FleetManagementLimited","HongKong, China","15thJanuary2010","229.20m","14.35knotsCargocapacity","","51,209gt","","108,709tonnes","MANB&W","6S60MC6","1","Bunkering Tanker"
"SS 2010","OlegStrashnov","IHCMerwedeB.V","GustoMSC / IHCMerwedeB.V","SeawayHeavyLifting","Zoetermeer, TheNetherlands","Q32010","182.85m","14.41knotsBallastCapacity","","","","","","","","Bunkering Tanker"
"SS 2010","QueenElizabeth","FincantieriCantieriNavaliItalianiSpa","Fincantieri","Cunard","UK","30September2010","293.84m","22.30knotsBunkers","","90,901gt","","47,263tonnes","CaterpillarMotorenGmbH","4xD/EMaK12M43C2xD/EMaK8M43C","4 + 2","Passenger Ship"
"SS 2010","RolldockSun","Larsen & Toubro","RollDock","RollDockShippingBV","TheNetherlands","07January2010","142.55m","18knotsDailyfuelconsumption","","12,802gt","","14,00tonnes","Wartsila","W9L32","2","General Cargo"
"SS 2010","Saipem1200","SamsungHeavyIndustries, Co. Ltd","SamsungHeavyIndustries","Saipem","Italy","20April2010","227.813m","11.5knotsBunkers","","","","96,400tonnes","Rolls-Royce","16V32/40","6","Drill Ship"
"SS 2010","SevenAtlantic","IHCOffshore & MarineB.V","IHCOffshore & MarineB.V","Subsea7","TheNetherlands","29January2010","144.97m","13.6knotsBunkers","","17,496tonnesDeadweight","","","Wartsila","7L32","6","Bunkering Tanker"
"SS 2010","SkandiAker","STXNorway, Søviknesyard","STXNorwayOffshoreDesign – OSCV06L","DOFCONAS/ AkerOilfieldServices","Norway","07January2010","156.90m","17.4knotsBunkers","","6942gt","","22,820m3","","","","Bunkering Tanker"
"SS 2010","StenaHollandica","NordicYards","NordicYards","StenaLine","UK","16May2010","240.00m","22knots","","64,00gt","","","MAN","MAN48/60","4","Ferry"
"SS 2010","STXChangxingRose","STXDalianShipbuilding","STXOffshore & Shipbuilding","STXPanOceanCo., Ltd","Korea","30June2010","199.10m","19.87knotsBunkers","","60,396gt","","42,759tonnes","MANDiesel & Turbo","","1","Research Vessel"
"SS 2010","ThalassiniAxia","SPPShipbuldingCo., Ltd","KoreaMaritimeConsultants (KOMAC)","EneselS.A","Greece","24March2010","196.00m","14.6knotsCargocapacity","","34,318gt","","69,919.8tonnes (atScantling)","MANDIESEL","6S50MC-C (Mark8)","1","Research Vessel"
"SS 2010","WesternCarrier","ZhenjiangZhenyuShipbuildingCo., Ltd","ABHIngenieur-technikGmbH","W.BockstiegelGmbH & Co. ReedereiKGMS","Germany","","107.00m","13knots","","6250gtDeadweight","","","CaterpillarMarineAsiaPacific","MAK","1","Bulk Carrier"
"SS 2010","Yamatai","MitsubishiHeavyIndustries, Ltd. NagasakiShipyard & MachineryWorksJapan","4.50m","IolcosHellenicMaritimeEnterprisesCoLtd","Japan","9April2010","162.0m","13.25knotsBunkers","","14538Deadweight","","","Daihatsu","6DKM-36","2","Bunkering Tanker"
"SS 2010","VoxMáxima","IHCDredgersB.V","oneinthepumproom, theotheroneontheforedeck. Theircontrollable13,500kWtakethesoilmixturetoarainbowpipeand/orashoredischargecouplingabovethebowsoftheship. Thevesselcanalsodischargeherloadthroughtworowsofhydraulicallyoperatedbottomdoors","VanOordNV","Rotterdam/TheNetherlands","26January2010","229m","15.5knotsCargocapacity","","47,984gtDeadweight","","","Daihatsu-Japan/5DK-20","6RT58T-B","1","Bunkering Tanker"
