FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2007","Al Gattara","Hyundai Heavy Industries Co Ltd ( (HHI) ), , Korea","10UpperBelgraveStreetLondonSW1X8BQ, UK","Overseas Shipholding Group ( (OSG) ), , USA","Marshall Islands","","315.00m","","9337705","","7 THISyear, SignificantShipsincludesthreealmostidenticalvesselswhicharepartofahuge45-shiporder, placedwiththreeKoreanshipyards, byownersparticipatingintheQatargasTrain4project - partoftheoverallQatarGas2developmentwhichwillsupplyLNGto (amongstotherplaces) theMilfordHaven, UK, gasterminal, nowunderconstruction. Deliveryoftheseriesisexpectedtobecompletedby2010andtheprogrammeincludestwosizesofvessel: theQ-flexof210,00m³/216,00m³capacity, andthelargerQ-maxof265,00m³","","","",""
"SS 2007","Al Ruwais","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","12.00mscantling ................................................................13.00m","Pronav Schiffahrtskontor GmbH, , Germany","Bahamas","thiscoolsallboil-offgasesandconvertsthembacktoliquidforeturntothecargotanks enablingthevesseltotransporthecargowithoutanylossesduringavoyage","303.00m","5","9337951","136,410gt","15 THREEoftheworld'slargestLNGcarriersweredelivered, moreorlessimultaneouslyin2007, byKoreanbuildersDaewoo (DSME), Samsung, andHyundaiaspartofasharedorderfor45vesselsoftwotypes, placedbyvariousownerstoservetheQatarGas2project. Daewoo'sAlRuwaisisoneof31Q-flexvesselshavingacargocapacityofaround210,00m³, withtheremainderoftheclass, designatedQ-max, capableofloadingsome265,00m³ofLNG","","MANB&W","6S70ME-C","116"
"SS 2007","Alakai","Austal Ships Ltd, , Australia ( (constructed by Austal USA at its Mobile, , Alabama shipyard) )","12.00mscantling ................................................................13.60m","Hawaii Superferry, , USA","USA","31October2007","303.00m","5","9328912","137,535gt","1 ALAKAIisthefirstoftwofastcatamaranferriestobedeliveredbyAustalUSA, theAmericansubsidiaryofAustralianhighspeed-craftdesigner, Austal, fromitsMobile, Alabama, shipyard, intothefleetofHawaiiSuperferry. Thisoperatorplanstousethevessels (thesecondwillbecompletedin2009) onewserviceslinkingthecapitalHonoluluwiththeislandsofMauiandKauai. Thesearejourneysofthreehours' duration, whilstanotherplannedestination, BigIsland, willbereachedinfourhours","","MANB&W","6S70ME-C","110"
"SS 2007","Anne Sibum","Schichau Seebeck Shipyard GmbH, , Germany","MTU","Reederei Bernd Sibum GmbH & & Co KG, , Germany","Cyprus","June2007","342mtrucklanesplus63cars","40","9396696","8127gt","5 (30- -plus to be built under licence in China) ITisbecomingevidenthatunlesstheTEUcapacityofthefeedershipswhichdistributethe10,00TEU- pluscargoes, nowarrivingregularlyathemajorhub- portservedbytheworld'slargestcontainerliners, isincreased, therecouldbemajorhold-upsinthefinelyhonedschedulesoftheinternationalogistictrain","","","",""
"SS 2007","Atrotos","Hyundai Mipo Dockyard Co Ltd, , ( (HMD) ) Korea","7.60mscantling ..................................................................8.00m","Barclay Shipping Ltd, , Greece","Liberia","24August2007","20ft; 30ft; 40ft; 45ft","20","9328285","10,371gt","- - ATROTOSisoneofsome66vesselscompletedbyHMDduring2007, drawnfromavariedportfoliofstandardesignswhichisprovingsufficientlypopulartokeeptheshipyardbusyforatleastanotherfouryears. Althoughtankersranginginsizefrom13,00dwto75,00dwtappearinthatlist, currentproductionhasbeencentredonthismid-sizedversion, loading39,900dwtatdesigndraught, and47,500dwtonascantlingdraught, andonasmaller36,00dwtdesign, evidencingthecontinuedworldemandforthistypeofvessel","","MaK","9M43",""
"SS 2007","Bernhard Schulte","STX Shipbuilding Co Ltd ( (Busan yard) ), , Korea","11.00mscantling ................................................................12.50m","Bernhard Schulte ( (Cyprus) ) Ltd, , Cyprus","Singapore","8May2007","174.00m","2","","27,916gt","2 IllustrationshowsistershipChristophSchulte","57,473tonnes","MANB&W","7S50MC-CMk8",""
"SS 2007","British Emerald","Hyundai Heavy Industries Co Ltd, , ( (HHI) ), , Korea","7.65mscantling.................................................................8.80m","BP Shipping Ltd, , UK","Isle of Man","10July2007","112.40m","3","9333591","9110gt","5 BRITISHEmerald'sreignasthelargestLNGcarrierintheworld, at155,00m3, washort-lived (ascanbeseenbyotherentrantsinthisyear'sSignificantShips); nevertheless, thisleadvesselofBP'snewGemclassisofspecialinterestbecauseofits 'green' credentials, andforintroducing - forthisowner - aninnovativepropulsionsystem (thefirstdual-fuel/dieselLNGtankerwasGazdeFranceEnergy, presentedinour2004review). Theuseofdual-fuelmarinenginesisnotnew, butitscombinationhereinadiesel-electriconfiguration (DFDE) bringsanewdimensionintotheselectionofgas-shipmachinery, previouslydominatedbythesteamturbine","15,320tonnes","","","12"
"SS 2007","Cala Pancaldo","Stocznia Szczecinska Nowa Sp z. .o. .o. ., , Poland","11.47mscantling ................................................................12.20m","Costa Container Lines SpA, , Italy","Italy","5July2007","275.00m","1250","9301988","102,00gt","7 THESzczecinskashipyardhasalong-heldreputationforthedevelopmentofinnovativecargoshipdesigns, andthisnewB178-II series, ofwhichCalaPancaldoistheprototype, continuesthistradition","","","",""
"SS 2007","Cap Palmerston","Hyundai Mipo Dockyard Co Ltd ( (HMD) ), , Korea","10.50mscantling ................................................................12.15m","Reederei Claus- -Peter Öffen, , Germany","Liberia","26July2007","20ft, 40ft, 45ft, 49ft","2","9344643","33,00gt","7 ONEthirdofHMD'sannualoutputhasrecentlybeengivenovertocontainershipconstruction, withfourstandardesignsdominatingtheorderbook, offeringcapacitiesof4300TEU, 3500TEU, 2800TEU, andthatfeaturedinthisreview, 1800TEU. Thisparticularseries, developed, likesomanyofsimilarsizebuildingworldwidefortheGerman-led, linerchartermarket, carriesitsowncargogear. However, inaninterestingmove, andinresponsetoanotherownerequiringquickdeliveryofeight200TEUcapacityvessels, HMDhasupgradedthis1800TEUseriestosatisfythislargerintake, byremovingthecranesinordertomakemorestowagespaceavailable","","MANB&W","7K80MC-C",""
"SS 2007","Cheikh El Mokrani","Universal Shipbuilding Corp ( (USC) ), , Tsu yard, , Japan","9.80mscantling ................................................................11.30m","Mediterranean LNG Transport Corp/ /Hyproc Shipping Co, , Algeria","Bahamas","9August2007","FEU: 45ft","4","9324332","22,914gt","1 JOINTventuresarenotanuncommonformofship- ownership, andCheikhElMokrani, thefirstoftwosistershipsbuildingatheTsushipyardofUniversalShipbuilding, hasenteredserviceundertheparentageofjustsuchapartnership. Thiswasformedin2004astheMediterraneanLNGTransportCorp (MLTC) bytheAlgerianationaloilcompanySonatrach, itsubsidiaryshippingarmHyproc, andJapaneseshipownersMitsuiOSKandItochuCorp, withHyprocactingashipmanager","37,942tonnes","","",""
