FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2012","Alison MacGregor","Blyth Workcats","Blyth Workcats","","UK","July 2012","11m","19","","8tonnes","0","10tonnes","","",""
"SSS 2012","Bergesen D.Y","Swede Ship Marine","Swede Ship Marine","Redningsselskapet","Norway","April 2012","14.25m","","","","0","","","",""
"SSS 2012","Bolt 18","Mylne Yacht Design","0.7m","Mylne Yacht Design","UK","September 2012","12.9m","6","","","1","12tonnes","","",""
"SSS 2012","BRAtt 880-SU","Adrenalin Marine","0.5m","Oil Sands","Canada","October 2012","5.5m","5","","","0","750kg","","",""
"SSS 2012","CWind Astute","CTruk","1.7m","Coastal Marine","UK","August 2012","8.8m","8.5","","13.5tonnes","0","23tonnes","","",""
"SSS 2012","Doňa Clary","Cotecmar","1.55m","Serviport","Colombia","July 2012","17.16m","935","","61tonnes","0","31tonnes","","",""
"SSS 2012","El Chalten","Cheoy Lee Shipyards","4.93m above hydrostatic baseline (Summer Load Draught)","Kalenys Ship Management","Panama","September 2012","35.58m","250","","745tonnes","0","1,488tonnes @ Summer Load Draught","","",""
"SSS 2012","Esvagt Aurora","Astilleros Zamakona","5.05m","Esvagt","Denmark","July 2012","58m","3","","1,330tonnes","0","","","",""
"SSS 2012","Gazpromneft Nordwest","Gisan Shipyard","Delta Marine","Gazpromneft Marine Bunker","Russia","January 2012","81m","16.5","","stand-by vessel operating in harsh Barents Sea conditions 22 Significant Small Ships of 2012","0","","","",""
"SSS 2012","Grampian Don","Astilleros Balenciaga","4.8m","Craig Group/ North Star Shipping","UK","Jan 2012","66.67m","265","","1,764tonnes","0 (but pending)","3,886tonnes","","",""
"SSS 2012","Harro Koebke","Fassmer","4.3m","DGzRS","Germany","April 2012","47.4m","13","","1343tonnes","0","","","",""
"SSS 2012","HAWC12","Wang Tak Engineering & Shipbuilding Co, Ltd","2.6m","HAWC Technologies Ltd","Hong Kong","October 2012","36.45m","25","","","0","236tonnes","","",""
"SSS 2012","Interceptor","Safehaven Marine","0.9m","To be confirmed","To be confirmed","To be confirmed","12.46m","2","","","0","13.4tonnes (full load)","","",""
"SSS 2012","KBV 312","Baltic Workboats","1.3m","Swedish Coast Guard","Sweden","May 2012 2012 saw the delivery of the first in a series of five versatile coastguard vessels destined primarily for maritime surveillance border and fisheries control environmental protection firefighting and rescue and civil protection and diving operations. Following a successful tender in 2009 Estonias Baltic Workboats was awarded the contract to design and build five new fast patrol vessels for the Swedish Coast Guard with specified requirements including the lowest possible vessel lifecycle costs high efficiency high working environment standards and the lowest possible impact on the environment","11.7m","29","","17tonnes","2","12.5tonnes","","",""
"SSS 2012","Lady Anna","Groningen Shipyard","1.2m","Wijnne Barends","Netherlands","January 2012","21.2m","34","","80tonnes","0","53tonnes","","",""
"SSS 2012","Mary D Odyssey","Austal","4.3m","Mary D Enterprises","France","January 2012","84.98m","10.5","","2,544tonnes","0","","","",""
