FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2006","Arctic Voyager","Kawasaki Shipbuilding Corp, , Japan","10UpperBelgraveStreetLondonSW1X8BQ, UK","Lloyd' 's TSB Equipment Leasing No 1 Ltd/ /K- -Line, , UK","Bahamas","","289.50m","","9275335","","Nil ARCTICVOYAGERfollowsthedesignoftheKawasaki-builtLNGtankerEnergyAdvance (SignificantShipsof2005) veryclosely, butwiththeimportantadditionofeaturesenablinghertoperatesuccessfullyintheharshArcticenvironmentsurroundingthemergingNorwegianSnøhvitLNGproductionproject. Despiteitsimilaritytothearliership, thedesignofthesenewvesselshasbeenpreparedbyMitsuiEngineering & Shipbuilding, andthatcompanyhasalsodeliveredthefirstvesseltoenterservice, drawingheavilyontheaccumulatedexperienceofDetNorskeVeritasrelatingtothestructuralandhumanproblemsofoperatinginArcticonditions","","","",""
"SS 2006","Berge Nantong","Hyundai Heavy Industries Co Ltd, , Korea","11.50mscantling ................................................................11.95m","Unique Shipping ( (HK) ) Ltd, , Hong Kong","Hong Kong","July2006","277.00m","3250","9317987","118,571gt","2 BERGENANTONGisafullyrefrigeratedLPG/NH3tankerbuiltowhathasdevelopedintoasomewhatstandardlayoutforthistypeofvessel, featuringasingle-skin, flushdeckedhullwithoutforecastle, butwiththeupperdeckgivenaslightsheerforward, inlieu. Themooringdeckaftisunkenandtheflatprofileisrelievedonlybythefive-tiersuperstructureaft, housingtheaccommodation","","Kawasakisteamturbine","……………………UA-400",""
"SS 2006","Bergensfjord","Aker Yards AS ( (Søviknes yard) ), , Norway","11.40mscantling ................................................................12.55m","Fjord 1 Nordvestlandske AS, , Norway","Norway","27July2006","215.00m","3","","47,012gt","2 ( (plus 2 small version) ) THEsignificanceofthisnew, five-shipclassofNorwegiancoastalferryliesnotsomuchwiththevesseldesign, butwiththechoiceofpropellingmachineryanditsoperation. BuiltoprovidethenecessarywaterbornelinksonthemajorE39roadbetweenBergenandStavanger, wheretheywillreplacexistingvesselsoperatingbetweenHalhjem/Sandvikvåg, andAarsvågen/Mortavika, thebasicdesignfollowsthatofthemanydouble-endedferriesworkingontheNorwegiancoast. Thus, theyhaveahullgivenovertovehicleaccommodationandaccessedfromeitherend, surmountedbyacentralsuperstructuretoppedwithanavigatingbridge, fromwhichthevesselcanbeconnedintherequiredsailingdirection, thusobviatingtime- consumingturningmanoeuvres","69,404tonnes","MANB&W","………………6S60MC-C","35"
"SS 2006","Bit Okland","Shanghai Edward Shipbuilding, , People' 's Republic of China","Rolls-RoyceMarineAS (BergenDiesel)","Tarbit Shipping AB, , Sweden","Sweden","2006","122.40m","21","9309227","4856gt","1 IllustrationshowscomputerimpressiononlyNORWEGIANnavalarchitecturalconsultancySkipskonsulent, nowoperatingaspartofthequallywell-knownVik-Sandvikconsultancygroup, iscurrentlyexpandingitstanker-designportfolio, andsomexamplesofthevaryingrangeofshipsofthistypefeaturedtherecanbefoundelsewhereinthisreview. ThecompanyismuchinvolvedwiththeChineseshipbuildingindustry, andathepresentimehasvesselsunderconstructiontoitsdesignsintheQingshanandJinlingyards, aswellaswithShanghaiEdward, builderofBitOklandandasistertobecompletedearlynextyear","","","",""
"SS 2006","Bossclip Trader","Cochin Shipyard Ltd, , Cochin, , India","9.20mscantling ..................................................................9.70m","Clipper Group Ltd, , Denmark/ /Dockendale Shipping Co Ltd, , Bahamas","Bahamas","inthiscase theCochinShipyard withothercontractsplacedelsewhereinIndiandChina nowtotallingmorethan20newbuildings","167.00m","114.3","9320295","17,660gt","4 (plusunitsatotherFarEasternshipyards) CLOSEto40yearshavelapsedsincethethenCanadian-basedGTRCampbellconsultancyintroduceditsfirststandardcargovessel - thecelebratedFreedomLiberty-shipreplacement, totheinternationalmarket. Sincethen, Campbell, anditsBahamianassociateAlgoship, hasregularlyhadonofferasuccessfulportfoliofseries-produced, mainlyHandysizebulkcarrierdesigns. SomehavebeenpresentedinearliereditionsofSignificantShips. LatestoftheseistheTradertype, a29,300dwtdouble-skin, five-holdvessel, developedinconjunctionwithtradingpartnersClipperGroup, handlingcharteringandoperations, andDockendaleShipping, lookingaftertechnicalmanagement","","","",""
"SS 2006","Bro Deliverer","Jinling Shipyard, , People' 's Republic of China","9.50mscantling......................................................................9.79m","Broström Tankers AB, , Sweden","Sweden","10April2006","170.00m","3","9313096","holds2and4maybempty', UWILD, TCM","2 IllustrationshowsistervesselBroDesigner","38,557tonnes","MANB&W","6S42MCMk7",""
"SS 2006","BW Sombeke","Daewoo Shipbuilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","8.00mscantling ..................................................................8.20m","Bergesen Worldwide Gas ASA, , Norway","Bahamas","March2006","134.40m","4","9292113","","2 ALTHOUGHtechnicaladvancesintheLPGworldhavebeenowherenearasdramaticasthoseinLNGshipdesigns, theconstructionoflargeLPGcarrierscontinuesapace; indeed, prospectsforsuchvesselsarexpectedtoreceiveausefulboostasaspin- offromtherisinglevelofLNGproductionandprocessing. BWSombekeisanexampleofanewseriesfromtheOkposhipyardofleadingKoreanbuilderDaewoo (DSME) orderedbyNorwegiancompanyBergesen, awell-entrenchedandexperiencedoperatorintheLPGtrades","","Aalborg","FAR2837Integratedbridgesystem",""
"SS 2006","Charlotte Wulff","Stocznia Gdynia SA, , Poland","9.20m","Reederei Hermann Wulff, , Germany","Germany","October2006","172.00m","3","925096","25,994gt","1 Illustrationshowshipunderherchartername, MaerskDiadema","-","MANB&W","6S50MC-C",""
"SS 2006","Clipper Karina","STX Shipbuilding Co Ltd, , Busan, , Korea","12.00mscantling ................................................................13.20m","Clipper Group ( (Management) ) Ltd, , Denmark","Bahamas","26January2006","20ft, 40ft, 45ft (deckonly)","2","9322970","52,701gt","13 INTERESTinthisreviewliesnotonlywiththeship, butalsoincludesbuilderandowner. BuilderSTXwasformedsomeyearsago, outofthetroubledDaedongconcernwhichadoriginallycarriedonbusinessfromitsmall, BusanshipyardbeforexpandingtoitsJinhae 'greenfield' site. Becauseofitslimitations, STX, havingacquiredthetwoyards, closedtheBusansiteandleaseditforshiprepairing, whileconcentratingnewbuildingactivityatheJinhaecomplex","","MANB&W","7K98MCMk6",""
"SS 2006","Clipper Sira","Volharding Shipyards, , The Netherlands","8.05mscantling ..................................................................8.40m","Brodrene Klovnings Shipping/ /BKR Tankers A/ /S, , Norway","Norway","18January2006","109.00m","3","9346500","7687gt","3 VOLHARDINGShipyards, anditsantecedents, hasalonghistoryofoperationintheDutchshipbuildingscene; however, likemanyofitslocalcompetitorsithas, inrecentimes, sometimesfounditnecessarytomakeuseofoverseasubcontractorsinordertocompeteforwork. Fortunately, theyardwasabletokeepthecontractforthiseriesofourchemicaltankersplacedbyNorwegianowners, athome, andClipperSiraenteredservicebearingthebuilder'spopularHarlingenshipyardimprint","15,021tonnes","MANB&W","6S35MC-Mk7",""
"SS 2006","CMA CGM Sambhar","China Shipbuilding Corp ( (CSBC) ), , Taiwan","5.40mscantling ..................................................................5.65m","Peter Döhle Schiffsbeteiligungs- -KG ( (GmbH) ) & & Co, , Germany/ /CMA CGM SA, , France","Liberia","July2006","84.90m","2","","2700gt","16 Anearliersisterinthesameseriesisillustratedhere","5607tonnes","MaK","6M25",""
"SS 2006","Cosco Guangzhou","Hyundai Heavy Industries, , Korea","11.00mscantling ................................................................12.50m","Costamare Shipping Co SA, , Greece/ /Cosco, , China","Greece","3July2006","256.50m","4","9305570","42,382gt","0 INjustover30years, theGreekConstantakopoulosbrothershavetakenCostamareShippingintothehigherechelonsofthecontainershipchartermarket, hiringshipstosomeofthatindustry'sbiggestnames, andprovidingthemwithsomeofthelargestcapacityshipsofthatypeyetbuilt. InordertomeetcustomerequirementsforCoscoGuangzhou, Hyundaihasmadeonlymodestchangestoanexistingdesigntofindspaceforanother900TEU","","Sulzer","7RTflex-96C",""
"SS 2006","Côte d' 'Albâtre","Astillero H J Barreras ( (Hijos de J Barreras SA) ), , Spain","13.00mscantling....................................................................14.50m","Transmanche Ferries, , France","France","23February2006","20ft, 40ft, 45ft","3","9320128","109,150gt","1 ( (for this owner) ) THENewhaven/Dieppeferrylinkhasenduredmanyproblemsinrecentimes, butnow, operatedbylocal-government-controlledTransmancheFerries, anattemptisbeingmadetoreviveitsfortunesusingtwonewvessels, basedonasuccessfuldesigndevelopedbytheVigoshipyardofHJBarreras; twoexamplesofthisdesignhavebeendescribedinthe2004and2005editionsofSignificantShips. AthirdsisterhasnowjoinedthatearlierpaironCanaryIslandservices (withmoretofollow), and, togetherwiththeseFrenchvessels, theyemphasisethebuilder'sgrowingpositionasaleaderintheconstructionofthistypeoferry","144,400tonnes","MANB&W","12K98MC (Mk7)",""
"SS 2006","Crystal Diamond","INP Heavy Industries Co Ltd, , Korea","5.70mscantling ............................................................6.00m","Crystal Pool Ltd, , Finland","Luxembourg","12February2006","125.00m","3","9327047","18,425gt","1 ONEofthesmallerKoreanshipyards, INP (formerlyoperatingasChung-guShipyard), isachievingsignificantsuccessinitseffortstoestablishitselfinaspecialisedsector, asabuilderofliquidgasandchemicaltankers, ataskeasedbyhavingtheuseofitsownfacilityforconstructingstainlessteelfabrications. CrystalDiamondisthefirstoftwochemicaltankersintendedforoperationwithinaEuropeanpool, andnotablefortheinclusionofIceClass1Arequirementsandanemergencypropulsionsystem","","Wärtsilä","9L46C","69"
"SS 2006","Diana J ( (charter name: : Katherine Borchard) )","Detlef Hegemann Rolandwerft GmbH & & Co KG, , Germany","7.60mscantling ..................................................................8.34m","JMS Jüngerhans Maritime Services, , Germany","Antigua and Barbuda","April2006","119.20m","3","9344239","7903gt","16 DIANAJ, currentlyoperatingonchartertoBorchardLinesasKatherineBorchard, andservingonthatcompany'sEurope/Mediterraneanlinerservices, istheprototypeofanew, highlysophisticatedcontainercarrierdesignatedtheTypeRW850byHegemann, andhavingacapacityof974TEU. Thedesignhasbeendevelopedforflexiblemploymentintheinternationalshortseacontainerfeedertrade, inwhichtheBerne (Germany)-basedshipbuilderhas, overecentyears, becomespecialist, albeitmainlywithshipsinthe700/750TEUrange. Thisnewdesign, whichisaresponsetoperators' demandsforshipsoflargercapacity, hasalreadybroughtin17firmcontractsandfouroptions, tobedeliveredbetween2006and2009","15,639tonnes","MaK","6M43",""
"SS 2006","Emma Maersk","Odense Steel Shipyard, , ( (AP Möller- -Maersk Group) ). . Denmark","6.50mscantling ..................................................................7.36m","Maersk Line ( (AP Möller- -Maersk Group) ), , Denmark","Denmark","24March2006","20/30/40/45/48and49ft","2","9321483","8246gt","6 THEnumberoftimestheheadline 'theworld'slargestcontainership' hasbeenusedtointroduceanentryinthe16annualreviewswhich, sofar, makeuptheSignificantShipseries, isanyone'sguess. Inourfirstissue (1990) itmighthavebeenappliedtoeitherofthetwocirca200TEUvesselsfeatured, whilstlastyearwereferredtoavesselwithacapacityfourandahalftimeslarger: the9200TEUMSCPamela","","","",""
"SS 2006","Eships Cobia","Hyundai Mipo Dockyard Co Ltd, , Korea","14.00m","Eships Tankers Ltd, , United Arab Emirates","Marshall Islands","","397.00m","102","","","2 THISfive-shiporderfromtheUnitedArabEmiratesillustratesHyundaiMipo'sversatilityintheproduct/chemicaltankerfield, bypresentingamuchsmallerversionofthispopularship-typethanhaspreviouslybeenfeaturedamongstheyard'snewbuildings, ineditionsofSignificantShips. Designedtocarry13,100dwtonascantlingdraughtof8.60m, EshipsCobiaisingledecked, andhasadoublehullsurroundingsixpairsofcargotanksandthetwosloptankspositionedatheaftendofthecargospace. Alsoprotectedinthiswayarethefuelbunkersatheforwardendofthengineroom","","","",""
"SS 2006","Eton","Daewoo Shipbilding & & Marine Engineering Co Ltd ( (DSME) ), , Korea","8.25mscantling ..................................................................8.60m","Sovcomflot Akp, , Russia","Liberia","24November2006","119.00m","800","9311610","8473gt","3 ETONisthefirstvesselinaseriesofour, Suezmax-sized, crudeoiltankersbuildingforaRussian-basedowner. ThedesignincorporatestherequirementsofaNorskeVeritas 'ICE-1A' notation, thusjoininganexpandinglistoftankers - someincludedinthis2006review, whicharepreparedfortheanticipatedexpansionoftheRussianoiltrades","","MaK","9M32C",""
"SS 2006","Eylul K","Torgem Shipyard, , Turkey","15.00mscantling ................................................................16.50m","Ileri Denizcilik AS, , ( (Kaptanoglu Group) ), , Turkey","Turkey","April2006","270.00m","3","9394222","87,146gt","1 THISnewNG-BULK20bulkcarrierdesign, whichasbeenproducedbytheIstanbul-basedDeltaMarineconsultancy, isunderstoodtofferamoreflexibleloadingcapability, lowerfuelconsumption, higherspeed, improvedenvironmentalqualities, andbetterlong-termaintenancepropertiesthanmanyavailablesimilardesigns. Itisconstructedwithadoublehullcontainingfourequallydimensionedholds (28.2mx21.0m) separatedbydouble-skintransversebulkheadsbuiltonstools, withthespacebetweentheseusedaswaterballastanks, andalsotocontainholdaccesstrunks","188,140tonnes","MANB&W","………………….7S70ME-C",""
"SS 2006","Finnstar","Fincantieri SpA ( (Ancona yard) ), , Italy","8.60mscantling ..................................................................9.00m","Finnlines Plc, , Finland","Finland","January2007","151.50m","173","","14,00gt","4 IllustrationshowsisterFinnmaid","","MANB&W","8S35MC",""
"SS 2006","Freedom of the Seas","Aker Yards Oy ( (formerly Aker Finnyards) ), , Finland","7.00mscantling ..................................................................7.10m","Royal Caribbean Cruises Ltd, , USA","Bahamas","July2006","4200m","3","9304033","approx45,00gt","2 THEdesignofthisnew, RoyalCaribbean 'Freedom' classofcruiselinerhasbeenlargelybasedonthecompany'searlier 'Voyager' (originallydesignated 'Eagle') class, describedinSignificantShipsof199, however, FreedomoftheSeasnotonlypresentsa15% increaseinsizecomparedwiththatearlierseries, butoffersmanynewandintriguingfeatures - includingwhatisclaimedtobethefirstfull-sizeboxingringtobefittedinacruiseship! Ofmuchmoresignificancetotheoperationofthis 'Freedom', however, istheScanshipadvancedwastetreatmentsystems, notablyastate-of-the-artwaterpurificationplantwhichconvertsallofthevessel'sgreyandblackwastewaterbackintovirtuallypuredrinkingwater, therebysupplementingtheoutputfromtwo900tonne/24hAlfaLavalfresh- watergenerators","","Wärtsilä","9L46D","127"
"SS 2006","FS Charlotte","Yardimci Shipyard, , Turkey","8.50mscantling ..................................................................8.80m","Fouquet Sacop Maritime, , France","France","24April2006","303.20m","21.60","9327504","154,00gt","Nil PERHAPSoneofthemostsignificantshipsdeliveredfromTurkeythisyearisFSCharlotte, an11,00dwtcombinedmoltensulphurandbitumentanker. DesignedbyDeltaMarine, ofIstanbul, thisinterestingvesselwashandedovertoherowner, FouquetSacopMaritime, ofFrance, inMarch2006, bytheYardimciShipyardgroup. Sheisoneofonlyveryfewvesselsofthistypeinserviceworldwideandisnowonlong-termchartertoTotal","","","",""
"SS 2006","Gaschem Shinano","Severnav SA, , Romania","7.80m","Hartmann Schiffahrts GmbH & & Co KG, , Germany","Liberia","2006","123.90m","150","9269271","9416gt","3 THESevernavshipyardislocatedatDrobetaTurnuSeverin, ontheriverDanubeinwesternRomania, neartheYugoslavborder. Althoughbetterknownasabuilderofspecialistriver/canalcargovesselsoperatingonRussianandEasternEuropeanwaterways, thisyardhasfeaturedsea-goingvessels, includingtankers, initsportfolio; nevertheless, GaschemShinano, consideredtobeoneofthemostsophisticatedethylenetankersnowinservice, givestheyard'soperationsanimportantnewthrust","","","",""
"SS 2006","Glory Atlantic","Labroy Shipbuilding & & Engineering Pte Ltd, , Indonesia","MaK","Belden Shipholding, , Norway/ /Belden Shipholding Pte Ltd, , Singapore","Singapore","2006","109.51m","2","9326342","5945gt","2 SINGAPORE-basedconsultancyShiptechPteLtd, withareferencelistof16newbuildingbulkcementcarriers, plusmanyconversions, initsportfolio, bringsmorethan30years' experienceintothedesignofthisfirstnewbuildinginthe14-strongBeldenfleet. Forthefirsthreeyearsofitslife, thisvesselwillbeoperatingoncharterintheCaribbean/EastCoastUSAarea","","Renk","9M32C",""
"SS 2006","Gotlandia II","Fincantieri SpA, , Italy","9.00mscantling ..................................................................9.05m","Rederi AB Gotland/ / Destination Gotland AB, , Sweden","Sweden","31May2006","136.00m","500","9328015","11,979gt","Nil FINCANTIERI'Sreputationasabuilderoflargefastferries (bothconventionalandlightweight), and, inparticularitsassociationwithScandinavianowners, isfurtherenhancedbythedelivery, injust14monthsfromkeelayingtocompletion, ofthemonohullGotlandiaII. Hullconstructionwascarriedoutathebuilder'sRivaTrigososhipyard, withoutfittingundertakenatMuggiano, followingwhichthevesselenteredserviceonDestinationGotland'sBalticroutes","25,369tonnes","","",""
"SS 2006","Graiglas","Nam Trieu Shipbuilding Industry Co, , Vietnam","3.20mscantling ..................................................................3.30m","Graig Shipping plc, , United Kingdom","Isle of Man","29April2006","113.60m","3","9330628","6400gt","46 TWOyearsagoSignificantShipsintroducedreaderstoanewstandardbulkcarrierdesign, marketedastheDiamond53, byfeaturingSparLyramongstitsreviews. NotonlydidthisNorwegian-owned, 53,00dwtvesselmarkanextensionofthenewbuildingpartnershipformedbetweentheDanishconsultancyCarlBroandWelshownerGraig (begunearly10yearsearlierwiththeConfidenceclassofcirca900dwtmulti-purposecargoships, ClipperConfidence, SignificantShipsof1997), butitalsoconsolidatedtheiruseofChineseshipbuilderstoconstructhevesselsoriginatingintheiroffices. Now, thexpandingshipyardsofVietnamhavebeenaddedtothelistofthoseworkingwiththedesigners; addedinterestisprovidedbyGraigmarkingareturntoshipowningandtakingdeliveryofthatcountry'sfirstDiamond53, Graiglas, intoitsownfleet","2300tonnes","","",""
"SS 2006","Industrial Diamond","Estaleiros Navais de Viana do Castelo SA, , Portugal","11.10mscantling ...............................................................12.62m","Jungerhans Maritime Services GmbH & & Co KGMS, , Germany","Antigua and Barbuda","December2006","183.05m","3","9347827","32,474gt","4 INDUSTRIALDIAMONDisthefirstofsixshipsorderedfromENVCbyGermanownerJungerhans, andesignedforworldwidetradingcarryingbulkcargoes, containers, andheavylifts. TwoTTSelectro- hydraulicranes, ofopen-girderjibtype, havebeeninstalledontheportsideofthevessel: No1betweenholds1and2, andNo2between2and3holds","","MANB&W","6S50MC-C",""
"SS 2006","Ital Festosa","Hyundai Mipo Dockyard Co Ltd, , Korea","6.70mscantling ..................................................................7.70m","Rickmers Reederei GmbH & & Co KG, , Germany","Marshall Islands","28July2006","112.00m","2","","7223gt","4 HAMBURG-basedRickmersReedereisanotherofthemanyGermanshipownerswhohavefoundexcellentemploymentfortheirfleetsinthecontainer- shipchartermarket, withHyundaiMipo, likewise, oneoftheshipbuilderswhohavemetheresultingdemandfortonnagebydevelopingacollectionofstandardesignsofvaryingcapacities, especiallyforthisector","12,372tonnes","","",""
"SS 2006","Kronviken","Samsung Heavy Industries Co Ltd, , Korea","10.80mscantling ................................................................12.00m","Viken Shipping, , Norway","Norwegian International Shipping ( (NIS) )","13April2006","20ft; 40ft; 45ft","2","9321677","36,483gt","1 DESPITEseveralsimilaritieswithanotherSamsung-builtAframax-classtanker, BritishCormorant, presentedinlastyear'seditionofSignificantShips, thisnewcompletiondoesoffersomeinnovationsandchanges. Notably, theownerhaschosentoincludea1500kWBrunvollbowthrustertoaidmanoeuvring, whiletheclassocietyreflectstheowner'sScandinavianbase","","MANB&W","7K90MC-C",""
"SS 2006","Maersk Kowloon","Hanjin Heavy Industries & & Construction Co Ltd, , Korea","13.60m","A P Möller- -Maersk Group, , Denmark","Denmark","14September2006","239.00m","3","9248649","61,653gt","9 AFEWyearsagoSignificantShipswouldprobablyhavedescribedthisnewseriesof10containershipsasamongsthelargestintheworld; now, however, atonly600TEUcapacity, ithasmovedowntheleagueintoanear-intermediateposition, dwarfed, withinthemassiveMöllerfleet, byitsbigsisterEmmaMaerskoftwicethesize. Despitethereductioninscale, thestandardcontainershipconfigurationistillapparentwith14hatchesforwardofthe 'threequarter- aft-superstructureposition' andtwoaft. Additionally, twomorecontainerstacks (onerightaftdesignatedforFEU) arelocatedontheupperdeckbehindtheaccommodation. Inallotherpositions, TEU/FEUcanbeloaded, withdecksecuringassistedbylashingbridgesbetweeneachatch","-","","",""
"SS 2006","Maersk Qatar","Samsung Heavy Industries Co Ltd, , Korea","12.00mscantling ................................................................14.50m","AP Möller- -Maersk Group, , Denmark","Danish International Shipping Register","-","20ft/40ft","3","9321732","74,00gt","7 THEdiversityoftheMöller-MaerskGroupisdifficultomeasure, butsomeideaofitsextentisdemonstratedinthiseditionofSignificantShipswherefourofthisleadingowner'snewbuildingsarefeatured, includingthelargestcontainershipintheworld, togetherwiththisvessel - oneofthelargestLNGtankersinservice, alongsidetwo 'baby-size' boxships","110,500tonnes","","",""
"SS 2006","Mare di Ravenna","SLS Shipbuilding Co Ltd, , Korea","11.40msummer..................................................................12.00mscantling ................................................................12.40m","Gestioni Armatoriali SpA, , Italy","","15April2006","approx270.00m","3450","9301902","96,508gt","3 UNTILrecentlytheSLSshipbuildingcompanytradedasShinAfromamodest (byKoreanstandards) shipyardonthecountry'southcoast, boastingonlytwoadjacentbuildingberths, originallysizedforvesselsofaround12,00dwt. Asthenewcenturydawned, workwasalreadyinprogresstoconvertoneoftheseberthsintoaslipwaysuitablefor37,00dwtvessels - laterfurtherincreasedtoaccommodatetoday'smaximum-sizedesignsofaround51,00dwt","102,00tonnes","directreversiblesteamturbine","UA-400",""
"SS 2006","Marida Boreas","Aker Yards Braila, , Romania","11.00mscantling ................................................................13.20m","Ortinia Shipping Co Ltd, , / /H& &P Tanker GmbH & & Co/ / Marlow Navigation, , Cyprus","Cyprus","29June2006","174.00m","4","9341316","29,900gt","5 Illustrationshowscomputerimpressiononly","approx61,600tonnes","MANB&W","7S50MC-C",""
"SS 2006","Meltemi","Hyundai Samho Heavy Industries Co Ltd, , Korea","8.50mscantling (iceclass).................................................8.70m","Marmaras Navigation Ltd, , Greece","Greece","October2006","139.25m","3","9298741","10,350gt","2 IllustrationshowsistershipSounion","20,050tonnes","MAN","8L40/54",""
"SS 2006","Merope Star","Madenci Shipyard, , Turkey","16.00mscantling ................................................................17.00m","G & & H Shipping/ /Pianura Armatori, , Italy","Italy","13February2006","264.00m","3","9356919","","3 TRIESTE-BASEDconsultancyMEShasmorethan20yearsexperienceinthechemicalandgastankersectors, andexamplesofitsdesignshavebeenfeaturedinSignificantShipsince1993, whenwepresentedVallesina. Manyofitsmostrecentprojects, includingOttomana (2005), haveinvolvedTurkishshipbuilders, andthisfour-shipseries, ledbyMeropeStar, continuesthelink (anotherfoursisterswillbebuiltinUkraine)","","MANB&W","6S70MC-C",""
"SS 2006","Morgenstond I","Damen Shipyards Cargo Vessels, , The Netherlands","5.50mscantling ..................................................................6.50m","C T Drent Beheer BV, , The Netherlands","The Netherlands","80ofthesemayberefrigerated. Aswellashousingairdryingequipment thespacebetweenholds1and2isalsothelocationofananti-heelingpumpforuseduringcargoperations","82.50m","3","9320506","3395gt","3 THEfamedDamenShipyardsCombi-Freighterserieshasgainedaveryhighreputationamongstoperatorsofshort-seatradersandfeedercargovesselsovermanyears. Asthesizeoftheseshiptypeshasincreased, sohasthextentoftheCFrange, withevenaCF19500 (19,500dwt) designfeaturedinthecompany'scurrentportfolio","6100tonnes","","",""
