FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2018","Armand-Imbeau II","Chantier Davie Canada Inc","Concept Naval","the sister vessel, Jos-","Canada","June 2018","92m","","","","0","","","",""
"SSS 2018","Bürgenstock","Shiptec AG","4.5m","Schiffahrtsgesellschaft des Vierwaldstättersees","Switzerland","for instance one entire hybrid drive is easily accessible and can be replaced by lifting it off the hull and swapping it for a spare unit within six hours to minimise disruption","86.87m","14","","2,867tonnes","0","3,500tonnes","","",""
"SSS 2018","Cap de Fer","Cantiere Navale Vittoria","1.5m","Enterprise portuaire de Skikda","Algeria","March 2018","38m","19","","","0","110tonnes","","",""
"SSS 2018","Clean Jacksonville","Conrad Orange Shipyard","3.85m","Tote Maritime Puerto Rico / Foss Maritime","US","August 2018","25.65m","91","","340tonnes","0","592tonnes","","",""
"SSS 2018","Clementine (A2V-25-CB)","Advanced Aerodynamic Vessels","2.92m","Peschaud International","France","January 2018","70.72m","515","","1,824tonnes","0","2,663.63tonnes","","",""
"SSS 2018","Dame Vera Lynn / Ben Woollacott","Remontowa Shipbuilding SA","0.68m","Transport for London / Briggs Marine Contractors","UK","November 2018","15.21m","44","","61.07tonnes","0","19.5tonnes","","",""
"SSS 2018","EcoCat","Metaltec Naval","1.8m (max)","Commercial Marine","Spain","October 2018","200m","450","","1,750tonnes","0","1,618tonnes","","",""
"SSS 2018","Edda Mistral","Gondán Shipbuilders","0.99m","Østensjø Rederi A/S","UK","August 2018","17.58m","9.5","","78.48tonnes","in this case, both vessels have been placed under contract with Ørsted (formerly Dong","37.35tonnes","","",""
"SSS 2018","Enhydra","All American Marine","5.4m","Red and White Fleet","US","August 2018","72.1m","this unit will be used to drive thrusters and cover other onboard sources of power drain","","“Computational fluid dynamic analysis was performed to design a hull shape with minimal wave resistance, without compromising on the required stability to carry 600 passengers on three decks.”","0","5,181tonnes","","",""
"SSS 2018","Fregate","Damen Shipyards","1.1 m","Dutch Dredging De Boer / Iskes Towage & Salvage","France","May 2018","36.0m","13.6","","<100tonnes (USCG definition)","0","","","",""
"SSS 2018","Global Provider","Jesse Engineering","5.10m","Maxum Petroleum","US","March 2018","25.65m","188","","434tonnes","0","577tonnes","","",""
"SSS 2018","Halunder Jet","Austal Philippines","2.74m","Larouzio Shipping","Cyprus","April 2018","39.62m","65","","99tonnes","0","885.99tonnes","","",""
"SSS 2018","HMS Magpie","Safehaven Marine","2m","Royal Navy","UK","May 2018","53m","108","","this is open to her ‘work space’ module, which comes equipped with hydrographic equipment and work benches for six operatives. The vessel has also been fitted with a high-resolution shallow-water multibeam echosounder and a side scan sonar","0","400tonnes+","","",""
