FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2014","Andalucian Zephyr","Namura Shipbuilding","Namura Shipbuilding Co., Ltd","Three Kingsss Shipping","Panama","","179.96m","","9667526","","nil","","","",""
"SS 2014","Asia Vision","Samsung Heavy Industries","9.80m","Chevron Transport","Bahamas","12 March 2014","174.00m","400","9606948","21,514gt","4","","Nakashima","Mitsubishi 6UEC45LSE-B2",""
"SS 2014","Atlantic Gas","STX Offshore & Shipbuilding","11.50m","Ultranav","Panama","28 September 2014","274.00m","19.5","9662019","101,427gt","6","","Wärtsilä","12V50DF, 6L50DF",""
"SS 2014","Balt Flot 1","JSC Okskaya Sudoverf","8.40m","BF Tanker","Russia","17 October 2014","152.00m","10","9751872","100sec","10","","MAN Diesel & Turbo","6S50ME-C8.2 (Tier II)",""
"SS 2014","Berkarar","Uljanik","3.60m (in river)","The State Service of","Turkmenistan","22 October 2014","140.66m","370","9684330","3,928gt","1","7,881tonnes","Rudder-propeller/ Schottel SRP1012FP","6L20",""
"SS 2014","Burgan","Hyundai Mipo Dockyards","4.35m","Kuwait Oil","Kuwait","5 December 2014","970m","1","9656022","9,791gt","nil","","Wärtsilä","9L26",""
"SS 2014","Cascade","Jiangmen Nanyang","11.00m","CV1 CVF II Lux Master","Panama","6 March 2014","176.96m","1","9670418","31,445gt","28","","Hyundai-Wärtsilä, two-stroke, direct reversible, crosshead type diesel engine with constant pressure turbocharging","Hyundai-Wärtsilä 7RT-flex50-D (Tier II)",""
"SS 2014","CCNI Iquique","HHIC-Phil","9.5m","Paxi Maritime Corporation","Liberia","03 June 2014","176.85m","550","9679555","","nil","48,978tonnes","MAN B&W","5S50ME-B9.2",""
"SS 2014","Ceona Amazon","Lloyd Werft","13,000m","Ceona Services (UK) Limited","Gibraltar","30 October 2014","20ft, 40ft, 43ft, 54ft","1","9698094","70,262gt","nil","103,160tonnes","","",""
"SS 2014","Charlotte Schulte","HHIC-Phil","8.00m","Bernhard Schulte","Singapore","November 2014","183.96m","185","9665657","33,000gt","nil","","","",""
"SS 2014","Copiapo","Samsung Heavy Industries","12.00m","Compania Sud","Liberia","17 January 2014","20ft/40ft","2","9687526","51,870gt","5","84,200tonnes","MAN Turbo Diesel","6G80ME-C9.2",""
"SS 2014","Corcovado LNG","Daewoo Shipbuilding & Marine","12.5m","Ocenanus LNG Alpha LLC/ TMS Cardiff Gas Ltd","Malta","26 November 2014","286.0m","4","9636711","93,300gt","4","","MAN B&W","S90ME-C9.2",""
"SS 2014","Costa Diadema","Fincantieri","11.5m","Costa Crociere","Italy","3 April 2014","283.20m","9","9636888","103,900gt","nil","122,890tonnes","Wärtsilä","Wärtsilä 9L50DF",""
