FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2015","Gulf Craft LLC Operator: SEACOR Marine Speed @ 50t deadweight: 38 knots","Maritime Partner","Maritime Partner","Maritime Partner","Norway","N/A","11.3m","","","","0","","","",""
"SSS 2015","Alya McCall","Gulf Craft","Incat Crowther","Seacor Marine","US","October 2015","11.2m","60","","3.5tonnes","1","","","",""
"SSS 2015","Alysée","Alnmaritec Ltd","2.8m","Offshore Shellfish Ltd","UK","May 2015","58.9m","38","","98tonnes","0","700tonnes","","",""
"SSS 2015","August Nærø","Dockstavarvet","0.75m","Norwegian Navy","Norway","June 2015","15.2m","1","","","1","8.5tonnes (light)","","",""
"SSS 2015","Benreoch","Veecraft Marine","1.3m","Africa Diving Services","Nigeria","May 2015","18.21m","1","","50tonnes","0","43.7tonnes","","",""
"SSS 2015","Clean Harbour 1, Clean Harbour 2","Wang Tak Engineering &","Shanghai Chizhou Marine Tech. Ltd","Drainage Services","Hong Kong","March 2015","27.31m","30","","162tonnes","0","","","",""
"SSS 2015","Curtis Marshall","B Marshall Marine Ltd","3.5m","B Marshall Marine Ltd","UK","March 2015","67.36m","390","","2,190tonnes","0","3,400tonnes","","",""
"SSS 2015","Ernst Meier-Hedde","Fassmer","2.6m","Deutsche Gesellschaft zur","German","May 2015","23.95m","300","","110.97tonnes","2","","","",""
"SSS 2015","Gobbler 290","Gobbler Boats Ltd","1.8m","Gobbler Boats Ltd","UK","N/A","25.7m","900","","","N/A","120tonnes","","",""
"SSS 2015","Gustav AF Klint","Dockstavarvet","450mm","Swedish Maritime","Sweden","June 2015","8m","150","","3.75tonnes","0","3.75tonnes","","",""
"SSS 2015","Heliotrope 48","Bakricono Shipyard","1.5m","Undisclosed","Thailand","September 2015","17.22m","900","","78tonnes","2","54.24tonnes","","",""
"SSS 2015","Iceni Venture","South Boats IOW","1.1m","Iceni Marine Services","UK","April 2015","14.75m","23","","","2","24tonnes","","",""
"SSS 2015","Idar Ulstein","Swede Ship Marine","2.1m","Redningsselskapet","Norway","October 2015","20.75m","30","","106.6tonnes","0","65tonnes","","",""
"SSS 2015","Karoline","Selfa Arctic","1.25m","Øra AS","Norway","October 2015","18.2m","38","","66tonnes","0","","","",""
"SSS 2015","L’escapade","Alumarine Shipyard","0.75m","Communauté de Communes des 2 Vallées","France","August 2015","10.65m","1","","","0","38tonnes","","",""
"SSS 2015","London Titan","Manor Marine","0.77m","Port of London Authority","UK","June 2015","24.7m","10","","","0","34.5tonnes","","",""
"SSS 2015","Maplin","CTruk Boats","2.2m","Port of London Authority","UK","January 2016","34m","12","","428tonnes","0","910tonnes (max)","","",""
"SSS 2015","Neil Armstrong","Dakota Creek Industries","Guido Perla & Associates (GPA)","UNOLS / US Navy / Woods","US","July 2015","15.8m","24","","26.5tonnes","1","28tonnes","","",""
"SSS 2015","Ocean Eagle 43","CMN Cherbourg","4.57m","","TBC","TBC","70.1m","200","","2,602.9tonnes","0","3,433.2tonnes","","",""
"SSS 2015","Ormsö","Baltic Workboats","1.4m","Estonian Maritime","Estonia","May 2015","43.6m","30","","140tonnes","2","","","",""
"SSS 2015","OSSOY","Sinopacific Shipbuilding Group","2.7m","Femco Group","Liberia","April 2015","44.07m","13.5","","926tonnes","2","690tonnes","","",""
"SSS 2015","Pelican Pride","Penguin Shipyard International","5m","Pelican Offshore Services","Malaysia","Q2 2015","62.88m","138","","2,721tonnes","0","5,376.1tonnes","","",""
"SSS 2015","Prince Job I","Shipyard De Hoop","1.9m","Awaritse","Nigeria","March 2015","40m","665.5","","352tonnes","0","323tonnes","","",""
"SSS 2015","RT Emotion","Damen Shipyards Hardinxveld","4.62m","Elisabeth Ltd/ KOTUG","Malta","June 2015","62.58m","12","","1,847tonnes","0","3,863tonnes","","",""
"SSS 2015","Sistac Vitoria","SeaSafe Barcos Manufaturados","6.25m","Sistac Sistemas De Acesso","Brazil","February 2015","31.95m","266","","498tonnes","0","598tonnes","","",""
"SSS 2015","Tai Pari","Hin Lee (Zhuhai) Shipyard Co, Ltd (Cheoy Lee)","1.85tonnes","The Port of Tauranga","New Zealand","June 2015","39.17m","15","","","0","400tonnes","","",""
"SSS 2015","Trearddur Bay","Aluminium Marine Consultants","5.34m","Turbine Transfers","UK","January 2015","24.4m","13","","310.4tonnes","0","517tonnes","","",""
"SSS 2015","Trident","Geo Shipyard, Inc","1m","Texas A&M University","US","May 2015","18.8m","27","","65tonnes (max)","0","50tonnes","","",""
"SSS 2015","Umoe Ventus","Umoe Mandal","1.37m","Umoe Wind","Denmark","the first-in-class in a new series of Wave Craft high-speed CTVs the first renewable energy support vessel to be supported by the","19.1m","725","","92tonnes","1","48tonnes","","",""
"SSS 2015","Yeniçay 1","Sanmar Shipyard","0.7m","Sanmar","Turkey","January 2015","23.9m","64","","217tonnes","2","103tonnes","","",""
