FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2022","470Regina","FabbricaItaliana","FIM /FerragniProgetti","Conﬁdential","Italy","August20228SIGNIFICANTSMALLSHIPSOF2022","11.75m","35","","","4","17.5tonnes","","",""
"SSS 2022","AquaHelix","DamenShipyardsGroup","105tonnes","OceanXpress","Netherlands","May202210SIGNIFICANTSMALLSHIPSOF2022","70m","740","","1,267tonnes","0","","","",""
"SSS 2022","Asis8mWorkboatseries","AsisBoats","0.5m","Saipem","N /A","January202214SIGNIFICANTSMALLSHIPSOF2022","7.84m","27","","","TBC","","","",""
"SSS 2022","BlueRotterdam","DamenShipyardsGroup","1.5m","BlueAmigo","TheNetherlands","November202216SIGNIFICANTSMALLSHIPSOF2022","28.65m","21.6","","","5","","","",""
"SSS 2022","ChaiJinda","SeacrestMarine","1.9m","RoyalThaiPolice","Thailand","January202218SIGNIFICANTSMALLSHIPSOF2022","42m","35","","","0","170tonnes","","",""
"SSS 2022","EddaBreeze","GondánShipbuilders","5.4m","EddaWindAS","Norway","May2022","2,300mm","80","","7,093tonnes","8","6,650tonnes","","",""
"SSS 2022","Ekko","TucoYachtVærtt","0.96m","Kystdirektoratet(DanishCoastalAuthority)","Denmark","June202224SIGNIFICANTSMALLSHIPSOF2022","14.04m","1","","“Italsointroducesamajorpracticaladvantagebyenablingthehelmtoeasilymaintainaconstantvisualonthehorizonthroughitslineartransitionontotheplane,derivedbymitigatingsternsquatandassociatedbowlift.”","0","14.95tonnes","","",""
"SSS 2022","Hunter","UltimateBoats","0.6m","PoliceScotland","UK","June202226SIGNIFICANTSMALLSHIPSOF2022","11m","50","","4.5tonnes","0","","","",""
"SSS 2022","Ikal","SunseekerInternational","1.38m","TBC","N /A","June202228SIGNIFICANTSMALLSHIPSOF2022","22.9m","891","","187tonnes","11","105.7tonnes","","",""
"SSS 2022","Jaywun","FreireShipyard","4.2m","Environment","UAE","December202230SIGNIFICANTSMALLSHIPSOF2022","45m","255","","1,250tonnes","onewithopenscrews,andtwowithnozzles","1,636tonnes","","",""
"SSS 2022","KaryaPaciﬁc2232","PT.KaryaTeknikUtama(KTU)","3m","PT.KaryaPaciﬁc","Indonesia","October202234SIGNIFICANTSMALLSHIPSOF2022","27.1m","1","","245tonnes","3","401.89tonnes","","",""
"SSS 2022","KoreaPride","KangnamCorporation","1.8m","KoreaExpressFerry","SouthKorea","May202236SIGNIFICANTSMALLSHIPSOF2022","72m","41","","","0","507tonnes","","",""
"SSS 2022","MEDEM","NSundinDockstavarvet","1.1m","Lotsbetriebsverein","Germany","February202238SIGNIFICANTSMALLSHIPSOF2022","16.2m","918","","34tonnes","0","34.5tonnes","","",""
"SSS 2022","MPAGuardian","PenguinShipyard","2.1m","MaritimeandPort","Singapore","June202240SIGNIFICANTSMALLSHIPSOF2022","31.9m","27","","320tonnes","0","205tonnes(scantling)","","",""
"SSS 2022","Naviexpress1","ShiptecAG","1.6m","CGNSA,Lausanne(CH)","Switzerland","March202342SIGNIFICANTSMALLSHIPSOF2022","56.7m","504","","","1","422tonnes","","",""
"SSS 2022","Phoenix","BalticWorkboatsAS","1.1m","RomanianSearchand","Romania","May202244SIGNIFICANTSMALLSHIPSOF2022","16.6m","35","","36tonnes","1(underconstructionforEstonian","34tonnes","","",""
"SSS 2022","PioneerofBelfast","ArtemisTechnologiesLtd","2.2m","ArtemisTechnologiesLtd","Belfast","April202246SIGNIFICANTSMALLSHIPSOF2022","9.1m","34","","< 60minutes","0","10tonnes(max)","","",""
"SSS 2022","ReefInspector","SeacatShipsCo,Ltd","SeaspeedDesignCo,Ltd","Undisclosed","Australia","June202250SIGNIFICANTSMALLSHIPSOF2022","21.35m","2","","","0","46.4tonnes","","",""
"SSS 2022","SeaTaxi(class)","İstanbulŞehírHatlari","0.8m","İstanbulŞehírHatlari","Turkey","January202252SIGNIFICANTSMALLSHIPSOF2022","11.7m","23","","“ Thishullformfeaturestheoppositephenomenon.Withahull30 % moreefficient,younaturallyneed30 % lessfuelregardlessofwhetherthatisdiesel,batteries,hydrogenorwhatever. “Infact,wealreadyhavethe30eonthedrawingboard,with3MWhofinstalledbatterypower.Thiswouldcomewithadieselrangeextendertosatisfyclassasaseparateformofpropulsion.Theresultingboatisestimatedataround85 % emissionsreduction.”","5","13.2tonnes","","",""
"SSS 2022","SeacatColumbia","DiverseMarine","1.49m","Chartwell /Equinor","UK","August2022","29.95m","1","","","1","100tonnes(approx.)","","",""
"SSS 2022","SLMacaloe","UzmarShipyard","6.6m","SmitLamnalco","MarshallIslands","April202256SIGNIFICANTSMALLSHIPSOF2022","42m","14","","1,227tonnes","0","1,888tonnes","","",""
"SSS 2022","Sparky","DamenShipyardsGroup","63.8tonnes","PortsofAuckland","NewZealand","July202258SIGNIFICANTSMALLSHIPSOF2022","24.73m","12.3","","320tonnes","0","540tonnes","","",""
"SSS 2022","Tanner/Errington","HolyheadMarine","0.6m","LondonFireBrigade","UK","September202260SIGNIFICANTSMALLSHIPSOF2022","14.5m","40","","approximately100timesfasterthanmostconventionalengines,HMDsays","0","27tonnes","","",""
"SSS 2022","UlsanTaehwa","HyundaiMipoDockyard","3.3m","UlsanICT","Korea","November202264SIGNIFICANTSMALLSHIPSOF2022","78.5m","226","","2,696tonnes","0","","","",""
