FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2019","Atlantic Titan","Shipbuilding Asia","Macduff Ship Design Ltd","Hill Enterprises Ltd / Steve Piercey","Canada","June 2019","31.76m","","","","0","","","",""
"SSS 2019","Bremen","Baltic Workboats","4.5m","General Directorate of","Germany","April 2019","26.15m","249","","499tonnes","N/A","800tonnes","","",""
"SSS 2019","Chasewell","Wight Shipyard Co","1.5m","TBC","UK","Completed June 2019","23.99m","25","","91tonnes","N/A","56tonnes","","",""
"SSS 2019","Combat Boat 90 HSM 591 – 608 (18 boats)","N. Sundin Dockstavarvet AB","0.7m","Swedish Royal","Sweden","September 2019","7.9m","27.5","","4tonnes","12 (a total of 18)","5.95tonnes","","",""
"SSS 2019","CP-8001","Japan Marine United","1.1m","Penta-Ocean","Japan","Q1 2019","13.1m","1.03","","","N/A","24.4tonnes","","",""
"SSS 2019","The “Dan McGrew”","Rozema Boat Works","4.35m","JDS Energy & Mining Inc","Canada","June 2019","66.7m (design max. length 86m)","0.6","","“CP-8001’s unique features allow highly efficient operations in Japanese ocean side areas with harsh wave and weather conditions, while not giving in on the welfare of the crew. The proven technology makes it most suitable for various installation works from a safe and stable self-elevating platform.”","0","","","",""
"SSS 2019","Ellen","Søby Shipyard","0.86m","ARO-ferries","Denmark","July 2019","11.99m","788","","14.99tonnes","0","53.35tonnes","","",""
"SSS 2019","e-Oshima","Oshima Shipbuilding Co","2.5m","Oshima Sougou","Japan","June 2019","145m","378","","996tonnes","0","933tonnes","","",""
"SSS 2019","Etsuzan Maru No.8","Hongawara Ship Yard Co","2.6m","Yamane Shipping Co. / Y.S. Marine Co","Japan","May 2019","30m","425","","340tonnes","0","","","",""
"SSS 2019","E-TWO","Damen Shipyards Group","4.18m","EMAR Offshore Services","Bahamas","March 2019","61m","241","","497tonnes","0","1,930.69tonnes","","",""
"SSS 2019","F180EC1","Sakun C. Innovation","4.9m","Chao Phraya River Line","Thailand","January 2019","28.58m","13.6","","299tonnes","0","512tonnes","","",""
"SSS 2019","GİSAŞ Power","TK Tuzla","1.37m","GİSAŞ","Turkey","October 2019 2019 saw Turkey launch what has been billed as the worlds first all-electric tug reliant solely on battery power for bollard pull","18m","20","","one charging per day, via a shore-side connection or the specially developed","4","35tonnes","","",""
"SSS 2019","Herjólfur","CRIST S.A","3.5m","Vegagerðin","Iceland","June 2019","16.7m","300","","112tonnes","0","177.17tonnes","","",""
"SSS 2019","HODOR","Astilleros Armon","2.85m","Undisclosed","Cayman Islands","April 2019","339.8m","1","","","0","2,010tonnes","","",""
"SSS 2019","Ishin","Kanagawa Dockyard Co","3.1m","Mitsui O.S.K. Lines (MOL)","Japan","February 2019","64.8m","22.5","","1,525tonnes","0","551tonnes","","",""
"SSS 2019","MO5","AFAI","3.15m","“The combination of unsurpassed seagoing, together with the ability to operate impressively in wave heights of over 2m, means that the vessel is also ideally suited to fast ferry, survey, pilotage and search and rescue duties.”","UK","September 2019","38.75m","274","","247tonnes","0","","","",""
"SSS 2019","Nora B","Neptune Marine","3m (max.)","Zumaia Offshore","Netherlands","April 2019","23.88m","1","","149.5tonnes","0","165.6tonnes","","",""
"SSS 2019","PILOT-1","Sanmar Shipyards","1.9m (min. draft)","Mersin International Port","Turkey","March 2019","31.1m","325","","492tonnes","0","750tonnes","","",""
"SSS 2019","Red Dolphin","Penguin Shipyard International","1.95m","Singapore Civil","Singapore","August 2019","14.95m","21.5","","33tonnes","0","30tonnes","","",""
"SSS 2019","Red Kestrel","Cammell Laird","1.7m","Red Funnel","UK","April 2019","35m","31","","250tonnes","0","210tonnes (max.)","","",""
"SSS 2019","C.871 ASPEKT KONVERSIA/ РИМ-MОСКВА (Rome-Moscow)","Vittoria Shipyard","2.85m","SevRao/RosRao for","Russian Federation","May 2019","265 lane metres","370","","1,070tonnes","0","773.3tonnes","","",""
"SSS 2019","Sabah","Freire Shipyard","5m","Public Authority for","Kuwait","December 2019","29.3m","750","","434m3","N/A","712tonnes","","",""
"SSS 2019","Sea Express ll","SeaCat Ships","2.6m","Aquatic Rentals","US","January 2019","41.6m","15","","300tonnes","0","217.3tonnes","","",""
