FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2012","AIDAmar","Meyer Werft","AIDA Cruises","AIDA Cruises","Italy","","253.30m","","9490052","","1","","","",""
"SS 2012","Al-Idrisi","STX Offshore &","Caterpillar","Jan De Nul","Luxembourg","3 May 2012","230.50m","12","9572707","71,304dwt","1","37,375tonnes","","",""
"SS 2012","APL Southampton","Daewoo Shipbuilding & marine Engineering Co., Ltd","summer draught 6.30m","Neptune Orient Lines","Singapore","27 March 2012","104.25m","4","9462017","8,082gt","3","16,811tonnes","4 stroke","8L32/40",""
"SS 2012","Arkadia","Hyundai-Vinashin Shipyard","102,140dwt","ESL Shipping","Finland","30 April 2012","331.0m","3","9590797","128,929gt","nil","","","",""
"SS 2012","Astomos Earth","Mitsubishi Heavy Industries Ltd","11.00m","Idemitsu Tanker Co., Ltd","Panama","02 January 2012","189.00m","127","9607069","33,958gt","1","68,418tonnes","Hyundai Heavy Industry Co., Ltd","7S50MC-C8",""
"SS 2012","Baie St. Paul","CSSC Chengxi Shipyard Co., ltd","11.10m","Canada Steamship Lines","Canada","31 August 2012","219.00m","950","9601027","47,950gt","3","","Mitsubishi Heavy Industries Ltd","7UEC60LSII",""
"SS 2012","BBC Amethyst","Jinagzhou Shipyard","8.07m","BBC Chartering","Antijnn","27 September 2012","222.6m","1","9563706","24,430gt","14","","1 x MAN B&W","6S50ME-B9 Tier II",""
"SS 2012","Brightoil Glory","Hyundai Heavy Industries","8.20m","Brightoil","Hong Kong","January 2012","30’/40’","740","9602631","12,800gt","2","23,596tonnes","","",""
"SS 2012","Brightway","Hanjin Heavy Industry & Construction Co., Ltd","21.00m","Tanker Pacific Management","Singapore","26 November 2012","319m","1","9588146","161,269gt","4","","2-stroke","6S90ME-C8.2",""
"SS 2012","CMA CGM Marco Polo","Daewoo Shipbuilding & Marine Engineering Co., Ltd","16.00m","CMA CGM","France","1 May 2012","264.00m","900","9454436","83,830gt","2","185,000tonnes","MAN Turbo Diesel","6S70MC-C8",""
"SS 2012","Coral Energy","Neptun Werft","14.0m","Anthony Veder Chartering B.V","Dutch","16 October 2012","40ft","720","9617698","153,022gt","nil","","Wärtsilä 14RT-flex96C","Radar and integrated navigation system",""
