FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2020","A.P.T. James","Austal Vietnam","Austal Ships","National Infrastructure","Trinidad and Tobago","November 2020","94m","","","","0","","a brand more commonly associated with naval and patrol applications, albeit one that has found its way onto superyachts (and which Austal previously installed aboard its 112.6m catamaran Leonora","",""
"SSS 2020","Belov Humaitá","Belov Engenharia Ltda","3m","Belov","Brazil","March 2020","90 lane metres (trucks)","44","","6,542tonnes","0","","","",""
"SSS 2020","Boğaçay XXXVIII","Sanmar Shipyards","2.7m","Sanmar","Turkey","January 2020","38.4m (rule length)","12","","499tonnes","0","583.8tonnes","","",""
"SSS 2020","Bryggen","Damen Shipyards Group","3.29m (operational design waterline)","Arriva Denmark A/S","Danish Maritime Authority","July 2020","23.74m","Continuously variable","","315tonnes","0","545tonnes","","",""
"SSS 2020","CP329","Cantiere Navale Vittoria","0.9m","Italian Coast Guard","Italy","September 2020","22.8m","9.5","","101.29tonnes","3","70tonnes (max)","","",""
"SSS 2020","FSD N800","Ferretti Security Division / Ferretti S.p.A","1m","Arma dei Carabinieri –","Italy","October 2020","17m","35","","","15","33.3tonnes","","",""
"SSS 2020","H401 / Curiosity / City Fish","Halimar, Breaux Brothers, St Johns","Incat Crowther","NYC Ferry","US","April 2020","16.75m","34","","","namely, Halimar Shipyard of Morgan City, Louisiana and Breaux Brothers Enterprises of Loreauville, Louisiana","25.5tonnes (laden) 21.7tonnes (unladen)","","","however, unlike any of the previous NYC Ferry vessels in operation, these newcomers utilise US"
"SSS 2020","Helen Rice","Ferguson Marine","1.3m","Inverlussa Marine Services","UK","March 2020 aunched in March Helen Rice was designed by Macduff Ship Design and completed by","29.6m","26.5","","","1","","","",""
"SSS 2020","I See One","Wight Shipyard Co","1.9m","Captain Morgan","Malta","March-April 2020","18.77m","10.5","","","0","240tonnes","","",""
"SSS 2020","Kaguya","Kawasaki Heavy Industries","1.3m","Central LNG Shipping","Japan","September 2020","32.78m","30","","two on both sides, midships, and two on both sides, bow. Additionally, hose- handling cranes were installed on the starboard and port sides","0","","","",""
"SSS 2020","Koc Al Zour","Uzmar Gemi Insa","4.8m","Kuwait Oil Company","Kuwait","February 2021","76.2m","298.4","","4,044tonnes","0","","","",""
"SSS 2020","Lady Comeau III","Astilleros Armon Vigo","4.7m","Comeau Sea Foods","Canada","August 2020 ady Comeau III which was built for Comeau Sea","56.869m","271","","1,855tonnes","0","3,162tonnes","","",""
"SSS 2020","M15Q","Marell Boats Sweden AB","4.3m","TBA","Sweden","June 2020 020 saw the launch of Marell Boats M15 Quad","47.06m","147","","1,476tonnes","1","1,530.14tonnes","","",""
"SSS 2020","Mayflower 400","Aluship / M Subs Ltd","1m","ProMare","UK","N/A launched","12.875m","67","","","0","9.3tonnes","","",""
"SSS 2020","Noé","META Shipyard","1.005m","SAS Noé","According to the potential client’s wishes","N/A","14.833m","600","","","0","9.1m3","","",""
"SSS 2020","Olympic Prawn","Cemre Shipyard","1.30m at 48 tonnes","Olympic Seafood AS","Norway","December 2020","21.25m","1","","","0","48tonnes (without ballasts, approx. 60tonnes with ballasts)","","",""
"SSS 2020","Patria 22","PT Patria Maritim Perkasa","6.7m","PT Patria Maritime Lines","Indonesia","August 2020","62.2m","17","","3,318tonnes","2","4,540tonnes","","",""
"SSS 2020","Queen Beetle","Austal","2m","JR Kyushu Jet Ferry Inc","Panama","September 2020","23.6m","10","","203tonnes","0","","","",""
"SSS 2020","Saoirse na Farraige","Cheoy Lee Shipyards Ltd","2.4m","Island Ferries Teoranta","Ireland","Despite the constraints associated with the use of aluminium for vessels that do not fall under","79.6m","40","","2,600tonnes","0","750tonnes","","",""
"SSS 2020","Seacat Weatherly","Diverse Marine","1.52m","Seacat Services","UK","June 2020 eacat Weatherly is the first next-generation","33.23m","14","","424tonnes","2","157tonnes","","",""
"SSS 2020","Seaway Guardian","Gulf Island Shipyard","1.25m","Saint Lawrence Seaway","US","August 2020","21.6m","29","","111tonnes","0","78tonnes","","",""
"SSS 2020","Solar Eclipse","Azura Marine","4.9m","Azura Marine Indonesia","Singapore","May 2020","34m","55","","729tonnes","0","1,077tonnes","","",""
"SSS 2020","Sunderøy","Astilleros Gondan","0.75m","Prestfjord Seafood","Norway","October 2020","12.5m","1","","16.5tonnes","0","10tonnes","","",""
"SSS 2020","Terror","Coastal Workboats Ltd","6.9m","British Antarctic Survey","Port Stanley, Falkland Islands","June 2020","69.6m","142","","4,226tonnes","0","5,573tonnes","","",""
"SSS 2020","Thea Jensen","Maritime Partner","1.4m","Loppa Legeskyssbåter","Norway","September 2020","12.44m","1","","","0","25.397tonnes","","",""
"SSS 2020","VICTA","SubSea Craft Ltd","SubSea Craft Ltd in partnership with BAR Technologies","SubSea Craft Ltd","N/A","Autumn 2021 aunched in 2020 as a concept vessel VICTA is a revolutionary diver delivery unit DDU a surface/submersible craft designed to operate at speed over range and capable of transition beneath the surface to operate submerged enabling the discreet delivery and recovery of divers","21.6m","30.5","","115tonnes","0","","","",""
