FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2021","AlteraWave","SamsungHeavyIndustriesCo.Ltd","4- strokeengine","AlteraInfrastructure","NIS","04January2021","233m","3","9863558","Battery(2x904kWh),LEDlight,VFD(Propulsionmotors,thrusters,IGGCSWpump,ballastpump,cargooilpump,cargostrippingpump)","Nil8SIGNIFICANTSHIPSOF2021","128,000t","","",""
"SS 2021","Aquasmeralda","JiangsuNewYangzi","MANB & W","Chandris","Liberia","10September2021","174.00m","1","9884801","capfinandfanduct","Nil12SIGNIFICANTSHIPSOF2021","","CSSRC/Shanghai","6G50ME- C9.6",""
"SS 2021","Arabella","IcdasCelikEnerjiTersaneve","Wärtsilä","GEFOGesellschaftfür","Cyprus","17September2021","107.49m","700","9909247","Rudderbulb,twistedrudder - Hullcoatings: .......AntifoulingPaint: Hempel’ s","Nil14SIGNIFICANTSHIPSOF2021","10,830t","Siemens/Wärtsilä","6L34DF",""
"SS 2021","ArvikI","JapanMarineUnited","MANEnergySolutionsSE","FednavLimited","Canada","29March2021","188.80m","13.5","9854698","22,615t","Nil","","","",""
"SS 2021","AutoAdvance","JiangnanShipyard(Group)","WinGD","UnitedEuropeanCar","Portugal","November2021","164.50m","1","9881299","Fullspaderudderwithbulb","218SIGNIFICANTSHIPSOF2021","","MAN","6RT-flex50DFTier-IIIinGasModel",""
"SS 2021","Azerbaijan","BakuShipyardLLC","dieselengine","AzerbaijanCaspian","AzerbaijanRepublic","01March2021","905m,rails730m","1","9843106","LEDlighting","120SIGNIFICANTSHIPSOF2021","10,438t","Wärtsilä","8L26",""
"SS 2021","BellavistaExplorer","HyundaiSamhoHeavy","MANEnergySolutions","BocommLeasing","Singapore","30June2021","224.20m","1","9895305","Hi- PSDand","Nil22SIGNIFICANTSHIPSOF2021","78,878t","","",""
"SS 2021","BelleLune","TsuneishiZhoushan","Tsuneishi","NissenKaiunKK","Panama","13May2021","180m179.99m","2","9897937","26,700t26,272t(ClassNK)","424SIGNIFICANTSHIPSOF2021","","Miura","","Yes"
"SS 2021","BlueMarjan","ConcordiaDamen","max.3.25m","Jupiter8Limited","Netherlands","January2022","106.43m","320","","LNGpropulsion,LEDlighting","3926SIGNIFICANTSHIPSOF2021","3,769t","Generatorengineformainpropulsion","NaturalGasEngineE3262LE262","OntheMAN- Rollo"
"SS 2021","Calypso","CSSCChengxiShipyard","AzipodUnits","OldendorﬀCarriers","Liberia","12January2021","141m","2","9892559","VFDforelectricmotors","Nil28SIGNIFICANTSHIPSOF2021","31,181.4t","","",""
"SS 2021","CapeAce","NamuraShipbuildingCo.,Ltd","MANB & W","KawasakiKisen","Pamama","07December2020","249.94m","760","9885051","60,133t","232SIGNIFICANTSHIPSOF2021","","OsakaboilerMfg.Co.,Ltd","JMR- 9272- S,JMR- 9225- 9X","Applied"
"SS 2021","CenturyHighwayGreen","TadotsuShipyardCo.,Ltd","ImabariShipbuildingCo.,Ltd","KawasakiKisen","Japan","12March2021","abt.199.98m","6","9875202","73,515t","Nil34SIGNIFICANTSHIPSOF2021","","","",""
"SS 2021","Cherokee","CSSCHuangpuWenchong","MAN","CGRailwayInc","MarshallIslands","08June2021","2,700m","2","9870927","31,400t","136SIGNIFICANTSHIPSOF2021","","MAN","MANB & W6S35ME- B9.5EGRBP",""
"SS 2021","DoleMaya","CSSCChengxiShipyard","MANB & W","VenturaTradingLtd","Bahamas","20January2021","20ft,40ft,45ft","2","9877729","singlerudderwithbulb","2","47,430.1t","SDARI","7G60ME- C9.5- EGRBP","85"
"SS 2021","EleanorRoosevelt","AstillerosArmon","3.25m","Balearia","Cyprus","","123.0m","35","9863637","Duelfuel,reciprocatingenginesandLNGtanks","040SIGNIFICANTSHIPSOF2021","","","",""
"SS 2021","Faustine","HyundaiMipoDockyard","MANES","CLdN","Malta","08October2021","4,948lanelength","17.60","9889708","PROMAS","144SIGNIFICANTSHIPSOF2021","","Kongsberg","Hyundai- B & W7S50ME- C9.5- GI(TIERII)",""
"SS 2021","FerryKyoto","MitsubishiShipbuilding","JFEEngineeringCorporation","JapanRailway","Japan","10December2021","184.00m","1","9890991","MALS(MitsubishiAirLubricationSystem)","146SIGNIFICANTSHIPSOF2021","","MiuraCo.,Ltd","JMR- 9225- 9X","Yes"
"SS 2021","GasGabriella","HyundaiHeavyIndustry","Hyundai- MANB & W","KSSLineLtd","Panama","18January2021","223.45m","1","9887451","Hi- PSDand","048SIGNIFICANTSHIPSOF2021","","HHI- EMD","6G60ME- C9.5- HPSCR","85"
"SS 2021","HachinoheMaru","OshimaShipbuildingCo.,Ltd","JapanEngineCorporation","NipponYusen","Japan","28December2021","209.96m","14.20","9913781","49,887t","052SIGNIFICANTSHIPSOF2021","","TortoiseEngineeringCo.,Ltd","","1"
"SS 2021","Hamayu","MitsubishiShipbuilding","Wärtsilä","ShinNihonkaiFerry","Japan","26February2021","209.30m","28.3","9894569","31,408t","054SIGNIFICANTSHIPSOF2021","","MiuraCo.,Ltd","JMR- 9230- S,JMR- 9225- 9X","Yes"
"SS 2021","HavilaCapella","TersanShipyardInc","BergenEnginesAS","HavilaKystruten","Norway","October2021","115.20m","2","9865570","WasteEnergy","156SIGNIFICANTSHIPSOF2021","8,639.7t","KongsbergMaritime","2xC26: 33L6AGand2xC26: 33L9AG",""
"SS 2021","HLEco","HyundaiSamhoHeavy","WinGD","H- Line","Panama","16November2020","286.90m","1","9869332","Hi- PSDand","158SIGNIFICANTSHIPSOF2021","207,202t","","",""
"SS 2021","HMMNuri","HyundaiHeavyIndustry","Hyundai- MANB & W","HMMCo.,Ltd","Liberia","19March2021","6,058(20ft) /12,192(40ft) /13,716(45ft)","4","9869162","Pre- swirlduct,Rudderbulb","060SIGNIFICANTSHIPSOF2021","","HHI- EMD","9G95ME- C10.5","1"
"SS 2021","HuiZhiHai","COSCOShippingHeavy","MANB & W","ChinaCOSCOBulk","HongKong","December2020","295.20m","950","9887683","Duct + Cap","062SIGNIFICANTSHIPSOF2021","","ShanghaiMarine","6G70ME- C9.5",""
"SS 2021","Jaarli","HyundaiHeavyIndustry","Hyundai- MANB & W","Neste","Finland","30September2021","238.90m","2","9892432","Rudderbulb","064SIGNIFICANTSHIPSOF2021","","Kongsberg","6G60ME- C9.5",""
"SS 2021","JiLongDao","CSSCGuangzhouShipyard","MANB & W","COSCOShippingFerry","China","August2021","2,800m","1","9904003","43,195t","166SIGNIFICANTSHIPSOF2021","","Renk","MAN12V48/60CR",""
"SS 2021","Katori","NanjingJinlingShipyard","UEEngine","NipponYusenKaisha","Panama","September2021","135.0m","650","9892937","12,792t","068SIGNIFICANTSHIPSOF2021","","Nakashima","6UEC35LSE- Eco- B2- SCR",""
"SS 2021","LeCommandantCharcot","Vard","DualFuel","Ponant","France","19July2021","142.345m","135","9846249","CorvusESSsystem4.5MWhORCAtype","070SIGNIFICANTSHIPSOF2021","28,973.5t","ABB","31DF",""
"SS 2021","Legacy","HyundaiMipoDockyard","Hyundai- MANB & W","NietoTradingB.V","Malta","02July2021","173.50m","960","9893656","Electropneumatictypedraftgauge","072SIGNIFICANTSHIPSOF2021","","HyundaiHeavy","Hyundai - MANB & W6G50ME- C9.6- LGIP- HPSCR",""
"SS 2021","MSCSeashore","Fincantieri","Mecklenburger","MSCCruises","Malta","26July2021","311.71m","600","9843792","170,412t","174SIGNIFICANTSHIPSOF2021","83,102t","SaackeGmbH,AlfaLaval","2S- Bandsdownmast,1X- Bandsdownmast,2X- Bandsupmast","Y"
"SS 2021","NingMay","ChengxiShipyardCo.,Ltd","MANB & W","Foremost(Shanghai)","Liberia","December2020","226.40m","780","9891866","SDARIFanCap & FanDuct","1076SIGNIFICANTSHIPSOF2021","~ 99,800t","Daihatsu/6DE-18","MANB & W6S60ME- C",""
"SS 2021","NordicNuluujaak","GuangzhouShipyard","MANB & W","Nordic","MarshallIslands","May2021","225.50m","1","9884966","Propeller","078SIGNIFICANTSHIPSOF2021","112,008.2t","LyenMarine","6G60ME- C9.5TierII/III(HPSCR)",""
"SS 2021","ONEXPeace","HyundaiSamhoHeavy","HHI- EMD","ONEXDMCC","Panama","31March2021","245.00m","1","9893204","HyundaiPre- Swirl","080SIGNIFICANTSHIPSOF2021","134,650t","HHI- EMD /HiMSEN6H21/32","Hyundai- ManB & W6G60ME-",""
"SS 2021","PaciﬁcIneosBelstaﬀ","JiangnanShipyard(Group)","MANEnergySolutions","PaciﬁcGas","HongKong","28December2021","226m","1","9901398","56,081t","682SIGNIFICANTSHIPSOF2021","","Dalian","6G60ME- C9.5GIE",""
"SS 2021","PrismCourage","HyundaiHeavyIndustry","Hyundai- WinGD","SKShipping","Panama","17October2021","293.6m","3","9888481","Hi- RudderTS,Hi- Fin","184SIGNIFICANTSHIPSOF2021","","HHI /HHIEngine &","5X72DF",""
"SS 2021","RavennaKnutsen","HyundaiMipoDockyard","Wärtsilä","KnutsenOASShipping","NIS","09February2021","171.20m","1","9874040","Flaprudder","186SIGNIFICANTSHIPSOF2021","","Renk","Hyundai- WinGD5X52DF",""
"SS 2021","SilverDawn","Fincantieri","abt.80 %","SilverseaCruises","Bahamas","12November2021","180.85m","600","9857937","40.855t","088SIGNIFICANTSHIPSOF2021","abt.22.085t","AlfaLavalAalborgOy","SE600","Y"
