FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2008","Al Ghuwairiya","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","Qatar Gas Transportation","Marshall Islands","","345.00m","","9372743","","3 (other generally similar ships building elsewhere)","","","",""
"SS 2008","Argolikos","Hanjin Heavy Industries &","12.00m scantling. ...............................................................13.70m","Argolikos Navigation Inc, Liberia/Dioryx Maritime Corp, Greece","Greece","October 2008","330.00m","4","9385611","168,189gt","5","205,706tonnes","MAN B&W","7S70ME-C","138"
"SS 2008","Armorique","Aker Yards (Helsinki yard), Finland","11.00m scantling................................................................12.62m","Brittany Ferries, France","France","2 July 2008","20ft; 40ft; 45ft","3","9364980","two arranged for 430 persons each and two of 321 person capacity. Four 150 person Umoe Schat-Harding lifeboats are also carried","Nil","","MAN B&W","8K90MC-C",""
"SS 2008","Azur","Oshima Shipbuilding Co Ltd, Japan","6.30m scantling. .................................................................8.50m","Azur Shipping Corp, Marshall","Marshall Islands","December 2008","1100m","3","9314648","approx 28,500gt","-","","MaK","12VM43C","110"
"SS 2008","Brasil Maru","Mitsui Engineering &","12.20m scantling.................................................................14.42m","Tamou Line SA, Panama/ Misui OSK Lines, Japan","Panama","12 November 2007","221.50m","3","9321275","this is understood to be the first application of this process to the shipbuilding industry","1","","MAN B&W","5S60MC-C",""
"SS 2008","City of Hamburg","Singapore Technologies Marine","18.10m scantling ................................................................21.13m","Seaplane Two SAS (joint venture of Louis Dreyfus Armateurs SAS, France, and Höegh Autoliners, Norway)","International French Register","7 December 2007","325.00m","3","9383558","160,774gt","1 (Ciudad de Cadiz)","","","",""
"SS 2008","Clipper Mars","Hyundai Heavy Industries Co","………..MAN","Partrederiet Clipper","Norwegian International","3rd quarter 2008","4434m","2","9377078","13,548gt","Nil","","","",""
"SS 2008","Clipper Point","Astilleros de Huelva SA, Spain","10.80m scantling. ...............................................................12.10m","Seatruck Ferries Ltd, UK /Clipper Group Ltd, Bahamas","Cyprus","11 November 2008","195.00m","3","","36,459gt","3","","MAN B&W","5S60MC-C7",""
"SS 2008","CMA CGM Vela","Daewoo Shipbuilding & Marine","5.20m scantling. .................................................................5.70m","Conti Reederei, Germany/CMA CGM SA, France","Germany","2008","1800m","22","9354923","14,759gt","3","","","",""
"SS 2008","Color SuperSpeed I","Aker Yards (Rauma yard), Finland","13.50m scantling. ...............................................................15.50m","Color Line A/S, Norway","Norway","17 October 2008","20ft; 40ft; 45ft","4","9378682","128,949gt","1","143,000tonnes scantling. ...................................................170,200tonnes","MAN B&W","12K98ME-C7",""
"SS 2008","Combi Dock 1","Lloyd Werft Bremerhaven","6.55m scantling ..........................................................................6.70m","Combi Lift Shipping A/S, Denmark/Harren & Partner Schiffahrts","Antigua & Barbuda","6 January 2008","117","32","9400473","34,231gt","3","","","",""
"SS 2008","CPO France","Hyundai Mipo Dockyard Co Ltd (HMD), Korea","5.60m scantling. ..............................................................................6.60m docking draught. ...............................................................11.00m maximum draught for floating units..................................4.50m","Reederei Claus-Peter Öffen","UK","21 January 2008","147.60m","720","9347308","","1","","","",""
"SS 2008","Cruise Roma","Fincantieri Cantieri Navali Italiani (Castellammare di Stabia yard), Italy","9.80m scantling ..............................................................11.50m","Inarme SpA/Grimaldi Group, Italy","Italy","28 April 2008","176.00m","3","9351476","23,353gt","3","","MAN B&W","6S50MC-C",""
"SS 2008","Dante A","Astilleros de Huelva SA, Spain","7.00m scantling . ....................................................................7.15m","Amoretti Armatori Group, Italy/Marittima Etnea Srl, Italy","Italy","13 March 2008","3100m","3","9361029","53,360gt","Nil","","Wärtsilä","12V46D","115"
"SS 2008","Dapeng Sun","Hudong-Zhonghua","7.30m scantling. .................................................................8.30m","Yue Peng LNG","Hong Kong","4 February 2008","112.60m","3","9308479","9568gt","4","16.980tonnes","","",""
"SS 2008","Emirates Star","STX Shipbuilding Co Ltd, Korea","11.45m scantling. ...............................................................12.33m","Emirates Trading","Singapore","3 April 2008","274.10m","83","9404223","97,871gt","2","","","",""
"SS 2008","Fair Seas","STX Shipbuilding Co Ltd, Korea","11.00m scantling ................................................................13.15m","Fair Seas Navigation Ltd, Marshall Islands (Aktif Denizcilik Bilgisayar","Marshall Islands","23 May 2008","173.90m","3","9405057","29,734gt","5","","","",""
"SS 2008","Fesco Vitim","Stocznia Szczecinska","13.60m scantling....................................................................14.90m","Mare Space Shipping, Cyprus/ Far Eastern Shipping Co (FESCO), Russia","Cyprus","7 July 2008","239.00m","3","","62,856gt","2","134,426tonnes","MAN B&W","6S60MC-C Mk 8",""
"SS 2008","Gulf Baynunah","Hyundai Mipo Dockyard","9.85m scantling (freeboard)................................................9.89m","Gulf Energy Marine, United Arab Emirates","Bahamas","23 August 2008","20ft, 40ft: deck: 20ft, 40ft, 45ft, 48ft","3","9381562","16,803gt","3","","Sulzer","6RTA62U",""
"SS 2008","Gypsum Integrity","Estaleiro Ilha SA, Brazil","11.00m scantling.................................................................12.20m","Gypsum Transportation","Bermuda","17 October 2008","174.00m","3","9405162","29,508gt","Nil","","MAN B&W","6S50MC-C",""
"SS 2008","Horizon Armonia","SPP Shipbuilding Co Ltd, Korea","15.00knots","Target Marine SA, Greece","Liberia","February 2009","188.40m","3","9407354","32,900gt","5 (for this owner)","","Wärtsilä","6RT-flex58T-B",""
"SS 2008","HOS Achiever","Krimpen Shipyard (IHC Merwede), The Netherlands","11.00m scantling. ...............................................................13.06m","Hornbeck Offshore","Vanuatu","8 July 2008","174.00m","3","9414163","30,040gt","2","68,850tonnes","MAN B&W","6S50MC-C7",""
"SS 2008","Island Sky","Vancouver Shipyards Co Ltd, Canada","6.25m scantling. ................................................................ 6.75m","British Columbia Ferry","Canada","12 August 2008","117.70m","2","9370458","8524gt","Nil","13,060tonnes","Rolls-Royce Intering system","9L27/38","21"
"SS 2008","Korsaro","Deniz Industry Co/Cicek","4.50m summer load ........................................................4.80m scantling................................................................4.90m","Gemini Denta Gemi Insa","Malta","November 2008","620m","3","9373137","4313gt","-","3400tonnes","","",""
"SS 2008","Lady Giovi","Mitsui Engineering &","10.90m summer.................................................................10.55m","Santoku Senpaku Co Ltd, Japan","Panama","2008","159.22m","3","9389227","17,548gt","1","33,591tonnes","","",""
"SS 2008","Maersk Algol","Samsung Heavy Industries","12.20m scantling. ...............................................................14.35m","AP Møller, Denmark","Danish International","10 December 2007","221.50m","3","9342528","43,408gt","Nil","","","",""
"SS 2008","Mari Ugland","Brodosplit Shipyard","13.00m scantling. ...............................................................15.00m","LR Ice Shipping Eight","Norwegian International","16 April 2008","ISO, 20ft/40ft/45ft","4","9326885","-","3","-","Wärtsilä","12RT-flex96C",""
