FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2019","Admiral Schmidt","Shanghai Shipyard Co, Ltd. China","Shanghai Merchant Ship Design &","Arctic Shipping &","Bahamas","","abt. 250m","","9838838","","nil","","","",""
"SS 2019","Aurora Spirit","Samsung Heavy Industries","WinGD","Teekay Offshore","NIS","6 September 2019","241.79m","1","9837169","Shaft power meter (torque + thrust), draughts","3","126,357.6t","Wärtsilä","WinGD W7X62-B TIER III WITH HP",""
"SS 2019","Berge Logan","Guangzhou Shipyard","El. motor propulsion","Berge Bulk Maritime","Isle of Man","November 2019","265.0m","2","9739525","Rudder bulb, LNG fuelled, battery (2 x 309 kWh), LED (E/R, accommodation and etc.), VFD (propul- sion motors, thrusters), Multi-VFD (IGG CSW pumps / ballast pumps / cargo oil/ cargo strip- ping / Ref. compressor)","Nil","156,300t","","",""
"SS 2019","Bow Orion","Hudong-Zhonghua shipyard","MAN B&W","Odfjell","Norway (NIS)","28 February 2019","320.89m","1","9818515","Propeller with Hub Vortex Absorbed Fins (HVAF), rudder bulb, M/E exhaust gas economiser, D/G’s exhaust gas economiser","2","339,965.10t","SAACKE Qingdao Marine Boiler","JMR-9230-SN /JMR-9225-9XN","Yes"
"SS 2019","CB Adriatic","Jiangsu New Hantong Ship","7,820kW (SMCR)","Elfte Büttner","Portugal","26 August 2019","179.43m","1","9851696","34,646gt","3","","CSSC Marine Power/ 5L2832 & 6L2832","DNV NAUT-OC",""
"SS 2019","China Steel Liberty","CSBC Corporation, Taiwan","MAN","China Steel Express","Taiwan, R.O.C","28 October 2019","177.00m","950","9832975","Asymmetry stern, rudder bulb","1","48,903.6t","MAN","6S50ME-C9.6-HPSCR with scrubber","Yes"
"SS 2019","Clipper Eos","Hyundai Mipo Dockyard Co., Ltd","MAN B&W","Solvang","NIS","20 May 2019","295.2m","950","9827205","Twisted rudder, rudder bulb, high efficient propeller, sea sword bow, rudder fin","Nil","abt. 236,100t","CSBC/Dalian","6S70ME-C8.5",""
"SS 2019","CMA CGM Argentina","Hyundai Samho Heavy","Hyundai Heavy","Eastern Pacific Shipping / CMA CGM","Malta","31 January 2019","155.75m","1","9839909","Mewis Duct","2 off","","Hyundai Heavy Industries","HYUNDAI-MAN B&W 6S50ME-","1"
"SS 2019","Dijilah","Samsung Heavy Industries","133,607t scantling: .......................................... 157,076t","Al-Iraqia Shipping Services & Oil Trading (AISSOT)","Marshall Islands","1 July 2019","40ft container of 40’(L) x 8’(W) x 9’6’’(H) ISO container","3","9829629","149,314gt","Nil","199,983t (at Scant.)","Hyundai-Man B&W","11G90ME-C10.5-EGRTC","Yes"
"SS 2019","Eagle Brasilia","Samsung Heavy Industries","MAN Energy Solutions","AET Tankers Pte Ltd","Malaysia","17 January 2019","326.4m","1","9795062","SAVER Fins, Rudder bulb, SAVER Sator with Partial Duct, En-Saver","Nil","364,700t","Samsung Heavy","MAN B&W 7G80ME-C9.5",""
"SS 2019","Express 4","Austal Pty Ltd","WinGD","Molslinjen","Denmark","4 January 2019","243.0m","1","9824564","SAVER-Fins, Rudder bulb, SAVER SATOR, EN-SAVER (Smart ship solution), VFD (Main CSW pumps, LNG Fuel pumps, M/E El. Balancer)","Nil","112,900t","Samsung Heavy","6X62DF",""
"SS 2019","GasLog Warsaw","Samsung Heavy Industries","3.9m","GasLog Ltd","Greece","29 January 2019","610m (trucks)","250","9816763","11,345gt","4","2,500t","","",""
"SS 2019","Histria Atlas","Santierul Naval Constanta S.A. (Constanta Shipyard)","WinGD","Histria Shipmanagement Srl","Liberia","","290m","2","9800790","VFD (Re-liquefaction plant, Main CSW pumps and etc.), LED (Inside area)","3 + 3","","Silla Metal Co","5X72DF",""
"SS 2019","Hourai Maru","Namura Shipbuilding Co., Ltd","MAN Diesel","Southern Pacific Holding","Marshall Islands","24 April 2019","173.30m","900","9796585","Rudder bulb, LED lighting","Nil","49,762t","Wärtsilä Marine","MAN B&W 6S50ME – C9.5 Tier II",""
"SS 2019","Hunter Atla","Daewoo Shipbuilding & Marine","MAN-B&W","Hunter Tanker AS","Marshall Islands","11 March 2019","182.97m","1","9851830","1 set of shaft horsepower meter","5","","","",""
"SS 2019","Hypatia de Alexjandría","Cantiere Navale Visenini SRL","280,760t scantling: .......................................... 300,300t","Balearia Eurolineas","Cyprus","24 September 2019","330.0m","1","9498755","DSME Duct, Long cap, Rudder bulb","Nil","","MAN Energy Solutions","MAN B&W 7G80ME-C9.5 (derated)","1"
"SS 2019","JS Ineos Marlin","Dalian Shipbuilding Offshore","Rolls-Royce","Evergas Management AS","Malta / Valletta","21 January 2019","2.194 LM","1","9799379","Alternative fuel (LNG), LED lighting, special hull coating (sili- cone), an energy saving device for cooling water system","1","18,090.2t full load cond","","",""
"SS 2019","Kai Oldendorff","Jiangsu Hantong Ship HI","MAN B&W","Oldendorff Carriers","Liberia","28 March 2019","225.50m","900","9834375","Twisted leading-edge rudder fitted with MAN Alpha","6","75,920t","MAN Diesel Alpha propeller VBS 1810","6G60ME-C9.5-GIE-TII & TIII",""
"SS 2019","KMTC Tokyo","Hyundai Mipo Dockyard Co., Ltd","MAN B&W","Mitsui & Co., Ltd","Panama","31 January 2019","225.5m","600","9848871","Shaft power meter, draught gages","4","","Saacke, Germany","FAR-2827, FAR-2837-5","Yes"
"SS 2019","Lachin","Baku Shipyard LLC","Hyundai-MAN B&W 6S60ME-C10.5(Tier II)","Azerbaijan Caspian","Azerbaijan Republic","28 February 2019","6,058m","19.9","9821469","Becker rudder","nil","","Hyundai Mipo","KAA006660",""
"SS 2019","Laureline","Hyundai Mipo Dockyard Co., Ltd","Diesel engine","CLdN Cobelfret","Malta","13 December 2019","137.08m","376","9823352","5,371gt","Nil","10,414t","Rudder-propeller/ Wärtsilä WST-14 FP","6L20",""
"SS 2019","Maran Gas Andros","Daewoo Shipbuilding & Marine","Hyundai-MAN B&W","Maran Gas Maritime Inc","Greece","4 January 2019","5,051m","114","9810379","Promas rudder","4","","Rolls-Royce","Hyundai-MAN B&W 7S50ME-C9.5(Tier II)",""
"SS 2019","Mari Couva","Hyundai Mipo Dockyard Co.Ltd","82,996t scantling: ............................................ 94,637t","Marinvest AB/Waterfront","Norway (NIS)","14 June 2019","288.5m","3","9848584","DSME air lubrication system (ALS), full spade rudder with bulb","Nil","","MAN B&W","5G70ME-C9.5-GI",""
"SS 2019","Mater","Chengxi Shipyard Co, Ltd","Hyundai - MAN B&W","Mater Shipping Ltd/ Royal","Liberia","16 August 2019","175.15m","86.9","9841184","29,900gt","4","","Hyundai Heavy","B&W 6G50ME-C9.5-LGIM-HPSCR",""
"SS 2019","Matterhorn Explorer","Hyundai Samho Heavy","MAN","CCB Financial Leasing Co., Ltd / Trafigura","Singapore","14 June 2019","206.50m","75.8","9847425","HVAF","nil","78,031.7t","Greens Shazhou","MAN 6G50ME-C9.5 TIII",""
"SS 2019","MSC Gülsün","Samsung Heavy Industries","47,248t scantling: ............................................ 50,513t","Mediterranean Shipping","Panama","15 May 2019","223m","2","9839430","46,668gt","7","69,699 (at scant)","Hyundai-B&W","6G60ME-C9.5","Yes"
"SS 2019","MSC Josseline","Hyundai Heavy industries","MAN Energy Solutions","Zodiac Maritime / MSC","Liberia","4 July 2019","6,058 (ISO-1CC) / 12,192 (ISO-1AA, High cube, 45ft)","3","9842061","SAVER Fin, SAVER Gap protector, SARB, Variable speed control for main cooling sea water pump and engine room supply fan, Intelliman Ship (Smart ship solution), VFD","nil","292,360t at Ts","Samsung HI/MMG","MAN B&W 11G95ME-C9.5","Applied"
"SS 2019","Navis-1","JCS Okskaya Sudoverf","Hyundai","State Transport Leasing","Russian Federation","1 June 2019","6,058(20ft) / 12,192 (40ft) / 13,716(45ft)","3","9868730","Hi-Fin, Hi-rudder with bulb, dual fuel (fuel oil and gas)","Nil","190,897t","","",""
"SS 2019","Nissos Rhenia","Hyundai Heavy Industries","Diesel engine","Kyklades","Marshall Island","29 May 2019","20'/40'","160","9845685","4,982gt","nil","8,594t","","",""
"SS 2019","Nord Yucatan","Nantong Xiangyu Shipbuilding &","290,353t scantling: .......................................... 318,953t","Nisshin Shipping Co., Ltd","Philippines","4 May 2019","327.0m","1","9856232","160,457gt","13","","Hyundai-WínGD","7X82-B","Applied"
"SS 2019","Oleander","Jiangsu New Yangzi","MAN","Bermuda Container Line","Marshall Islands","21 October 2019","196.50m","640","9827334","HVAF, LED lighting","nil","75,276.6t","Shanghai Marine","6G50ME-C9.5",""
"SS 2019","Orange Stream","Guangxin Shipbuilding & Heavy","MaK","Seatrade","Netherlands Antilles","January 2019","20ft,40ft,45ft","450","9795983","LNG fuel ready","nil","","Renk","9M32E","On main engine"
"SS 2019","Prism Agility","Hyundai Heavy Industries","MAN","SK Shipping","Panama","19 March 2019","TEU, FEU, 45ft","837.5","9810549","Hullform optimisation (multiple draughts and speeds), propeller design with boss cap and twisted rud- der, weather routing software, optimum speed advise for ETA, trim/draft optimisation, silicone- based antifouling coating, LED navigation lights, VFD for main pumps, Performance Monitoring Regime: ...high frequency data and noon reporting, performance monitoring systems ashore","1","","Wärtsilä-CME","MAN B&W 5S35ME-B9.5",""
"SS 2019","Saga Dawn","China Merchants Heavy Industry","97,494t scantling: ............................................ 85,660t","Saga LNG Shipping Pte. Ltd","Singapore","10 May 2019","293.6m","4","9769855","","Nil","","WinGD","5X72DF","2"
"SS 2019","Samnøy","Tersa Tersanecilik AS","Dual fuel","Torghatten Nord AS","Norway","November 2019","184,8m","1","9825817","Speed, shaft power, propeller RPM trim, draughts can all be monitored","nil","45,958t","Wärtsilä","W12V50DF",""
"SS 2019","Sea Guaiba","Jiangsu New Times","Bergen Engines","POS Maritime JC S.A. / Pan","Panama","13 February 2019","134m","1","9844069","Full LED lighting, waste heat recovery, low friction hull paint,VFDs for electric motors, battery installation","5","","","",""
