FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2013","ANDA","Swede Ship Marine","Swede Ship Marine","Kartverket","Norway","December 2013","11.15m","","","","2","","","",""
"SSS 2013","Astra G/ Aquarius G","Maaskant Shipyards Stellendam","0.8m","Rederij Groen","Panama","April / May 2013 2013 saw The Netherlands-based Damen","9.8m","28","","","0","12.4tonnes","","",""
"SSS 2013","Bert and Anneke Knape","Habbeké Shipyard","DSMG","KNRM","Dutch","August 2013","40m","14","","499tonnes","1","","","",""
"SSS 2013","Borgøy","Sanmar","4.2tonnes","Buksér og Berging","Norway","October 2013","7m","34","","4tonnes","0","","","",""
"SSS 2013","Calais Majest’In","Alumarine Shipyard","Stirling Design International","Syndicat Intercommunal des","French","May 2013","35m","13.5","","757tonnes","0","","","",""
"SSS 2013","Deurloo","Baltic Workboats","1.2m","Belgium Vloot DAB","Belgium","July 2013","19.7m","6.5","","","2","","","",""
"SSS 2013","Elizabeth Cook","Richardson Devine Marine","0.87m (from BL) 1.35m (from lowest point of keel)","Captain Cook Cruises","Australia","November 2013","18.39m","30","","48tonnes","2","34tonnes","","",""
"SSS 2013","Francisco","Incat Tasmania","1.4m","Buquebus","Uruguay","July 2013","23.5m","24","","17.5tonnes","0","","","",""
"SSS 2013","Grampian Sovereign","Astilleros Balenciaga","3.09m","Craig Group / North Star Shipping","UK","May 2013","670m","58","","7,109tonnes","0","1,563tonnes","","",""
"SSS 2013","Isefjord","Western Marine Shipyard","5m","Hundested-Rorvig Faergefart","Danish Maritime Authority","February 2013","74.94m","14","","“With Bangladesh being an emerging and very infant shipbuilding industry, it was a great challenge to take the initiative to build such a sophisticated ship.”","0","","","",""
"SSS 2013","Jin Gang Lun 26","Shanghai Harbour","2.25m","Tianjin Port","Chinese","November 2013","48m","445","","Schottel SST 602","1","","","",""
"SSS 2013","Jock and Annie Slater","SAR Composites / Berthon Boat Company","4.2m","RNLI","UK/Republic of Ireland","July 2013 2013 saw the delivery of the UK Royal National","29.43m","14.3","","583tonnes","Approximate 50","1,059tonnes","","",""
"SSS 2013","Luigi Dattilo","Fincantieri","1m","Comando Generale del Corpo delle Capitanerie di Porto – Guardia Costiera Italiana","Italian Navy","September 2013","11.7m","2","","","1","17.48tonnes","","",""
"SSS 2013","MYA II","Fassmer","4.64m","Alfred-Wegener-","German","July 2013","80m","650","","3,990tonnes","0","3,600tonnes","","",""
"SSS 2013","OCEAN TundRA","Ocean Industries","1.3m","Ocean Group","Canada","December 2013","20.02m","10","","75tonnes","1","100tonnes","","",""
"SSS 2013","Peter Fraser","Chantier Naval Forillon","5.49m ABL","Société des traversiers du Québec","Canadian","September 2013","34.04m","14","","708tonnes","0","1,250tonnes","","",""
"SSS 2013","Proteus of Liverpool","Blyth Workcats","1.1m","Osiris Projects","UK","October 2013","32.23m","10","","291.8tonnes","0","340tonnes","","",""
"SSS 2013","Response Boat Medium-C","Kvichak Marine Industries","1.2m","L.A County Sherriff’s","US","August 2013","14m","24","","13.41tonnes","0","20tonnes","","",""
"SSS 2013","Sea Breeze","Danish Yachts","0.9m","Odfjell Wind / A2SEA","Denmark","April 2013","12.3m","42","","","1","","","",""
"SSS 2013","SEACOR Lynx","Gulf Craft","2.06m (cat mode) 2.49m (SWATH mode)","SEACOR Marine","Marshall Islands","June 2013","24m","23","","243.8tonnes","0","138.7tonnes","","",""
"SSS 2013","Sea Fox","Navalu","1.7m","Enviro-serve Ltd","British","October 2013","54m","42","","495.7tonnes","2","","","",""
"SSS 2013","Shanna","Strategic Marine Vietnam","1.65m","National Ferries Company","Oman","November 2013","22.5m","1","","195tonnes","0","77tonnes","","",""
"SSS 2013","SM16","SOLAS Marine Lanka (Sri Lanka) / SOLAS Marine Group (UAE)","1.5m","Indian Navy","India","March 2013","210m","75.8","","649tonnes","68","320tonnes","","",""
"SSS 2013","SRA 750","Zodiac Milpro","0.8tonnes","French Navy","France","July 2013","13.2m","50","","","0","18.2tonnes","","",""
"SSS 2013","Sverri","Safehaven Marine","1.08tonnes","Faroe Islands Rescue Service","Faroe Islands","August 2013","7.36m","45","","","0","2.9tonnes","On demand for IO engines","",""
"SSS 2013","CTruk THOR","CTruk","1.3m","CTruk","UK","August 2013","12.8m","30","","","0","20.4tonnes","","",""
"SSS 2013","Waterspreeuw","Damen Shipyards Hardinxveld","0.5-0.68m","Waternet Amsterdam","Dutch IL&T Zone 3/4","May 2013","11m","1","","","0","6/7-10tonnes (variant specific)","","",""
"SSS 2013","Yutaka Maru No. 8","Kyokuyo Shipyard Corporation","1.2m","Toyotsuru Kaiun","Japan","March 2013","12.5m","940","","","0","22.5tonnes","","",""
"SSS 2013","Zeycan Y","Sanmar","5.8m","Gemport","Turkey","July 2013","91.5m","310","","2,947tonnes","TBC (ongoing series)","","","",""
