FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2013","Almetyevsk","PHC, Zelenodolsk, Russia","Marine Engineering Bureau (MEB)","AK BARS Leasing","Russia","","139.99m","","9621558","","nil","","","",""
"SS 2013","Amber Champion","Chengxi Shipyard Co., Ltd","4,175m (at sea) 3.6m (in river)","Ray Champion Shipping","Hong Kong","15 March 2013","138.24m","292","9637210","4,531gt","nil","8,819tonnes","Schottel","6L20",""
"SS 2013","APL Temasek","Hyundai Samho Heavy","11.30m","Neptune Orient Line","Singapore","28 March 2013","194.50m","616","9631955","36,332gt","3","75,196tonnes","MAN B&W","5S60ME-C8.2",""
"SS 2013","Bahri Abha","Hyundai Mipo Dockyard Co., Ltd","14.50m","Bahri (National Shipping","Saudi Arabia","14 March 2013","20ft/40ft/45ft","3","9620944","151.963gt","3","195,751tonnes","HHI-EMD","11S90ME-C9.2",""
"SS 2013","Bluebird Arrow","Hyundai Mipo Dockyard Co., Ltd","8.90m","Gearbulk (UK) Limited","Bahamas","5 February 2013","211.30m","1","9635377","50,714gt","1","","Wärtsilä","7RT-flex58T-D(Tier II)",""
"SS 2013","Brasil Voyager","Samsung Heavy Industries","9.60m","Chevron Shipping Company","Bahamas","18 January 2013","148.50m","750","9637777","15,607gt","nil","","Hyundai Heavy Industry Co., Ltd","Hyundai B&W 6S42MC7.1 (Tier II)",""
"SS 2013","Cap Arnauti","HHCI-Phil","16.20m","Zodiac Maritime","Liberia","28 May 2013","267.00m","86.6","9629380","83,942gt","2","","MAN Diesel & Turbo","6S70ME-C8.2",""
"SS 2013","Cape Green","Japan Marine United Corporation","13.00m","Newport Pioneer One","Panama","29 April 2013","20’/ 40’/ 45’","2","9651072","69,809gt","nil","103,166tonnes","Hanjin Heavy Industries and","MAN B&W 6S80ME-C 9.2",""
"SS 2013","Cash","SPP Shipbuilding Co., Ltd","MAN B&W","Geden Line","Malta","1 August 2013","296.00m","14.7","9628087","107,100gt","3","","Japan Marine United/Nakashima","7S65ME-C",""
"SS 2013","Castorone","Yantai CIMC Raffles","12.20m","Saipem Offshore Norway","Bahamas","2 May 2013","223.00m","600","9444194","44,619gt","nil","94,867tonnes","Hyundai Heavy Industries","6S60MC-C(MK8.1)",""
