FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2018","Almi Atlas","Hyundai Samho Heavy","Hyundai Samho Heavy","Almi Tankers","Liberia","","336.08m","","9816323","","nil","","","",""
"SS 2018","Amphion","Samsung Heavy Industries","21m","CVLC One Carrier Corp","Liberia","13 March 2018","330m","1","9830795","162,306gt","3","138,911t","Hyundai-B&W","7G80ME-C9.5-EGRTC","Yes"
"SS 2018","British Partner","Daewoo Shipbuilding & Marine","Daewoo Shipbuilding & Marine","BP Shipping","Isle of Man","13 January 2019","326.4m","14.5","9766530","191,683gt","3","","","",""
"SS 2018","BW Tulip","Daewoo Shipbuilding & Marine","11.5m","BW Discovery Pte. Ltd","Singapore","29 May 2018","282.9m","2","9758064","115,366gt","2","","MAN Diesel & Turbo","MAN B&W 5G70ME-C9.5-GI (Derated)",""
"SS 2018","CMA CGM Antoine De","HHIC-Phil Inc","11.5m","CMA CGM","France","3 January 2018","282.9m","2","9776418","114,364gt","nil","","MAN B&W","5G70ME-C9.5-GI",""
"SS 2018","CMA CGM Pregolia","JinHai Intelligent Manufacturing","14.5m","CMA CGM","Malta","26 January 2018","6,058mm (20ft)/12,192mm (40ft & 40ft EURO)/14,631 (45ft)","4","9745500","217,600gt","0","","Hyundai-WinGD","W11X92",""
"SS 2018","Daniel K. Inouye","Philly Shipyard, Inc","9.5m","Matson Navigation, Co","USA","March 2018","185.00m","2","9719056","29,316gt","1","","MAN","6G60ME-C9.5 Tier II","Yes"
"SS 2018","DHT Bronco","Hyundai Heavy Industries","11.6m","DHT","Hong Kong","31 October 2018","20’, 40’, 45’, 53’, 40’ Flat Racks","2","9822994","48,409gt","nil","66,787t","38,000kW","MAN B&W 7S90ME-C10.5-GI",""
"SS 2018","Eagle Barcelona","Samsung Heavy Industries","21m","AET Inc. Limited","Singapore","27 July 2018","327m","1","9795048","","nil","","","",""
"SS 2018","El Coqui","VT Halter Marine","13.6m","Crowley ConRo LLC","United States","January 2018","243m","14.5","9721968","61,000gt","nil","","","",""
"SS 2018","Flavin","Jiangsu New Hantong Ship","9.50m","Cardiff Marine","Malta","18 July 2018","1,935m","720","9787912","37,462gt","1","42,449t @ 10m","MAN","8S70ME-C8.2-GI",""
"SS 2018","Fure Vinga","AVIC Dingheng","13.6m","Furetank Chartering","Sweden","March 2018","241.6m","1","9739800","64,321gt","2","134,845t","Yanmar","6G50ME-C9.5-TII",""
"SS 2018","Gagarin Prospect","Hyundai Samho Heavy","Wärtsilä","Sovcomﬂot","Liberia","4 April 2018","146.64m","1","9826720","12,770gt","5","24,484t","Wärtsilä with PTI/PTO","9L34DF",""
"SS 2018","Golar Nanook","Samsung Heavy Industries","14m","Golar LNG Ltd","Marshall Islands","30 July 2018","241m","1","9785500","64,909gt","","126,658t","Hyundai-Wärtsilä","W7X62DF",""
"SS 2018","HMM Promise","HHIC-Phil Inc","81,747dwt","Hyundai Merchant Marine","Marshall Islands","September 2018","281m","","9742168","107,049gt","nil","","","",""
"SS 2018","Hoegh Gannet","Hyundai Heavy Industries","13.0m","Hoegh","Singapore","23 June 2018","20ft, 40ft, 45ft","4","9822451","114,000gt","nil","","MAN Diesel Turbo","8G95ME C9.5","34"
"SS 2018","Iberian Sea","HHIC-Phil INC","11.6m","Eastern Paciﬁc Shipping","Liberia","06 December 2018","282m","5","9815604","110,532gt","3","","Four stroke, single acting, trunk piston, turbocharged, intercooled, constant speed, non-reversible, dry sump, dual fuel burning","Wärtsilä 8L50DF / 6L50DF",""
