FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2008","America","JM Martinac","Robert Allan Ltd","Signet Maritime","American","March 2008","29.9m (excl. fenders)","","","","0","","","",""
"SSS 2008","Apex","Astilleros Gondan SA, Spain","5.3m (above skeg)","Solent Towage Ltd/ Østensjø Rederi AS","British","17 April 2008","27.4m","99","","294 (US GRT) / 464 (International GRT)","-","742tonnes","","",""
"SSS 2008","Ark Tori","PT Batamec Shipyard, Indonesia – a subsidiary of","6.9m","All-RK Offshore","Republic of Singapore","10 September 2008","33.3m","15","","643t","10","23.4m³","","",""
"SSS 2008","Atlantida Azul","Safehaven Marine","6m (max)","Port of Sines, Portugal","Portuguese","December 2008/ January 2009","64.9m","1520","","5t/m² uniform loading at aft of Fr.52","-","4535t","","",""
"SSS 2008","Caspian Breeze","Damen Shipyards Gorinchem","1m","Nico Middle East Ltd","Jamaican","July 2008","16m","25.3","","","2","","","",""
"SSS 2008","Don Osiris","Damen Shipyards Gorinchem","2.20m","Naviera Integral SA de CV","Mexican","January 2009","34.4m","400","","168t","6","170t","","",""
"SSS 2008","Dong Hai Lu Dao","Wang Tak Engineering & Shipbuilding Co Ltd/Guangdong","3.2m","Shanghai Yatong","Chinese","December 2008","49.0m","1800","","427gt","-","630t","","",""
"SSS 2008","Esnaad 710","Astilleros Balenciaga SA","1.15m","Esnaad/Abu Dhabi","United Arab Emirates","31 May 2008","39.12m","100","","567grt","0","145t","","",""
"SSS 2008","Greatship Anjali","Colombo Dockyards","3.3m","Greatship (India) Limited","Indian","January 2008","42.8m","1200","","978","2","","","",""
"SSS 2008","Handy One","Great Lakes Shipyard","4.9m","Tugz International LLC","American","11 April 2008","58.4m","13.9","","1596gt","2","","","",""
"SSS 2008","FPV Hirta","Gdansk Shiprepair Yard “Remontowa” S.A., Poland","3.1m (11ft)","Scottish Ministers/Scottish","British","12 May 2008","22.6m (74ft)","1557","","under 100gt","0","","","",""
"SSS 2008","Iliria","Damen Shipyards","4.50m","Ministry of Defence, Albania","Albanian","August 2008","72m","350","","2182dwt","3","2349.092t","","",""
"SSS 2008","Island Constructor","Ulstein Verft AS","2.15","Island Offshore AS","Norwegian","23 May 2008","39.80m","400","","240t","-","250","","",""
"SSS 2008","Island Wellserver","Aker Yards Langsten (now part of STX Europe)","7m","Island Offshore","Norwegian","March 2008","112.3m","14.5","","12,200gt","-","","","",""
"SSS 2008","LOS 116 Fedje","Dockstavarvet AB","8.7m","Norwegian Coastal","Norwegian","May 2008","102.6m","","","12,100gt","- (option for 5)","","","",""
"SSS 2008","Maria de Maeztu","Union Naval Valencia, SA","MTU","Maritime Safety Authority (SASEMAR)","Spanish","28 March 2008","15.00m","30","","49.9grt","3","30t","","",""
"SSS 2008","Messico","Astilleros Armon","4.20m","Rimorchiatori Riuniti","Italian","January 2008","34.52m","500","","907grt","1","1345t","","",""
"SSS 2008","M/Y Sea Force One","","MAK","the front stem wall is an incredible work of blue fluorescent paint on black velvet that in the dark represents ‘a galaxy’. Two symmetrical platforms with hydraulic opening open to create two exclusive balconies right onto the sea. The bathroom has a shower and tub made of pietra luna slate, whereas the wall and the cabinets are made with broken mirror mosaic pieces","British","17 July 2008","34.24m","150","","698grt","1","2m³","","",""
"SSS 2008","PB Fitzroy","Cheoy Lee Shipyards","2.90m (9.52ft)","unknown","Australian","September 2008","53.8m (176.5ft)","17","","","0","722tonnes","","",""
"SSS 2008","Police 5~10 (Medium Patrol Launches)","","5m (maximum above keel)","Hong Kong Marine","Hong Kong Special","November 2007 April 2008","26.5m","86","","416grt","11","619tonnes","","",""
"SSS 2008","Shinas","Austal","1m","The Government of the","Omani","June 2008","17.3m","27","","","1","39t","","",""
"SSS 2008","Solway Spirit","South Boats Special","2.1m","E.ON Climate &","British","May 2008","64.8m","55.9","","2053t","13","","","",""
"SSS 2008","Svitzer Waterston","Freire","Robert Allan Ltd","Dragon","British","August 2008","12.70m","24","","","2","23.5tonnes","","","12"
"SSS 2008","Taha Dua/Taha Satu","Damen Shipyards Gorinchem (build by DSSi)","6.95m","Powertium Engineering","Malaysian","15 August 2008","32.1m","390","","686","-","1162tonnes","","",""
"SSS 2008","Vivax","Sanmar Denizcilik","1.65m","Østensjø Rederi AS/AS","Norwegian","November 2008","32m","26.5","","168","10","153.5kg (full load)","","",""
"SSS 2008","Wave Ranger","Alnmaritec Ltd","Wärtsilä","Alnmaritec Ltd","British","30 July 2008","33.10m","250","","","0","18m³","","",""
