FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2009","Anafi","Hyundai Mipo Dockyard Co., Ltd","Hyundai Mipo Dockyard Co","Eletson Holdings, Greece","Greece","","173.70m","","9411733","","Nil","","","",""
"SS 2009","Araon","Hanjin Heavy Industries & Construction Co., Ltd","22,870dwt scantling: .........................................................26,570dwt","KOPRI (Korea Polar Research Institute)","Korea","February 2009","165.00m","2","9490935","22,971gt","","","MAN B&W","6S50MC-C7",""
"SS 2009","Auriga Leader","Mitsubishi Heavy","1664dwt scantling:. ............................................................3070dwt","Nippon Yusen Kabushiki Kaisha (NYK Line), Japan","Singapore","30 September 2009","95.0m","4221","9402718","7487gt","2","9071tonnes","ABB OY","AMC 900",""
"SS 2009","Baosteel Education","Namura Shipbuilding Co. Ltd","14,284dwt scantling: .........................................................18,686dwt","Mitsui O.S.K. Lines","Panama","19 December 2008","192.00m","3","9362970","60,213gt","1","","","",""
"SS 2009","Beluga Houston","Volharding Shipyards, The Netherlands in cooperation with Hudong Zhonghua Shipyard, Shanghai, China","228,527dwt scantling:. .......................................................228,527dwt","Beluga Shipping GmbH / Beluga Fleet Management GmbH","Gibraltar","31 March 2009","308.00m","800","9424546","113,932gt","Nil","","Mitsubishi Heavy Industries Ltd","Mitsubishi 6UEC85LS II",""
"SS 2009","C. Galaxy","Hyundai Heavy Industries Co., Ltd","20,500dwt scantling:. .........................................................20,170dwt","SK Shipping","Panama","3 December 2009","40’ and 20’","200","9404924","","Nil","30,100tonnes @ 9.50m draft","MAN B&W","7L 58/64",""
"SS 2009","Cape Garland","Mitsui Engineering & Shipbuilding Co., Ltd","289,100dwt scantling:. ............................................................ 316,400dwt","Ri Shen Shipping Pte. Ltd","Singapore","13 February 2009","324m","1200","9397846","160,600gt","9","364,500tonnes","MAN – B&W","6S90MC-C",""
"SS 2009","Carnival Dream","Fincantieri Cantieri","Mitsui MAN B&W","Carnival Corporation","Panama","30 January 2009","282.00m","620","9378474","92,278gt","1 (Carnival Magic to be delivered in 2011)","","","",""
"SS 2009","CMA CGM Andromeda","Hyundai Heavy","Wartsila","CMA-CGM","United Kingdom","18 September 2009","269.20m","14","9410727","128,251gt","10","","","",""
"SS 2009","Coral Methane","Pilsudski Gdansk Repair Yard","97,160dwt scantling:. .......................................................131,260dwt","Anthony Veder Rederijzaken BV / Gasno AS","The Netherlands","18 March 2009","20ft","2820","9404584","131,330gt","Nil","171,370tonnes","HHI-EMD","12K98ME-C7","if this is LNG, then boil-off or vaporised gases from that are used, if other gases are being carried, diesel/heavy oil is used"
"SS 2009","Corella Arrow","Oshima Shipbuilding Co., Ltd","6.80m scantling..........................................................................7.15m","Glory Ocean Shipping","Bahamas","29 April 2009","110.20m","200","9385477","7904gt","2","9966tonnes","Siemens PLC system S7-400","Visionmaster FT 340 ARPA S;","16"
"SS 2009","Costa Luminosa","Fincantieri Cantieri","Kawasaki Heavy Industries. Co., Ltd","Costa Crociere","Italy","May 11 2009","20’ or 40’","750","9398905","44,684gt","1","","","",""
"SS 2009","Cristobal Colon","La Naval Shipyard","Four stroke diesel engines","Jan De Nul","Luxembourg"," Dredging by means of two trailing suction pipes each provided with an electrically driven submerged dredge-pump  Delivering the spoil either into the hopper or directly overboard when the dredged spoil is too light low sand concentration   Dumping the spoil on the seabed through one row of hinged doors on the bottom of the ship or by means of two shallow water dumping doors which can be opened without protruding below the vessels base line.  Emptying excess water from the hopper by means of two overflows without operating the dredge pump  Pumping of dredged material from the hopper ashore by means of a shore discharge dredge-pump and a self-emptying system.  A bow connection arrangement is fitted suitable for coupling to a flexible floating pipeline as well acting as a bow jetting installation","265.36m","300","9429572","92,600gt","1","","","",""
"SS 2009","Desh Vishal","Daewoo Shipbuilding & Marine Engineering Co., Ltd","MAN Diesel","The Shipping","India","June 2009","196.0m","18","9371749","46,300gt (approx.)","Nil","","","",""
"SS 2009","Discoverer Clear Leader","Daewoo Shipbuilding &","301,200dwt scantling: . ............................................................319,100dwt","Transocean Offshore","Marshall Islands","November 2009","320.0m","1562","9386122","162,400gt","3","363,700tonnes","B&W","7S80MC-C",""
