FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SS 2010","Abdelkader","Hyundai Heavy","Hyundai Heavy Industries Co., Ltd","Mitsui OSK Lines (MOL)","Bahamas","","298m","","9360922","","0","","","",""
"SS 2010","Abel Matutes","H J Barreras","11.9m","Eurolineas Maritimas, S.A (Balearia)","Malta","27 February 2010","285m","2","9441130","114,200gt","0","","","",""
"SS 2010","Aramon","SSP Plant &","6.00m","Roxana","Marshall Islands","May 2010","2235m","3","9440485","","4","","","",""
"SS 2010","Barcelona Knutsen","Daewoo Shipbuilding &","12.25m","Knutsen OAS Shipping","NIS","January 2010","219.00m","1250","9401295","42,225gt","3","88,436tonnes (scantling)","MAN Diesel","6S60MC-C MK7",""
"SS 2010","Bunga Bakawali","SLS Shipbuilding Co., Ltd","11.95m","MISC Berhad","Malaysia","10 February 2010","279.0m","11","9458808","110,920gt","2","131,72tonnes","Wartsila","12V50DF x 3 sets 9L50DF x 1 set",""
"SS 2010","Cap Ines","Daewoo Shipbuilding & Marine Engineering Co., Ltd","abt.11m","Peaked Hill Limited","Liberia","16 March 2010","174m","757","9484546","29,124gt","3","56,611tonnes","MAN B&W","6S50MC-C7",""
"SS 2010","Castillo De Santisteban","STX Offshore &","12.0m","Empresa Naviera Elcano SA","Malta","27 January 2010","20ft/40ft/45ft","3000","9433717","47,877gt","0","76,900tonnes","MAN","MAN B&W 8K90MC-C6",""
"SS 2010","Cosco Wuyishan","Fujian Mawei Shipbuilding Ltd","11.60m","Cosco Far-Reaching","Panama","August 2010 26 Significant Ships of 2010","288.00m","7700","9418303","111,665gt","8","128,987tonnes","Kawasaki","M2H-400/85",""
"SS 2010","CSB Fortune","CSSC Guangzhou Longzue","9.5m","China Shipping development Co., Ltd","Hong Kong SAR","19 January 2010","168.00m","500","9431226","19,993gt","9","37,966tonnes","SDARI/ Wuhan Heavy","6UEC43LSII",""
"SS 2010","Dar Salwa","Daewoo Shipbuilding & Marine Engineering Co., Ltd","18.1m","Kuwait Oil Tanker","Kuwait","5 February 2010","314.6m","76","9534779","116,396gt","3","","MAN B&W","6S80MC-C7",""
"SS 2010","E.R Borneo","Hyundai Heavy","21m","Nord Capital","Liberia","28 October 2010","320m","1700","9507518","162,625gt","0","363,843tonnes","MAN B&W","MAN B&W 7S 80 ME-8",""
"SS 2010","Eser K","Hanjin Heavy Industry, Subic Shipyard","16.5m","Kaptanoglu","Marshall Islands","3 March 2010","283.5m","730","9431381","93,186gt","0","","Hyundai","Hyundai-MAN B&W 6S70MC-C (MK7)",""
"SS 2010","Deepwater Champion","Hyundai Heavy Industries Co., Ltd","13.6m","Transocean/Exxon Mobile","Port Vila, Vanuatu","10 March 2010","239m","760","9471862","63,300gt","0","134,800tonnes","","",""
"SS 2010","Frisia Bonn","Hyundai Mipo","11.00m","Hartmann Schiffahrts","Liberia","November 2010","210.10m","2","9470961","","0","","","",""
"SS 2010","GDF Suez Point Fortin","Koyo Dockyard co., Ltd","10.0m","Los Halillos Shippping co., SA","Panama","11 March 2010","20","105","9375721","21,842gt","0","","Hyundai-B&W","8S60ME-C7",""
"SS 2010","Giewont","New Times Shipbuilding","11.73m","Fiona One Shipping Ltd","Bahamas","16 February 2010","276.00m","3250","9452593","101,129gt","1","","","",""
"SS 2010","Glenda Meredith","Hyundai Mipo Dockyard Co., Ltd","12.50m","Glenda International","Liberia","7 January 2010","222.82m","806","9494668","43.506gt","2","93.377tonnes","MAN Diesel A/S Denmark","Hyundai-MAN B&W 7S50MC-C7",""
"SS 2010","Global Sea","Jiangsu GangHua Shipyard","11.0m","North Sea Tanker","Gibralter","29 January 2010","174.0m","730","9427433","29,130gt","3","","Hyundai-B&W","6S50MC-C7","36"
"SS 2010","Grande Marocco","Hyundai Mipo Dockyard., Ltd","7470dwt","Industria Armamento","Italy","07 June 2010","106.0m","500","9437907","5424gt","3","10,971tonnes","","",""
