FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2009","Adams Challenge","Astilleros Balenciaga SA","","","UK","April 2009","85.4m","","","","-","","","",""
"SSS 2009","Aramara","Strategic Marine Mexico","5.5m","Arrendadora Ocean","Mexican","October 2009","78m","15","","4098gt","1","","","",""
"SSS 2009","Ba Fong","Wang Tak Engineering &","3.6m","Xiamen","People’s Republic of China","April 2009","52m","90","","","0","","","",""
"SSS 2009","Carolyn Dorothy","Foss Shipyard, Rainier, Oregon","1.15m","Foss Maritime Company","US","January 2009","33.12m","80","","322gt","0","116tonnes","","",""
"SSS 2009","CE2","Lung Teh Shipbuilding","operating draught 4.87m","Hong Kong Customs and","Hong Kong Special Administrative","August 2009","23.7m","330","","144grt","2","","","",""
"SSS 2009","City of Portland","AF Theriault & Son Ltd, Nova Scotia, Canada","1.8m","Portland Fire Department","USA","26 July 2009","30m","86","","","0","","","",""
"SSS 2009","Costante Neri and","Astilleros Gondan SA, Spain","4.4m","Fratelli Neri SpA, Italy","Italy","June 2009","18.4m","1200","","• Tanker escort service; • Fire-fighting activities; • Anchor handling/supply activities; • Anti-pollution services; • Salvage operations; and • Transportation of spares/cargo to and from the offshore terminal","-","33.9tonnes","","",""
"SSS 2009","Far Samson","STX Norway","5.5m","Farstad Shipping","Isle of Man","24 March 2009","35m","60","","733grt","0","22m³","","",""
"SSS 2009","Farasan","Austal","(d=8.5m) 6100tonnes","Kingdom of","Saudi Arabia","April 2009","105m","2","","14,740tonnes","0","","","",""
"SSS 2009","Hai Yu","Wang Tak Engineering &","3.2m (full deadweight)","Zhuhai Haitong Shipping","People's Republic of China","September 2009 Hai Jun and","62.97m","228","","2438gt","0","731","","",""
"SSS 2009","Kogalym","Keppel Singmarine Pte Ltd","1.03m","Lukoil – Kaliningradmorneft","Russia","July 2009","33m","75","","322gt","0","116tonnes","","",""
"SSS 2009","Lambeth","Alnmaritec Ltd","4.30m above baseline","Port of London Authority (PLA)","UK","September 2009","65m","600","","1760gt","4","2761tonnes","","",""
