FileName,VesselName,Builder,Designer,OwnerOperator,Country,DeliveryDate,Length(m),MaxSpeed(knots),ImoNumber,Gross,SisterShip,Displacement(kg),MainEngineDesigner,MainEngineModel,NumberOfEngines
"SSS 2010","ASB Mutiara 5","Strategic Marine","Southerly Designs / Strategic Marine","ASB Maritime Resources / Petronas Carigali","Malaysia","In order to stay ahead in the global marine and offshore area we need to continually improve our competitive edge. A cost-competitive and efficient business environment with strong infrastructure and comprehensive supporting industries will be critical to bring in investors.","40.37m","28","","","","","","",""
"SSS 2010","BRAtt","Adrenalin Marine Ltd","Robert Allan Ltd","N/A","Canadian","N/A","8.53m","","","","0","","","",""
"SSS 2010","CarboClyde","Kockums AB Sweden / Karlskrona","1.44m","Fintry Marine Ltd","UK","DNV 1 A1 HSLC R2","6.91m","165","","over 30% reduced structural weight, compared to aluminium vessels; the chance to realize fuel savings of up to 20%; and savings of up to 25% when it comes to typical maintenance costs","","16.46tonnes","","",""
"SSS 2010","Dana Cruz","Fred Wahl Marine","Ag Mcilwain","King River LLC/ Foss Maritime","USA","June 2010","22.50m","31","","107.35gt","0","62.0tonnes","","",""
"SSS 2010","FireStorm 70","MetalCraft Marine","MetalCraft Marine","Jacksonville Fire Rescue","USA","September 2010","28.07m","","","98gt","","","","",""
"SSS 2010","Greatship Maya","","Marin Teknikk AS","Greatship Global Offshore","Singapore","January 2010","21.1m","41","","","","","","",""
"SSS 2010","Hai Jun","Wang Tak Engineering &","Wang Tak Engineering &","Zhuhai Haitong Shipping","PRC","December 2009","86.6m","14.5","","4765gt","0","","","",""
"SSS 2010","Iceni Spirit","South Boats Special","1.03m","Iceni Marine Services Ltd","UK","March 2010","33.0m","75","","322gt","0","116tonnes","","",""
"SSS 2010","M.V. Independence","Derecktor Shipyards","0.87m","Reinauer Transportation","USA","January 2010","15.6m","25","","“Two or less bearings may be used as opposed to typically five in an installation of this size. Two men can remove and carry a carbon fibre drive shaft in and out of the boat...that’s obviously not the case with a steel shaft.”","0","25tonnes","","",""
"SSS 2010","Laboe","Dockstavarvet / JB Seaform","5.8m","Wasser- und","Germany","November 2010","39.1m","99","","< 300gt (LC)","5","1144tonnes","","",""
"SSS 2010","Loke Viking","Zamakona Yards Bilbao","1.5m","Transviking","Swedish","May 2010","16.8m","20","","49.9gt","3","33.3tonnes (full load)","","",""
"SSS 2010","Natalia Bekker","Abeking & Rasmussen","6.60m","BARD Engineering","Germany","April 2010","76.20m","145","","5.109tonnes","8","7.900tonnes @ 6.4m draft","","",""
"SSS 2010","Normand Ranger","Ulstein Verft","2.70m","Solstad Offshore","Norway","April 2010","22.50m","660","","222gt","","","","",""
"SSS 2010","ODIN","Swede Ship Marine AB","4019tonnes","Redningsselskapet","Norway","September 2010","91.0m","18.5","","7480tonnes","2 options","","Swede Ship Marine/ Redningsselskapet","","2"
"SSS 2010","Oita","Shipco Marine","1.45m","Robe River Mining Pty. Ltd","Australia","March 2010","21.6m","52","","99.0gt","0","90.0tonnes","","",""
"SSS 2010","OSG Vision","VT Halter Marine","5.66m","OSG Delaware","USA","March 2010","32m","116","","428gt","2","853tonnes (full load)","","",""
"SSS 2010","PB Karepo","Cheoy Lee Shipyards, Ltd","6.7m","PB Towage Ltd","Singapore","January 2010","46.00m","317","","997gt","1","2800tonnes","","",""
"SSS 2010","Polarcus Asima","Drydocks World","4.5m","Polarcus","Bahamas","August 2010","43.60m","80","","962gt","","19m3 approx","","",""
"SSS 2010","1 Norsafe Magnum 750","Safehaven Marine","Frank Kowalski","Bordeaux Pilots","France","September 2010","92.0m","15","","7894tonnes","4","","1050tonnes, evaporator. 20tonnes/day","","2"
"SSS 2010","Saaremaa","Fiskerstrand BLRT AS","1.35m","Saaremaa","Estonian","June 2010","14.7m","26","9474072","25gt","1","19.5tonnes approx","","",""
"SSS 2010","Scarlet Ibis","Austal","881tonnes","Trinidad and Tobago","Trinidad and Tobago","January 2010 2010 saw Austal complete and deliver six high speed 30m patrol vessel sisterships for the Trinidad and Tobago Coast Guard the first of these orders being Scarlet Ibis. Like her sisters Scarlet Ibis has been classed by Det Norske Veritas which has also provided classification for vessels built by Austal for the Armed","870","1500","","5900gt","All completed","3362tonnes","Wärtsilä","2 x 6L20 Clean + 2 x 8L20 Clean",""
"SSS 2010","Shi Hua Gang Yi Hao","Alnmaritec Ltd","Approx 1.5m","Elastec","China","November 2009","24.6m","40","","","1","","","",""
"SSS 2010","Smit Angola","Keppel Nantong","0.675m","SMIT Shipping","Nassau, Bahamas","June 2010","13.75","21","","","0","17tonnes","","",""
"SSS 2010","Stefan Cel Mare","Damen Shipyards Group","5.2m","General Inspectorate of the Border Police, Romania","Romania","September 2010","46.6m (Rule Length)","700","","1438gt","","2717tonnes","","",""
"SSS 2010","Svitzer Pembroke","Astilleros Zamakona SA","2.9m(Summer)","Svitzer Marine Ltd","United Kingdom","August 2010","64.05m","20.6","","","0","1m3","","",""
"SSS 2010","Three Forty Three","Eastern Shipbuilding Group","7.5m","","USA","May 2010","33.59m","187","","734gt","none","1374tonnes","","",""
"SSS 2010","Uthlande","Shipyard J.J","2.74m","Wyker Dampfschiffs","German","May 2010","42.67m","235","","438gt (US Regulatory)","1","497.5tonnes","","",""
"SSS 2010","YT-802 Valiant","J.M. Martinac","1.75m","US Navy/ Bremerton Pilots","USA","December 2009","344 m","127","","3179gt","1","1676tonnes","","",""
"SSS 2010","Volstad Surveyor","Freire Shipyard","4.88m","Volstad Shipping / Rieber Shipping","Malta","May 2010","25.17m","130","","342gt","","527tonnes","","",""
"SSS 2010","Vortex","Astilleros Gondan SA, Spain","2279tonnes","Solent Towage Ltd, Southampton","United Kingdom","June 2010","75.00m","2281","","4398gt","-","5738tonnes","","",""
